PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-08-15,18:43:21.50,1,1,"Scott, Matt",1000109996,Right,COR_KNI,"Moore, Malcom",1000069362,Left,BEL_BEL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.73022,-4.485018,-3.587347,2357.884352,213.086004,1:00,6.32115,1.77088,5.56367,-13.42694,21.31159,12.95887,0.99552,-0.5049,81.84387,-7.095807,-1.281632,0.424206,,,,,,,,,,,,-7.74977,12.6993,-1.4696,50,5.92439,7.67958,-132.18913,-10.7408,-13.37636,34.61794,-10.25464,COR_KNI,BEL_BEL,GossStadium,WCL,WCL,20220815-GossStadium-1,cf9497d0-1d04-11ed-a1bb-dde74f3eeee3,88.85403,,,9.88634,,,,,,,99751761-8605-4e0a-aa4e-9de91bc349e5,2022-08-16,01:43:21.50,2022-08-15T18:43:21.5013656-07:00,2022-08-16T01:43:21.5013656Z,,v3,,,,"Smith, Tanner",1000074678,Right,COR_KNI,371389f5-5d35-4c00-9dc5-ecbea451981b,54.92957,-133.47385,17.30897,6.31594,-10.36024,-5.12732,-1.76381,8.176,-6.68818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-08-15,18:43:37.19,1,2,"Scott, Matt",1000109996,Right,COR_KNI,"Moore, Malcom",1000069362,Left,BEL_BEL,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.26384,-3.182938,-1.465042,2351.071423,227.75743,1:30,6.17506,1.86476,5.76393,-17.18088,16.45536,16.72509,1.77693,1.8947,83.0146,-6.450909,1.530711,0.417422,,,,,,,,,,,,-8.92827,9.7767,-1.7534,50,5.90107,2.64668,-133.53897,-7.95381,-15.83111,33.59916,-14.83859,COR_KNI,BEL_BEL,GossStadium,WCL,WCL,20220815-GossStadium-1,d8f6a1b0-1d04-11ed-a1bb-dde74f3eeee3,90.29818,,,9.24923,,,,,,,99751761-8605-4e0a-aa4e-9de91bc349e5,2022-08-16,01:43:37.19,2022-08-15T18:43:37.1947288-07:00,2022-08-16T01:43:37.1947288Z,,v3,,,,"Smith, Tanner",1000074678,Right,COR_KNI,e1a0878b-314d-4b82-baf8-5ed6f5210f23,54.73079,-134.724,16.79958,6.17237,-7.43046,-7.41929,-1.85659,3.20504,-7.91555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-08-15,18:43:54.55,1,3,"Scott, Matt",1000109996,Right,COR_KNI,"Moore, Malcom",1000069362,Left,BEL_BEL,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.62821,-2.735679,-1.387825,2259.119167,220.02506,1:15,6.17194,1.63286,5.62394,-15.89461,19.11273,14.74843,2.2919,1.5666,80.64533,-5.825195,1.246347,0.425844,,,,,,,,,,,,-7.89772,11.1217,-1.52379,50,5.92891,2.49826,-132.28861,-6.76226,-13.44651,38.51628,-13.23843,COR_KNI,BEL_BEL,GossStadium,WCL,WCL,20220815-GossStadium-1,e35226c0-1d04-11ed-a1bb-dde74f3eeee3,88.51222,,,10.98289,,,,,,,99751761-8605-4e0a-aa4e-9de91bc349e5,2022-08-16,01:43:54.55,2022-08-15T18:43:54.5592088-07:00,2022-08-16T01:43:54.5592088Z,,v3,,,,"Smith, Tanner",1000074678,Right,COR_KNI,659445fb-0fc9-4b1e-971d-fdfde61c1bfb,54.86543,-133.69769,19.25814,6.16744,-6.27794,-6.61922,-1.62418,2.99019,-6.72325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-08-15,18:44:13.20,1,4,"Scott, Matt",1000109996,Right,COR_KNI,"Moore, Malcom",1000069362,Left,BEL_BEL,Undefined,1,Top,0,2,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.25701,-1.084669,-1.077013,2144.058981,224.775896,1:30,6.2659,1.5488,5.86667,-18.23056,15.85741,14.49926,3.73882,1.7565,82.12286,-4.563269,1.524456,0.420216,,,,,,,,,,,,-7.68867,8.79654,-1.46966,50,6.16758,1.83378,-132.31583,-3.05692,-13.40967,32.50078,-16.83214,COR_KNI,BEL_BEL,GossStadium,WCL,WCL,20220815-GossStadium-1,ee682230-1d04-11ed-a1bb-dde74f3eeee3,89.69786,,,9.13415,,,,,,,99751761-8605-4e0a-aa4e-9de91bc349e5,2022-08-16,01:44:13.20,2022-08-15T18:44:13.2099352-07:00,2022-08-16T01:44:13.2099352Z,,v3,,,,"Smith, Tanner",1000074678,Right,COR_KNI,b8b3d17c-2dc8-4069-a133-518dbf0c59af,54.62771,-133.44769,16.25039,6.26383,-2.47073,-8.41607,-1.54166,2.30078,-6.70484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-08-15,18:44:32.14,1,5,"Scott, Matt",1000109996,Right,COR_KNI,"Moore, Malcom",1000069362,Left,BEL_BEL,Undefined,1,Top,0,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.36952,-1.677091,-2.351382,2201.064766,213.734013,1:00,6.25229,1.64203,5.54367,-13.96721,20.0458,12.48831,3.51926,0.48401,82.35122,-4.393982,-0.126642,0.419753,,,,,,,,,,,,-7.04315,11.02528,-1.44646,50,6.09803,4.88696,-133.59687,-4.29622,-12.42849,35.11774,-12.71857,COR_KNI,BEL_BEL,GossStadium,WCL,WCL,20220815-GossStadium-1,f9b3ac90-1d04-11ed-a1bb-dde74f3eeee3,89.79663,,,10.01831,,,,,,,99751761-8605-4e0a-aa4e-9de91bc349e5,2022-08-16,01:44:32.14,2022-08-15T18:44:32.1473816-07:00,2022-08-16T01:44:32.1473816Z,,v3,,,,"Smith, Tanner",1000074678,Right,COR_KNI,5771b84b-131b-4c3d-bfeb-100120a57619,54.94862,-134.89141,17.55887,6.24776,-3.82738,-6.35928,-1.63505,5.34511,-6.21425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-08-15,18:45:04.09,1,6,"Scott, Matt",1000109996,Right,COR_KNI,"Moore, Malcom",1000069362,Left,BEL_BEL,Undefined,1,Top,0,3,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,93.13664,-3.761715,-2.185466,2234.942373,221.344839,1:30,6.19914,1.60706,5.68052,-17.02721,16.23202,13.14953,1.26609,0.66466,83.59542,-6.996643,0.165025,0.415076,,,,,,,,,,,,-7.37583,9.86544,-1.43116,50,5.8713,4.52506,-134.60834,-9.39116,-13.25662,34.78299,-14.44281,COR_KNI,BEL_BEL,GossStadium,WCL,WCL,20220815-GossStadium-1,0cbd7be0-1d05-11ed-a1bb-dde74f3eeee3,90.80855,,,9.54123,,,,,,,99751761-8605-4e0a-aa4e-9de91bc349e5,2022-08-16,01:45:04.09,2022-08-15T18:45:04.0920000-07:00,2022-08-16T01:45:04.0920000Z,,v3,,,,"Smith, Tanner",1000074678,Right,COR_KNI,1798c46d-aa07-4471-828a-e1a9c32fb2cd,54.81396,-135.84658,17.39149,6.19646,-8.87701,-7.2214,-1.60065,4.99699,-6.62831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.10968,,,0.974438,,,,1.35199,4.01345,-0.58852,79.52752,4.24235,-45.24666,1.39958,85.87774,-5.83024,4.08604,15.13685,-15.33728,-0.67557,-52.39084,6.78917,High,High,High,,,High,High,High
7,2022-08-15,18:45:28.84,2,1,"Scott, Matt",1000109996,Right,COR_KNI,"Dayton, Cameron",1000113352,Left,BEL_BEL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.5037,-2.722258,-1.986318,2076.138713,215.831416,1:15,6.21831,1.86285,5.61771,-13.65891,19.59044,13.16457,2.53606,1.10541,83.15311,-5.382765,0.363288,0.415014,,,,,,,,,,,,-7.30981,11.23119,-1.70172,50,5.97737,4.05589,-135.15108,-6.80131,-13.14643,37.04257,-11.97515,COR_KNI,BEL_BEL,GossStadium,WCL,WCL,20220815-GossStadium-1,1b816420-1d05-11ed-a1bb-dde74f3eeee3,90.82201,,,10.35059,,,,,,,99751761-8605-4e0a-aa4e-9de91bc349e5,2022-08-16,01:45:28.84,2022-08-15T18:45:28.8473368-07:00,2022-08-16T01:45:28.8473368Z,,v3,,,,"Smith, Tanner",1000074678,Right,COR_KNI,36e61caf-9d21-4b11-b2f4-4daa54a957dc,54.87468,-136.48061,18.52128,6.21377,-6.3715,-5.98758,-1.85575,4.52774,-6.57322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-08-15,18:45:41.57,2,2,"Scott, Matt",1000109996,Right,COR_KNI,"Dayton, Cameron",1000113352,Left,BEL_BEL,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.80707,-3.041627,-1.827885,2069.262251,211.574589,1:00,6.19608,1.62998,5.90786,-13.92166,20.39214,11.63402,2.20864,0.90228,81.25892,-5.778202,0.260066,0.421605,,,,,,,,,,,,-6.56071,11.92509,-1.4895,50,5.94382,3.69696,-132.65187,-7.38784,-11.29957,37.20026,-11.63537,COR_KNI,BEL_BEL,GossStadium,WCL,WCL,20220815-GossStadium-1,2319d190-1d05-11ed-a1bb-dde74f3eeee3,89.40225,,,10.54815,,,,,,,99751761-8605-4e0a-aa4e-9de91bc349e5,2022-08-16,01:45:41.57,2022-08-15T18:45:41.5795992-07:00,2022-08-16T01:45:41.5795992Z,,v3,,,,"Smith, Tanner",1000074678,Right,COR_KNI,9d4e4528-f499-40db-ae03-9cfc0a8c9e30,54.5829,-133.93091,18.60013,6.19095,-6.98779,-5.81769,-1.62329,4.08547,-5.64979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-08-15,18:45:56.50,2,3,"Scott, Matt",1000109996,Right,COR_KNI,"Dayton, Cameron",1000113352,Left,BEL_BEL,Undefined,1,Top,1,0,2,Fastball,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,92.91694,-2.573646,-1.874507,2083.265005,221.392484,1:30,6.27303,1.70367,5.53682,-15.6921,17.74387,14.52643,2.55695,1.16155,83.45905,-5.572468,0.715042,0.416177,,,,,,,,,,,,-7.88323,10.13796,-1.55068,50,6.0395,3.70822,-134.45974,-6.52856,-14.17662,33.96734,-13.94265,COR_KNI,BEL_BEL,GossStadium,WCL,WCL,20220815-GossStadium-1,2bf85390-1d05-11ed-a1bb-dde74f3eeee3,90.56824,,,9.45789,,,,,,,99751761-8605-4e0a-aa4e-9de91bc349e5,2022-08-16,01:45:56.50,2022-08-15T18:45:56.5070000-07:00,2022-08-16T01:45:56.5070000Z,,v3,,,,"Smith, Tanner",1000074678,Right,COR_KNI,4d502c94-6eb8-488e-8cf8-0e19c8579bf7,54.95729,-135.70627,16.98367,6.2697,-6.01689,-6.97133,-1.69631,4.22847,-7.08831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.77419,2.882521,1.942579,0.939941,-0.86409,2.33127,-1.1922,1.74911,4.183,-2.19366,74.50381,3.18961,-50.27177,1.77621,81.45475,-4.33128,4.22136,12.43098,-14.37817,-2.24938,-56.93808,6.20127,High,High,High,,,High,High,High
10,2022-08-15,18:46:25.56,3,1,"Scott, Matt",1000109996,Right,COR_KNI,"Cresswell, Willis",1000072722,Right,BEL_BEL,Undefined,1,Top,2,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,92.86087,-2.722539,-2.876265,2026.3842,217.120681,1:15,6.27977,1.53751,5.78091,-15.40028,18.21532,12.72847,2.45823,-0.08013,82.42028,-5.707853,-0.599494,0.417294,100.91588,6.871035,-17.925535,1591.839609,,,,120.75434,117.93056,-19.684649,0.906822,-7.53682,10.66465,-1.30788,50,6.04597,6.15865,-134.17288,-6.82614,-13.31678,37.33931,-13.33073,COR_KNI,BEL_BEL,GossStadium,WCL,WCL,20220815-GossStadium-1,3d56bcd0-1d05-11ed-a1bb-dde74f3eeee3,90.32592,6.08341,,10.44059,,,,1.92701,2.91903,-0.1251,99751761-8605-4e0a-aa4e-9de91bc349e5,2022-08-16,01:46:25.56,2022-08-15T18:46:25.5670552-07:00,2022-08-16T01:46:25.5670552Z,LineDrive,v3,,,,"Smith, Tanner",1000074678,Right,COR_KNI,67f15f3c-26f9-4f39-b7dd-39f7d3d36d5b,54.71299,-135.47811,18.66965,6.27644,-6.36014,-6.66536,-1.5313,6.62416,-6.65839,,2.00486,138.64134,-17.14767,,,,,,,3.01568,16.24807,-21.69137,,,,,,,-0.10464,-45.54121,0.86252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
