PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-06-04,19:00:17.65,1,1,"Wagner, Layton",1000099970,Right,YAK_PIP,"Advincula, Jonah",1000121382,Left,COR_KNI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,88.5875,-1.672605,-2.940465,2375.552335,204.12309,12:45,5.51041,2.22887,6.44703,-14.68906,20.45627,8.62374,2.74712,0.24351,80.38476,-4.535596,-1.37935,0.426683,54.65415,49.808307,-166.463883,3524.100477,,,,,85.06166,,,-5.42012,11.57753,-2.02414,50,5.385,6.27136,-128.54384,-4.10237,-8.99565,28.65289,-12.95909,YAK_PIP,COR_KNI,YakimaCo,WCL,WCL,20220604-YakimaCo-1,3e56ca50-e473-11ec-af5b-1d2f87691936,88.3383,44.1081,,8.20274,,,,3.03136,3.01759,-0.30466,c795e08a-b497-430f-af31-4621b00521d4,2022-06-05,02:00:17.65,2022-06-04T19:00:17.6540984-07:00,2022-06-05T02:00:17.6540984Z,,v3,,,,"Borst, Jake",1000133030,Right,YAK_PIP,1ed2a556-4a7f-441d-a73e-c2021e1e25f9,54.05056,-129.44357,14.32645,5.50743,-3.69544,-6.47954,-2.22551,6.55384,-4.49782,338.035774,3.03217,-50.32073,7.18169,0.34006,-0.10985,0.17245,-0.11301,0.02803,-0.00249,3.01709,61.25404,-27.30079,4.38633,-1.39275,0.568,-0.15833,0.02328,-0.0014,-0.30457,-12.11065,0.69913,0.04277,-0.01396,0.01845,-0.01165,0.00286,-0.00025,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2022-06-04,19:00:37.22,1,2,"Wagner, Layton",1000099970,Right,YAK_PIP,"Advincula, Jonah",1000121382,Left,COR_KNI,Undefined,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.83267,0.769526,-0.675641,2327.134184,24.170048,6:45,5.84942,1.7085,5.86916,-65.71657,-14.32607,-7.14725,1.08792,0.48529,68.24951,-11.201749,-1.963446,0.515956,,,,,,,,,,,,3.48492,-7.18056,-1.64957,50,5.87317,1.51108,-107.35925,-0.56459,4.04276,19.6368,-40.50399,YAK_PIP,COR_KNI,YakimaCo,WCL,WCL,20220604-YakimaCo-1,4a0b9dd0-e473-11ec-af5b-1d2f87691936,73.05356,,,5.58316,,,,,,,c795e08a-b497-430f-af31-4621b00521d4,2022-06-05,02:00:37.22,2022-06-04T19:00:37.2295480-07:00,2022-06-05T02:00:37.2295480Z,,v3,,,,"Borst, Jake",1000133030,Right,YAK_PIP,0a6f037e-1833-41bb-9e09-c5e5a78566c0,54.63395,-108.20351,9.8184,5.86001,1.17684,-20.252,-1.7108,1.33727,2.02138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-06-04,19:00:55.30,1,3,"Wagner, Layton",1000099970,Right,YAK_PIP,"Advincula, Jonah",1000121382,Left,COR_KNI,Undefined,1,Top,0,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,72.48001,3.859052,0.363583,2311.121277,33.049488,7:00,5.88764,1.68029,5.95709,-65.27291,-12.06473,-8.92162,4.03233,1.27398,66.45772,-8.122202,-1.239777,0.525002,,,,,,,,,,,,4.65425,-6.71394,-1.70427,50,6.15837,-0.3581,-105.1904,5.14057,5.20334,18.21087,-39.68009,YAK_PIP,COR_KNI,YakimaCo,WCL,WCL,20220604-YakimaCo-1,54cc7460-e473-11ec-af5b-1d2f87691936,71.79491,,,6.02229,,,,,,,c795e08a-b497-430f-af31-4621b00521d4,2022-06-05,02:00:55.30,2022-06-04T19:00:55.3003320-07:00,2022-06-05T02:00:55.3003320Z,,v3,,,,"Borst, Jake",1000133030,Right,YAK_PIP,a1ee7879-ef50-47f1-988e-b7574661997e,54.545,-105.97432,9.10544,5.90032,6.84867,-19.84004,-1.68404,-0.58209,2.60167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-06-04,19:01:12.26,1,4,"Wagner, Layton",1000099970,Right,YAK_PIP,"Advincula, Jonah",1000121382,Left,COR_KNI,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,89.57416,-1.045801,-2.757296,2393.554967,196.90088,12:30,5.57481,2.05657,6.21514,-12.71973,21.99667,6.32063,3.54851,0.03683,81.07328,-3.546585,-1.618184,0.424071,52.51735,40.555896,-110.654791,4585.937442,,,,,81.53123,,,-4.11579,12.06694,-1.853,50,5.48991,5.99955,-129.93913,-2.65827,-6.97197,29.56922,-11.73312,YAK_PIP,COR_KNI,YakimaCo,WCL,WCL,20220604-YakimaCo-1,5edc2360-e473-11ec-af5b-1d2f87691936,88.88237,43.15689,,8.50088,,,,1.08659,3.62973,-0.0445,c795e08a-b497-430f-af31-4621b00521d4,2022-06-05,02:01:12.26,2022-06-04T19:01:12.2628920-07:00,2022-06-05T02:01:12.2628920Z,,v3,,,,"Borst, Jake",1000133030,Right,YAK_PIP,ef6648b2-dd08-45a0-9ef2-3384d33065b4,54.28114,-130.90973,14.78461,5.57085,-2.27313,-5.86656,-2.05369,6.22841,-3.48598,131.42723,1.08659,-20.643,1.23353,-0.71463,0.36207,-0.30488,0.28806,-0.14747,0.0279,3.62974,50.07883,-17.43377,0.94066,0.60171,-1.20559,1.11441,-0.4863,0.07959,-0.0445,-54.75942,5.06151,-1.49486,0.4259,-0.30336,0.37003,-0.24093,0.05395,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2022-06-04,19:01:34.33,1,5,"Wagner, Layton",1000099970,Right,YAK_PIP,"Advincula, Jonah",1000121382,Left,COR_KNI,Undefined,1,Top,0,2,2,Curveball,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,75.61829,2.753871,1.49152,2517.175311,49.444063,7:45,5.86251,1.5057,5.80558,-61.27803,-11.90312,-15.80013,3.31988,1.5764,69.03928,-8.470993,-1.342476,0.505737,,,,,,,,,,,,8.46693,-6.35193,-1.61874,50,6.05248,-2.27334,-109.74731,3.31682,10.24061,20.93124,-39.85661,YAK_PIP,COR_KNI,YakimaCo,WCL,WCL,20220604-YakimaCo-1,6c1e2690-e473-11ec-af5b-1d2f87691936,74.52976,,,6.57901,,,,,,,c795e08a-b497-430f-af31-4621b00521d4,2022-06-05,02:01:34.33,2022-06-04T19:01:34.3379256-07:00,2022-06-05T02:01:34.3379256Z,,v3,,,,"Borst, Jake",1000133030,Right,YAK_PIP,29c1d67b-5815-410a-bc01-d6f2be830cc4,54.69604,-110.63932,10.46562,5.87493,5.01536,-19.9283,-1.51256,-2.70975,5.12031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-06-04,19:02:03.76,2,1,"Wagner, Layton",1000099970,Right,YAK_PIP,"Scott, Spencer",1000121720,Right,COR_KNI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.87793,-1.201841,-3.446961,2549.383083,196.166183,12:30,5.70972,1.98533,5.98972,-16.03422,17.68843,4.82229,3.25754,-0.81116,83.13558,-4.255906,-2.582503,0.417958,,,,,,,,,,,,-3.41264,9.73386,-1.71595,50,5.60589,7.73478,-131.81785,-3.23286,-6.01714,27.46891,-15.01138,YAK_PIP,COR_KNI,YakimaCo,WCL,WCL,20220604-YakimaCo-1,7d9065f0-e473-11ec-af5b-1d2f87691936,90.18242,,,7.74235,,,,,,,c795e08a-b497-430f-af31-4621b00521d4,2022-06-05,02:02:03.76,2022-06-04T19:02:03.7693752-07:00,2022-06-05T02:02:03.7693752Z,,v3,,,,"Borst, Jake",1000133030,Right,YAK_PIP,78324102-c146-4e07-9a7d-ae51c078bd0b,54.50731,-132.75378,13.73446,5.70733,-2.72139,-7.50569,-1.98298,7.9398,-3.00857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-06-04,19:02:16.94,2,2,"Wagner, Layton",1000099970,Right,YAK_PIP,"Scott, Spencer",1000121720,Right,COR_KNI,Undefined,1,Top,1,0,1,ChangeUp,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.57476,0.784393,-2.325492,2426.844053,155.057381,11:15,5.72665,1.91158,5.96741,-35.97608,6.87414,-2.59,3.45654,-0.46151,73.9611,-5.886182,-2.790399,0.471138,,,,,,,,,,,,0.69398,3.71965,-1.72585,50,5.76882,4.84916,-117.00535,0.49191,0.96366,21.73022,-27.00895,YAK_PIP,COR_KNI,YakimaCo,WCL,WCL,20220604-YakimaCo-1,856dcba0-e473-11ec-af5b-1d2f87691936,80.00298,,,6.61366,,,,,,,c795e08a-b497-430f-af31-4621b00521d4,2022-06-05,02:02:16.94,2022-06-04T19:02:16.9407288-07:00,2022-06-05T02:02:16.9407288Z,,v3,,,,"Borst, Jake",1000133030,Right,YAK_PIP,9fb44670-49cd-476c-9d3d-d65758cf5b2d,54.53003,-117.84366,10.86511,5.72975,1.53386,-13.50448,-1.91221,4.81198,0.48183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-06-04,19:02:41.77,2,3,"Wagner, Layton",1000099970,Right,YAK_PIP,"Scott, Spencer",1000121720,Right,COR_KNI,Undefined,1,Top,1,0,2,ChangeUp,Slider,InPlay,Undefined,LineDrive,Double,0,0,,79.84566,0.848523,-0.959337,2526.345229,76.016347,8:30,5.76309,1.66819,5.7814,-45.32975,-1.57803,-11.45406,2.77524,-0.17896,73.74989,-7.456188,-3.012318,0.476068,90.45147,26.726623,8.173495,3266.29409,107.92901,49.41697,21.24437,342.83349,338.96869,16.747218,4.461145,5.6176,-0.67425,-1.58199,50,5.8055,2.37406,-116.08585,0.23983,7.69636,20.91692,-33.09782,YAK_PIP,COR_KNI,YakimaCo,WCL,WCL,20220604-YakimaCo-1,94436720-e473-11ec-af5b-1d2f87691936,79.17449,63.77022,,6.09577,,,,0.80142,2.71098,0.20556,c795e08a-b497-430f-af31-4621b00521d4,2022-06-05,02:02:41.77,2022-06-04T19:02:41.7732408-07:00,2022-06-05T02:02:41.7732408Z,FlyBall,v3,,,,"Borst, Jake",1000133030,Right,YAK_PIP,10218abd-8ce9-4098-8d9a-8358e786d3ba,54.71905,-116.93306,10.45846,5.76863,1.58041,-16.54891,-1.67183,2.06233,3.84818,211.095953,0.80177,117.28061,-20.4089,4.64536,-1.01634,0.23179,-0.04896,0.00691,-0.00042,2.71179,59.63667,-15.48682,0.18287,0.39761,-0.24199,0.07352,-0.01097,0.00064,0.20529,16.8509,3.58348,-1.26927,0.35086,-0.0813,0.01455,-0.00167,9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2022-06-04,19:03:30.19,3,1,"Wagner, Layton",1000099970,Right,YAK_PIP,"Loveless, Ethan",1000099692,Left,COR_KNI,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.4022,-1.500902,-3.722657,2171.041155,251.568253,2:30,5.59893,1.94816,6.06835,-33.32329,7.80477,19.32639,1.42983,0.10895,75.33315,-7.692974,-0.245504,0.461573,,,,,,,,,,,,-11.05949,4.86248,-1.6697,50,5.46469,7.04057,-119.48032,-4.16192,-15.9195,23.93035,-25.1748,YAK_PIP,COR_KNI,YakimaCo,WCL,WCL,20220604-YakimaCo-1,b1186260-e473-11ec-af5b-1d2f87691936,81.66085,,,7.06905,,,,,,,c795e08a-b497-430f-af31-4621b00521d4,2022-06-05,02:03:30.19,2022-06-04T19:03:30.1953336-07:00,2022-06-05T02:03:30.1953336Z,,v3,,,,"Borst, Jake",1000133030,Right,YAK_PIP,168acb6b-7306-45e5-8c9e-c643b3ce9c78,54.43046,-120.36441,11.96517,5.60127,-3.23185,-12.5874,-1.94068,7.62871,-7.95975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-06-04,19:03:48.28,3,2,"Wagner, Layton",1000099970,Right,YAK_PIP,"Loveless, Ethan",1000099692,Left,COR_KNI,Undefined,1,Top,1,1,0,Slider,Curveball,HitByPitch,Undefined,Undefined,Undefined,0,0,,73.52727,0.647054,-2.182822,2329.453804,58.487771,8:00,5.79562,1.46423,5.86104,-59.71381,-7.45284,-14.96481,1.42105,-1.81167,67.4938,-10.265129,-4.869324,0.520308,34.97257,33.784555,-125.785574,3190.799301,,,,61.81081,34.03942,-129.959029,1.672627,7.02733,-3.59465,-1.27823,50,5.81315,4.58157,-106.74133,-0.58085,8.00381,20.56945,-36.26818,YAK_PIP,COR_KNI,YakimaCo,WCL,WCL,20220604-YakimaCo-1,bbeff540-e473-11ec-af5b-1d2f87691936,72.4426,12.66649,,6.03347,,,,1.52936,1.51704,1.80913,c795e08a-b497-430f-af31-4621b00521d4,2022-06-05,02:03:48.28,2022-06-04T19:03:48.2812728-07:00,2022-06-05T02:03:48.2812728Z,GroundBall,v3,,,,"Borst, Jake",1000133030,Right,YAK_PIP,0162cce1-7a75-4e60-8f1f-aada1a962c28,54.63996,-107.63176,10.28472,5.80431,0.98914,-18.13409,-1.46907,4.23509,4.0019,46.028865,1.52936,-24.92888,-0.17258,0.25307,-0.09363,0.11822,-0.08996,0.0335,-0.00498,1.51703,28.52375,-18.94276,1.06102,-0.30699,0.12835,-0.00036,-0.02139,0.0052,1.80915,-34.58443,2.91839,0.06791,-0.14493,0.49203,-0.48501,0.20372,-0.03232,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
