PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-06-09,18:37:50.97,1,1,"Boone, James",1000121395,Left,SPR_DRI,"Jackson, Elijah",1000131969,Right,BEN_ELK,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.73375,-1.936629,0.849807,1873.372002,179.303019,12:00,6.18899,-1.48235,6.22703,-24.24375,17.93847,-0.19843,2.38104,-0.71478,73.39549,-6.567381,0.813953,0.467451,,,,,,,,,,,,0.39354,10.41312,1.41898,50,6.03235,-1.74926,-118.4457,-4.63665,0.54665,27.30684,-17.70946,SPR_DRI,BEN_ELK,HamlinSC,WCL,WCL,20220609-HamlinSC-1,f3a74130-e85d-11ec-9c08-a7acf2327298,80.63399,,,8.33826,,,,,,,ee747613-d86f-4070-82ec-2310f6d7d8ab,2022-06-10,01:37:50.97,2022-06-09T18:37:50.9770000-07:00,2022-06-10T01:37:50.9770000Z,,v3,,,,"Stevens, Nate",1000073259,Right,SPR_DRI,454eaf4c-9232-4259-8c03-ebbf4dce87ac,54.26499,-119.42492,13.65342,6.18723,-4.00159,-8.85473,1.48206,-1.76886,0.27333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-06-09,18:38:06.67,1,2,"Boone, James",1000121395,Left,SPR_DRI,"Jackson, Elijah",1000131969,Right,BEN_ELK,Undefined,1,Top,0,0,1,Fastball,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.80634,-2.212661,0.900574,1864.045758,187.660281,12:15,6.13068,-1.26614,6.12863,-24.72702,16.47954,2.00524,2.02359,-0.26654,74.50606,-6.906649,1.262283,0.462013,,,,,,,,,,,,-0.72555,9.7089,1.19635,50,5.94889,-1.96434,-119.991,-5.31767,-1.03562,27.75813,-18.316,SPR_DRI,BEN_ELK,HamlinSC,WCL,WCL,20220609-HamlinSC-1,fd1028e0-e85d-11ec-9c08-a7acf2327298,81.58299,,,8.30028,,,,,,,ee747613-d86f-4070-82ec-2310f6d7d8ab,2022-06-10,01:38:06.67,2022-06-09T18:38:06.6710000-07:00,2022-06-10T01:38:06.6710000Z,,v3,,,,"Stevens, Nate",1000073259,Right,SPR_DRI,446107c7-c58f-4e0b-b9de-8bee10e0e40d,54.36462,-120.99647,13.87907,6.12949,-4.65421,-9.158,1.26682,-1.92683,-0.51781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-06-09,18:38:25.55,1,3,"Boone, James",1000121395,Left,SPR_DRI,"Jackson, Elijah",1000131969,Right,BEN_ELK,Undefined,1,Top,0,0,2,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,82.73896,-0.510796,-0.317542,1927.036187,169.13111,11:45,6.12595,-1.82914,6.3552,-25.17368,15.75918,-2.72547,3.558,-2.34853,74.13857,-5.33009,-0.811149,0.460476,,,,,,,,,,,,1.29492,8.81977,1.85326,50,6.07726,0.77033,-119.99812,-1.73309,1.84487,28.17983,-19.60856,SPR_DRI,BEN_ELK,HamlinSC,WCL,WCL,20220609-HamlinSC-1,084a2710-e85e-11ec-9c08-a7acf2327298,81.85532,,,8.60039,,,,,,,ee747613-d86f-4070-82ec-2310f6d7d8ab,2022-06-10,01:38:25.55,2022-06-09T18:38:25.5530000-07:00,2022-06-10T01:38:25.5530000Z,,v3,,,,"Stevens, Nate",1000073259,Right,SPR_DRI,4b9efea2-0ff0-46f0-83c3-c2c66d70b173,54.13665,-120.96565,14.08992,6.1252,-1.05984,-9.80428,1.8279,0.70698,0.92243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-06-09,18:38:41.40,1,4,"Boone, James",1000121395,Left,SPR_DRI,"Jackson, Elijah",1000131969,Right,BEN_ELK,Undefined,1,Top,0,1,2,Fastball,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,79.89002,-2.054824,2.725971,1589.262357,122.799732,10:00,5.85068,-1.93018,6.40923,-34.00939,9.72508,-12.56678,1.12434,-0.46917,72.26663,-8.443081,0.447205,0.475974,,,,,,,,,,,,7.46792,6.23634,1.7405,50,5.68829,-5.06513,-115.794,-5.09754,9.94825,25.42315,-23.86642,SPR_DRI,BEN_ELK,HamlinSC,WCL,WCL,20220609-HamlinSC-1,11c97cf0-e85e-11ec-9c08-a7acf2327298,79.19011,,,7.62339,,,,,,,ee747613-d86f-4070-82ec-2310f6d7d8ab,2022-06-10,01:38:41.40,2022-06-09T18:38:41.4020000-07:00,2022-06-10T01:38:41.4020000Z,,v3,,,,"Stevens, Nate",1000073259,Right,SPR_DRI,dc91e5fd-da2c-4e62-9db0-32c0c3f2d228,54.08644,-116.68775,12.71158,5.85274,-4.25852,-11.93321,1.92471,-5.41486,4.97413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.08994,,,0.867798,,,,-0.63087,6.06428,-4.81136,65.79736,7.85877,-58.97459,-0.51637,81.71529,-6.04827,6.11045,12.67305,-12.25794,-5.00418,-69.42465,8.23657,High,High,High,,,High,High,High
5,2022-06-09,18:39:12.51,2,1,"Boone, James",1000121395,Left,SPR_DRI,"Kasper, Riley",1000133017,Right,BEN_ELK,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,83.25851,-1.776139,0.344794,1958.007946,176.514053,12:00,6.0912,-1.57818,6.47907,-22.50285,17.97092,-0.99555,2.58454,-1.34454,74.29896,-6.121832,0.164031,0.457887,,,,,,,,,,,,0.63846,10.47532,1.55431,50,5.95633,-0.68758,-120.65543,-4.28988,0.91468,29.63536,-17.16712,SPR_DRI,BEN_ELK,HamlinSC,WCL,WCL,20220609-HamlinSC-1,24411e60-e85e-11ec-9c08-a7acf2327298,82.31823,,,8.95955,,,,,,,ee747613-d86f-4070-82ec-2310f6d7d8ab,2022-06-10,01:39:12.51,2022-06-09T18:39:12.5110000-07:00,2022-06-10T01:39:12.5110000Z,,v3,,,,"Stevens, Nate",1000073259,Right,SPR_DRI,8d29c0ec-ee11-450a-a8fe-d2f1bb25abd0,54.01146,-121.63674,14.81768,6.08897,-3.72143,-8.58356,1.57758,-0.71787,0.45734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-06-09,18:39:27.74,2,2,"Boone, James",1000121395,Left,SPR_DRI,"Kasper, Riley",1000133017,Right,BEN_ELK,Undefined,1,Top,1,1,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,82.82543,-1.656485,0.856202,2093.064653,182.23654,12:00,6.11869,-1.59254,6.36612,-23.50588,17.37784,0.61685,2.635,-0.75322,74.26839,-6.164756,0.967946,0.4602,95.66628,12.092746,-17.555537,1251.657361,103.2943,13.30648,-37.81894,190.60178,160.35188,-22.953737,1.702389,-0.0226,10.0867,1.53041,50,5.98811,-1.81787,-120.09907,-4.07698,-0.03223,28.52903,-17.79994,SPR_DRI,BEN_ELK,HamlinSC,WCL,WCL,20220609-HamlinSC-1,2d613d40-e85e-11ec-9c08-a7acf2327298,81.90447,13.52253,,8.55704,,,,2.08032,2.67912,0.78764,ee747613-d86f-4070-82ec-2310f6d7d8ab,2022-06-10,01:39:27.74,2022-06-09T18:39:27.7400000-07:00,2022-06-10T01:39:27.7400000Z,LineDrive,v3,,,,"Stevens, Nate",1000073259,Right,SPR_DRI,fb528b92-176d-43f1-9717-e427db2b6d9d,54.12797,-121.07568,14.26451,6.11724,-3.46765,-8.89997,1.59262,-1.81677,-0.01612,84.539964,2.08032,130.80714,-20.65978,2.90194,-0.54216,0.06832,-0.00474,-0.00037,0.00014,2.67912,29.39456,-21.75467,2.8212,-0.60166,0.13157,-0.02048,0.00205,-8E-05,0.78764,-41.38197,-4.1318,2.19217,-0.60422,0.13932,-0.01949,0.00081,0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2022-06-09,18:40:03.22,3,1,"Boone, James",1000121395,Left,SPR_DRI,"Scavatto, Evan",1000131974,Right,BEN_ELK,Undefined,1,Top,1,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.86147,-2.838248,3.483323,1592.079941,108.515412,9:30,5.88893,-2.04092,6.35009,-39.23065,6.03193,-12.8339,0.00022,0.09982,71.33212,-10.142931,1.158318,0.484218,,,,,,,,,,,,7.97721,4.57091,1.79403,50,5.66424,-6.50717,-114.14327,-6.76821,10.27563,25.63613,-26.28614,SPR_DRI,BEN_ELK,HamlinSC,WCL,WCL,20220609-HamlinSC-1,428e13a0-e85e-11ec-9c08-a7acf2327298,77.84185,,,7.52935,,,,,,,ee747613-d86f-4070-82ec-2310f6d7d8ab,2022-06-10,01:40:03.22,2022-06-09T18:40:03.2200000-07:00,2022-06-10T01:40:03.2200000Z,,v3,,,,"Stevens, Nate",1000073259,Right,SPR_DRI,d455a0ab-0201-4869-86d7-f7b221f61607,54.14745,-115.071,12.81806,5.89196,-5.81696,-13.14307,2.03624,-6.87903,5.13782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-06-09,18:40:26.55,3,2,"Boone, James",1000121395,Left,SPR_DRI,"Scavatto, Evan",1000131974,Right,BEN_ELK,Undefined,1,Top,1,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.2633,-0.125772,0.962979,1861.577967,164.639482,11:30,6.11297,-1.92737,6.34441,-27.28773,15.19292,-3.72571,3.72319,-1.35128,72.76716,-5.33941,0.288488,0.469102,,,,,,,,,,,,2.24807,8.41048,1.85894,50,6.09117,-1.838,-117.83113,-0.97945,3.08712,27.23977,-20.62441,SPR_DRI,BEN_ELK,HamlinSC,WCL,WCL,20220609-HamlinSC-1,5078b2e0-e85e-11ec-9c08-a7acf2327298,80.35027,,,8.49614,,,,,,,ee747613-d86f-4070-82ec-2310f6d7d8ab,2022-06-10,01:40:26.55,2022-06-09T18:40:26.5560000-07:00,2022-06-10T01:40:26.5560000Z,,v3,,,,"Stevens, Nate",1000073259,Right,SPR_DRI,10577c95-2db0-47af-827d-71a27c74a8f9,54.14686,-118.78591,13.61989,6.11283,-0.25654,-10.31221,1.92526,-1.94621,1.54356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-06-09,18:40:49.61,3,3,"Boone, James",1000121395,Left,SPR_DRI,"Scavatto, Evan",1000131974,Right,BEN_ELK,Undefined,1,Top,1,2,0,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,81.82565,-2.307424,1.592456,1916.453246,175.224969,11:45,6.18568,-1.7326,6.16382,-25.06454,17.39761,-1.31016,1.96358,-0.37042,73.13985,-7.087869,1.356061,0.468999,,,,,,,,,,,,1.26059,10.32516,1.61256,50,5.99814,-3.24466,-118.48245,-5.44498,1.73989,28.762,-17.92309,SPR_DRI,BEN_ELK,HamlinSC,WCL,WCL,20220609-HamlinSC-1,5e30d070-e85e-11ec-9c08-a7acf2327298,80.36776,,,8.6858,,,,,,,ee747613-d86f-4070-82ec-2310f6d7d8ab,2022-06-10,01:40:49.61,2022-06-09T18:40:49.6130000-07:00,2022-06-10T01:40:49.6130000Z,,v3,,,,"Stevens, Nate",1000073259,Right,SPR_DRI,9bff55cc-aef0-4bfb-9a08-e862c4cf8e3e,54.33035,-119.52904,14.381,6.18441,-4.7928,-8.96155,1.73178,-3.30797,0.86994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-06-09,18:41:29.51,3,4,"Boone, James",1000121395,Left,SPR_DRI,"Scavatto, Evan",1000131974,Right,BEN_ELK,Undefined,1,Top,1,2,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,76.89891,-0.631025,2.412126,1473.182682,118.897996,10:00,5.87418,-2.05929,6.22671,-40.28156,7.45174,-10.16032,1.93465,-0.6792,69.16981,-8.177916,0.576038,0.497258,,,,,,,,,,,,6.08079,4.6337,1.88377,50,5.80758,-4.32889,-111.43503,-2.36095,7.46084,24.54795,-26.48869,SPR_DRI,BEN_ELK,HamlinSC,WCL,WCL,20220609-HamlinSC-1,760239f0-e85e-11ec-9c08-a7acf2327298,75.80054,,,7.7291,,,,,,,ee747613-d86f-4070-82ec-2310f6d7d8ab,2022-06-10,01:41:29.51,2022-06-09T18:41:29.5180000-07:00,2022-06-10T01:41:29.5180000Z,,v3,,,,"Stevens, Nate",1000073259,Right,SPR_DRI,0f004db0-7583-4aac-b491-e049bb3b6008,54.26714,-112.3711,12.27397,5.87834,-1.35087,-13.24434,2.05426,-4.61339,3.73042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
