PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-06-15,18:33:44.38,1,1,"Angeroth, Carson",1000131984,Right,COW_BLA,"Advincula, Jonah",1000121382,Left,COR_KNI,Undefined,1,Top,0,1,1,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,86.92,-3.110801,-3.778235,2080.291556,,,5.6645,3.02736,5.71192,,,,1.23421,0.45364,78.69019,-6.583553,-1.742058,0.442689,,,,,,,,,,,,-7.01209,11.32331,-2.71812,50,5.39243,7.82403,-125.68515,-7.37834,-11.09242,28.10237,-14.26168,COW_BLA,COR_KNI,DavidStory,WCL,WCL,20220615-DavidStory-1,5d23f850-ed14-11ec-94b0-1db3d9fc6e6b,85.14436,,,8.22981,,,,,,,2feb07da-7b63-4c92-b6d1-fdfc48592fcc,2022-06-16,01:33:44.38,2022-06-15T18:33:44.3867386-07:00,2022-06-16T01:33:44.3867386Z,,v3,,,,"Parker, Aaron",1000074756,Right,COW_BLA,060f5cbd-4fe1-48cb-b5fa-7fdbc7aca3c6,54.78593,-126.75073,14.05118,5.66195,-6.83756,-7.13084,-3.02277,8.24463,-5.54621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
2,2022-06-15,18:33:59.97,1,2,"Angeroth, Carson",1000131984,Right,COW_BLA,"Advincula, Jonah",1000121382,Left,COR_KNI,Undefined,1,Top,0,2,1,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,81.15396,-5.75022,-4.911176,1718.476751,,,5.76225,2.80773,6.01685,,,,-1.71819,-0.55964,74.42596,-10.464464,-2.344969,0.472017,,,,,,,,,,,,-9.08634,11.25257,-2.43059,50,5.29472,9.55962,-116.9654,-12.53902,-12.51573,23.23858,-16.67452,COW_BLA,COR_KNI,DavidStory,WCL,WCL,20220615-DavidStory-1,665f4050-ed14-11ec-94b0-1db3d9fc6e6b,79.85407,,,6.72801,,,,,,,2feb07da-7b63-4c92-b6d1-fdfc48592fcc,2022-06-16,01:33:59.97,2022-06-15T18:33:59.9733498-07:00,2022-06-16T01:33:59.9733498Z,,v3,,,,"Parker, Aaron",1000074756,Right,COW_BLA,8109ccf0-e863-4dd5-b70d-072d3509eb61,54.48578,-117.85326,11.61929,5.76162,-11.90195,-8.33726,-2.80496,10.0378,-6.25787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
3,2022-06-15,18:34:14.75,1,3,"Angeroth, Carson",1000131984,Right,COW_BLA,"Advincula, Jonah",1000121382,Left,COR_KNI,Undefined,1,Top,0,3,1,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.71167,-1.975173,-4.094119,2145.152204,,,5.51513,3.10459,5.8721,,,,1.86728,0.05657,79.39938,-6.044103,-2.461155,0.439643,,,,,,,,,,,,-5.80674,8.89796,-2.77825,50,5.34235,8.61884,-125.61651,-5.00818,-9.29064,25.12685,-17.93752,COW_BLA,COR_KNI,DavidStory,WCL,WCL,20220615-DavidStory-1,6f42a450-ed14-11ec-94b0-1db3d9fc6e6b,85.73421,,,7.31229,,,,,,,2feb07da-7b63-4c92-b6d1-fdfc48592fcc,2022-06-16,01:34:14.75,2022-06-15T18:34:14.7559674-07:00,2022-06-16T01:34:14.7559674Z,,v3,,,,"Parker, Aaron",1000074756,Right,COW_BLA,83a3c01f-543b-49b2-8673-6ab0421e133e,54.62637,-126.53853,12.56343,5.51405,-4.34996,-8.96876,-3.10077,8.95975,-4.64532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
4,2022-06-15,18:34:27.95,1,4,"Angeroth, Carson",1000131984,Right,COW_BLA,"Advincula, Jonah",1000121382,Left,COR_KNI,Undefined,1,Top,0,3,2,Fastball,,BallCalled,Walk,Undefined,Undefined,0,0,,86.40073,-2.494202,-3.270202,2065.145088,,,5.62415,3.22385,5.76061,,,,1.65088,1.64651,78.51698,-6.232412,-0.11705,0.443529,,,,,,,,,,,,-9.9154,10.3939,-2.96339,50,5.40524,6.40488,-125.12684,-6.04257,-15.62134,26.72701,-15.79889,COW_BLA,COR_KNI,DavidStory,WCL,WCL,20220615-DavidStory-1,7715f7e0-ed14-11ec-94b0-1db3d9fc6e6b,84.98298,,,7.88375,,,,,,,2feb07da-7b63-4c92-b6d1-fdfc48592fcc,2022-06-16,01:34:27.95,2022-06-15T18:34:27.9546618-07:00,2022-06-16T01:34:27.9546618Z,,v3,,,,"Parker, Aaron",1000074756,Right,COW_BLA,59d3fe83-8cce-40d1-bc2d-faf9a8e31c9b,54.73682,-126.13457,13.3635,5.62184,-5.44688,-7.89944,-3.21599,6.99387,-7.81067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
5,2022-06-15,18:34:59.45,2,1,"Angeroth, Carson",1000131984,Right,COW_BLA,"Scott, Spencer",1000121720,Right,COR_KNI,Undefined,1,Top,0,0,0,Fastball,,InPlay,Undefined,FlyBall,Out,1,0,,85.38614,-1.503251,-4.488625,2058.445168,,,5.80364,3.13916,5.85776,,,,2.57278,0.15866,77.38353,-5.654136,-1.920037,0.448722,81.13808,36.319972,9.408471,4465.927922,105.87237,69.17293,29.85014,252.43208,250.3537,24.759154,4.731326,-8.69776,9.49327,-2.78268,50,5.66861,9.10983,-123.54704,-3.90008,-13.33369,26.49169,-17.62089,COW_BLA,COR_KNI,DavidStory,WCL,WCL,20220615-DavidStory-1,89e24900-ed14-11ec-94b0-1db3d9fc6e6b,83.99953,77.10409,,8.00261,,,,0.95659,2.57755,-0.10281,2feb07da-7b63-4c92-b6d1-fdfc48592fcc,2022-06-16,01:34:59.45,2022-06-15T18:34:59.4590970-07:00,2022-06-16T01:34:59.4590970Z,FlyBall,v3,,,,"Parker, Aaron",1000074756,Right,COW_BLA,35737cce-0f99-4610-a173-049ff994b56d,54.63954,-124.5379,13.24585,5.80216,-3.24101,-8.81045,-3.13274,9.60854,-6.66685,,0.95873,94.55026,-21.48992,4.79672,-0.83653,0.12086,-0.02102,0.00349,-0.00025,2.57873,70.44974,-18.42648,0.74992,0.26427,-0.2126,0.06785,-0.01007,0.00056,-0.10302,15.67715,5.1256,-1.90793,0.49469,-0.10832,0.02044,-0.00259,0.00014,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,High,Medium,,,
6,2022-06-15,18:35:46.28,3,1,"Angeroth, Carson",1000131984,Right,COW_BLA,"Romero, Kiko",1000118494,Left,COR_KNI,Undefined,1,Top,1,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,79.7042,-1.648003,-4.102035,1570.859919,,,5.64334,3.14642,5.86486,,,,1.03002,0.77884,72.82548,-8.471972,-0.986138,0.479827,,,,,,,,,,,,-10.21438,4.73504,-2.82415,50,5.48784,7.63892,-115.45532,-4.46565,-13.69507,22.83815,-25.82548,COW_BLA,COR_KNI,DavidStory,WCL,WCL,20220615-DavidStory-1,a5cc4800-ed14-11ec-94b0-1db3d9fc6e6b,78.55418,,,6.87872,,,,,,,2feb07da-7b63-4c92-b6d1-fdfc48592fcc,2022-06-16,01:35:46.28,2022-06-15T18:35:46.2834426-07:00,2022-06-16T01:35:46.2834426Z,,v3,,,,"Parker, Aaron",1000074756,Right,COW_BLA,4a6afe6a-239a-48f9-8234-a98fa47ae8e6,54.63537,-116.36863,11.41908,5.64578,-3.43288,-12.91274,-3.14059,8.18659,-6.84753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
7,2022-06-15,18:36:05.29,3,2,"Angeroth, Carson",1000131984,Right,COW_BLA,"Romero, Kiko",1000118494,Left,COR_KNI,Undefined,1,Top,1,1,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,85.63624,-0.88375,-2.675434,2057.206406,,,5.92388,3.49479,5.70574,,,,3.68287,1.92992,76.44572,-4.184221,-0.683089,0.451085,,,,,,,,,,,,-6.51737,11.99505,-3.27721,50,5.83948,5.30344,-123.90611,-2.34578,-9.90452,29.9406,-13.94504,COW_BLA,COR_KNI,DavidStory,WCL,WCL,20220615-DavidStory-1,b11dc5d0-ed14-11ec-94b0-1db3d9fc6e6b,83.55959,,,9.19052,,,,,,,2feb07da-7b63-4c92-b6d1-fdfc48592fcc,2022-06-16,01:36:05.29,2022-06-15T18:36:05.2985594-07:00,2022-06-16T01:36:05.2985594Z,,v3,,,,"Parker, Aaron",1000074756,Right,COW_BLA,4666948e-c67a-4215-b422-f149f3088fe6,54.78673,-125.05742,14.9703,5.91937,-1.80955,-6.97252,-3.48846,5.6843,-4.95226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
8,2022-06-15,18:36:21.71,3,3,"Angeroth, Carson",1000131984,Right,COW_BLA,"Romero, Kiko",1000118494,Left,COR_KNI,Undefined,1,Top,1,2,0,Fastball,,FoulBall,Undefined,Undefined,Undefined,0,0,,86.37878,-2.079807,-4.118122,2095.83841,,,5.67209,3.34371,5.83146,,,,2.18883,0.35891,79.2522,-5.579733,-2.297045,0.441041,73.03964,6.318282,-171.950882,4865.940854,,,,73.47071,43.69445,-172.013206,0.747701,-6.30674,10.63005,-3.01322,50,5.49098,8.59441,-125.15275,-5.0958,-10.0501,24.14134,-15.2345,COW_BLA,COR_KNI,DavidStory,WCL,WCL,20220615-DavidStory-1,bae52130-ed14-11ec-94b0-1db3d9fc6e6b,85.46239,3.76231,,7.12658,,,,0.76683,2.04268,-0.39267,2feb07da-7b63-4c92-b6d1-fdfc48592fcc,2022-06-16,01:36:21.71,2022-06-15T18:36:21.7103098-07:00,2022-06-16T01:36:21.7103098Z,GroundBall,v3,,,,"Parker, Aaron",1000074756,Right,COW_BLA,109bc91b-5f9c-49af-93f0-5c7806c02809,54.66725,-126.04983,12.07067,5.66982,-4.5297,-7.61725,-3.33952,8.96786,-5.02505,,0.75247,-105.16372,9.18267,,,,,,,2.07236,11.2543,-18.80863,,,,,,,-0.39855,-14.80186,2.25906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,Medium,Medium,,,
9,2022-06-15,18:36:46.22,3,4,"Angeroth, Carson",1000131984,Right,COW_BLA,"Romero, Kiko",1000118494,Left,COR_KNI,Undefined,1,Top,1,2,1,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,84.98925,-2.751447,-3.373145,2089.880295,,,5.77718,3.55586,5.8195,,,,1.47647,1.80852,77.74552,-6.672749,-0.382796,0.449178,,,,,,,,,,,,-9.50524,10.41127,-3.28977,50,5.5393,6.58744,-123.14731,-6.54341,-14.59062,24.5484,-16.19267,COW_BLA,COR_KNI,DavidStory,WCL,WCL,20220615-DavidStory-1,c985a2f0-ed14-11ec-94b0-1db3d9fc6e6b,83.91426,,,7.24373,,,,,,,2feb07da-7b63-4c92-b6d1-fdfc48592fcc,2022-06-16,01:36:46.22,2022-06-15T18:36:46.2207738-07:00,2022-06-16T01:36:46.2207738Z,,v3,,,,"Parker, Aaron",1000074756,Right,COW_BLA,f9357052-0c51-49ec-ac8e-4053eecd7731,54.67971,-124.07666,12.2742,5.77541,-5.93039,-8.09634,-3.54961,7.13982,-7.29531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
10,2022-06-15,18:37:05.59,3,5,"Angeroth, Carson",1000131984,Right,COW_BLA,"Romero, Kiko",1000118494,Left,COR_KNI,Undefined,1,Top,1,3,1,Fastball,,BallCalled,Walk,Undefined,Undefined,0,0,,86.52623,-2.637323,-5.269954,2075.809868,,,5.64654,3.0651,5.87299,,,,1.60504,-0.32106,79.20524,-6.220943,-2.010575,0.441043,,,,,,,,,,,,-10.83784,10.60875,-2.64874,50,5.42131,10.81005,-125.14256,-6.34298,-17.23629,24.57121,-15.30205,COW_BLA,COR_KNI,DavidStory,WCL,WCL,20220615-DavidStory-1,d513dba0-ed14-11ec-94b0-1db3d9fc6e6b,85.46214,,,7.32099,,,,,,,2feb07da-7b63-4c92-b6d1-fdfc48592fcc,2022-06-16,01:37:05.59,2022-06-15T18:37:05.5953146-07:00,2022-06-16T01:37:05.5953146Z,,v3,,,,"Parker, Aaron",1000074756,Right,COW_BLA,03ce36d1-7ed8-4033-b50b-481db51db3bc,54.62743,-126.04786,12.28561,5.64463,-5.77919,-7.65103,-3.05872,11.4451,-8.61815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
