PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-06-19,17:05:52.65,1,1,"Gartrell, Joey",1000131893,Right,COR_KNI,"Dunn, Hank",1000131760,Right,YAK_PIP,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.16728,-0.840914,-4.464036,2151.471658,215.644327,1:15,5.61716,3.05907,6.41269,-17.43678,16.74253,10.97816,3.38856,-0.13856,80.58809,-4.246401,-2.483465,0.420778,,,,,,,,,,,,-7.30437,9.39504,-2.74361,50,5.54878,9.80435,-131.69936,-2.37588,-12.40715,36.53072,-16.21568,COR_KNI,YAK_PIP,GossStadium,WCL,WCL,20220619-GossStadium-1,c00b3530-f02c-11ec-8799-012d8258fa65,89.57797,,,10.57919,,,,,,,9b3f01ea-5f6a-4f26-98bd-81e30af8de87,2022-06-20,00:05:52.65,2022-06-19T17:05:52.6563662-07:00,2022-06-20T00:05:52.6563662Z,,v3,,,,"Leitgeb, Jake",1000069910,Right,COR_KNI,bfd6cdef-2bca-48a8-8c6e-545ed30dbf89,54.07776,-132.82563,18.26536,5.61432,-1.87594,-8.10784,-3.05178,10.18687,-6.20358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-06-19,17:06:10.44,1,2,"Gartrell, Joey",1000131893,Right,COR_KNI,"Dunn, Hank",1000131760,Right,YAK_PIP,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.63713,-2.401879,-6.013194,2381.103481,212.448756,1:00,5.65167,3.0017,6.53028,-15.6804,17.22465,10.11205,2.12817,-1.69205,82.55866,-5.462005,-4.192898,0.41286,,,,,,,,,,,,-7.33323,10.19363,-2.58638,50,5.47685,13.63135,-133.53179,-6.00694,-12.90979,35.44692,-14.22867,COR_KNI,YAK_PIP,GossStadium,WCL,WCL,20220619-GossStadium-1,ca9d5aa0-f02c-11ec-8799-012d8258fa65,91.29593,,,10.07847,,,,,,,9b3f01ea-5f6a-4f26-98bd-81e30af8de87,2022-06-20,00:06:10.44,2022-06-19T17:06:10.4422734-07:00,2022-06-20T00:06:10.4422734Z,,v3,,,,"Leitgeb, Jake",1000069910,Right,COR_KNI,b28d4583-70cc-4b6e-85c3-8073d1d4d506,53.96181,-134.57936,17.72346,5.64817,-5.58643,-7.11434,-2.99487,14.01288,-6.4549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-06-19,17:06:27.60,1,3,"Gartrell, Joey",1000131893,Right,COR_KNI,"Dunn, Hank",1000131760,Right,YAK_PIP,Undefined,1,Top,0,1,1,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,82.31138,0.445215,-3.166237,2078.535279,49.972864,7:45,5.63591,3.07804,6.07973,-44.12376,-2.30201,-4.56772,2.37148,-0.23497,74.26306,-7.724765,-3.987521,0.46545,60.25147,-26.221457,47.717172,,,,,4.41667,3.95674,46.382358,0.052323,1.26571,-0.86681,-2.83085,50,5.64752,6.77387,-119.24629,-0.50036,1.78323,27.53628,-33.3953,COR_KNI,YAK_PIP,GossStadium,WCL,WCL,20220619-GossStadium-1,d4e1fc50-f02c-11ec-8799-012d8258fa65,80.98073,2.05118,,8.04832,,,,0.2449,2.05118,0.11638,9b3f01ea-5f6a-4f26-98bd-81e30af8de87,2022-06-20,00:06:27.60,2022-06-19T17:06:27.6017486-07:00,2022-06-20T00:06:27.6017486Z,GroundBall,v3,,,,"Leitgeb, Jake",1000069910,Right,COR_KNI,0a26a211-b83b-4476-8917-d3f64f26b0f2,54.41661,-120.26185,13.76814,5.64326,0.73128,-16.69765,-3.07947,6.7081,0.89162,180,0.24309,53.54981,,,,,,,,2.0525,-39.20192,,,,,,,,0.1144,58.88592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,2022-06-19,17:07:03.27,2,1,"Gartrell, Joey",1000131893,Right,COR_KNI,"Coballes, Connor",1000064796,Right,YAK_PIP,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.57538,-2.104777,-4.406885,2272.241607,215.085529,1:15,5.63885,3.18797,6.36014,-16.64824,17.05863,11.0393,2.30785,0.04425,81.66686,-5.339282,-2.416563,0.41786,,,,,,,,,,,,-7.22949,9.96528,-2.87294,50,5.47809,9.72402,-132.33695,-5.30387,-12.49985,34.82602,-14.94394,COR_KNI,YAK_PIP,GossStadium,WCL,WCL,20220619-GossStadium-1,ea18bdc0-f02c-11ec-8799-012d8258fa65,90.2036,,,9.90852,,,,,,,9b3f01ea-5f6a-4f26-98bd-81e30af8de87,2022-06-20,00:07:03.27,2022-06-19T17:07:03.2712526-07:00,2022-06-20T00:07:03.2712526Z,,v3,,,,"Leitgeb, Jake",1000069910,Right,COR_KNI,841ea968-3c7e-44a1-b985-5064e952cedc,54.13265,-133.42007,17.41301,5.63582,-4.8391,-7.47197,-3.18141,10.11278,-6.24992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-06-19,17:07:20.21,2,2,"Gartrell, Joey",1000131893,Right,COR_KNI,"Coballes, Connor",1000064796,Right,YAK_PIP,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.21365,-2.449309,-5.703388,2370.250804,222.4254,1:30,5.68511,3.02851,6.54753,-16.46072,16.85706,14.13048,2.05475,-1.04146,81.74397,-5.66873,-3.154695,0.415441,,,,,,,,,,,,-9.39264,10.08107,-2.63798,50,5.50762,12.67107,-132.94138,-6.11204,-16.29816,36.56945,-14.68135,COR_KNI,YAK_PIP,GossStadium,WCL,WCL,20220619-GossStadium-1,f449d770-f02c-11ec-8799-012d8258fa65,90.72873,,,10.46968,,,,,,,9b3f01ea-5f6a-4f26-98bd-81e30af8de87,2022-06-20,00:07:20.21,2022-06-19T17:07:20.2116942-07:00,2022-06-20T00:07:20.2116942Z,,v3,,,,"Leitgeb, Jake",1000069910,Right,COR_KNI,c9625b7b-1156-4b7a-8d3c-db26778eee2f,53.94431,-134.02199,18.28472,5.68182,-5.67822,-7.34067,-3.01951,13.15267,-8.14908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-06-19,17:07:39.86,2,3,"Gartrell, Joey",1000131893,Right,COR_KNI,"Coballes, Connor",1000064796,Right,YAK_PIP,Undefined,1,Top,1,0,2,Slider,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,81.34033,-1.320436,-3.091198,2151.845196,55.487129,7:45,5.56746,3.15224,6.12738,-44.31006,-2.26677,-5.21134,0.6524,-0.1422,74.95136,-9.450819,-4.030605,0.466681,,,,,,,,,,,,1.81221,-0.43032,-2.91306,50,5.44335,6.56511,-118.0552,-4.11738,2.54629,23.39308,-32.77867,COR_KNI,YAK_PIP,GossStadium,WCL,WCL,20220619-GossStadium-1,ffee3030-f02c-11ec-8799-012d8258fa65,80.76709,,,6.38897,,,,,,,9b3f01ea-5f6a-4f26-98bd-81e30af8de87,2022-06-20,00:07:39.86,2022-06-19T17:07:39.8609230-07:00,2022-06-20T00:07:39.8609230Z,,v3,,,,"Leitgeb, Jake",1000069910,Right,COR_KNI,ba9ba7b3-73bd-478f-a100-59dc3cd544c7,54.37257,-118.91849,11.69654,5.57297,-2.90774,-16.38933,-3.15361,6.47114,1.27315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-06-19,17:08:05.45,2,4,"Gartrell, Joey",1000131893,Right,COR_KNI,"Coballes, Connor",1000064796,Right,YAK_PIP,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.99589,0.304043,-3.940635,2285.95616,211.998994,1:00,5.65115,2.99895,6.78324,-18.10977,14.74032,8.53607,4.42022,0.10714,82.62331,-3.187327,-2.388556,0.412515,,,,,,,,,,,,-5.62977,8.01835,-2.74501,50,5.66369,8.75828,-132.01383,0.24543,-9.88456,29.43561,-18.09565,COR_KNI,YAK_PIP,GossStadium,WCL,WCL,20220619-GossStadium-1,0f263700-f02d-11ec-8799-012d8258fa65,91.3723,,,8.37258,,,,,,,9b3f01ea-5f6a-4f26-98bd-81e30af8de87,2022-06-20,00:08:05.45,2022-06-19T17:08:05.4563150-07:00,2022-06-20T00:08:05.4563150Z,,v3,,,,"Leitgeb, Jake",1000069910,Right,COR_KNI,1045eead-5b6d-4b43-be49-5d06e98e83a3,53.7127,-132.83908,14.71781,5.6497,0.75276,-9.04783,-2.99445,9.0354,-4.94228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-06-19,17:08:21.77,2,5,"Gartrell, Joey",1000131893,Right,COR_KNI,"Coballes, Connor",1000064796,Right,YAK_PIP,Undefined,1,Top,1,1,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,92.33461,-2.083946,-5.077008,2291.181748,215.746541,1:15,5.67025,3.0156,6.62934,-15.1493,17.16619,11.55028,2.49138,-0.68259,83.67147,-5.022626,-2.987565,0.409144,80.63295,8.609706,18.882415,2937.351845,,,,137.19987,135.59039,23.748692,1.350904,-7.60339,9.98902,-2.6754,50,5.52208,11.4119,-133.62876,-5.25263,-13.63537,31.00304,-14.26047,COR_KNI,YAK_PIP,GossStadium,WCL,WCL,20220619-GossStadium-1,18e3ce60-f02d-11ec-8799-012d8258fa65,92.12501,7.63697,,8.66314,,,,0.61806,2.4369,0.73435,9b3f01ea-5f6a-4f26-98bd-81e30af8de87,2022-06-20,00:08:21.77,2022-06-19T17:08:21.7739086-07:00,2022-06-20T00:08:21.7739086Z,GroundBall,v3,,,,"Leitgeb, Jake",1000069910,Right,COR_KNI,780a343c-8c19-4d4b-90c3-da72c3a2b0d0,53.86795,-134.52317,15.50152,5.66768,-4.84123,-7.13024,-3.0103,11.80526,-6.81768,248.925596,0.61806,110.63623,-16.72327,3.12121,-0.63556,0.12658,-0.02544,0.00431,-0.00041,2.4369,17.70408,-15.67972,1.15386,-0.23033,0.05099,-0.00942,0.00162,-0.00016,0.73435,37.84132,2.28635,-0.40238,0.08227,-0.01565,0.0032,-0.00055,5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2022-06-19,17:08:57.46,3,1,"Gartrell, Joey",1000131893,Right,COR_KNI,"Griggs, Tyler",1000083994,Left,YAK_PIP,Undefined,1,Top,2,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.97717,-0.14201,-2.930493,1739.80344,274.789264,3:15,5.42764,3.30819,6.91024,-38.34738,-0.01449,15.24229,2.10253,1.90726,76.64839,-7.349906,-0.141162,0.445612,,,,,,,,,,,,-8.93461,0.46425,-3.12824,50,5.40614,5.71084,-122.04275,-1.3884,-13.37511,25.68658,-31.47904,COR_KNI,YAK_PIP,GossStadium,WCL,WCL,20220619-GossStadium-1,2e2983f0-f02d-11ec-8799-012d8258fa65,84.58572,,,7.32877,,,,,,,9b3f01ea-5f6a-4f26-98bd-81e30af8de87,2022-06-20,00:08:57.46,2022-06-19T17:08:57.4679886-07:00,2022-06-20T00:08:57.4679886Z,,v3,,,,"Leitgeb, Jake",1000069910,Right,COR_KNI,70ff6b6f-236a-4032-b5ab-21459ef1d80b,53.58841,-122.79569,12.84329,5.43331,-0.46568,-15.73952,-3.30138,6.10289,-6.68756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-06-19,17:09:14.36,3,2,"Gartrell, Joey",1000131893,Right,COR_KNI,"Griggs, Tyler",1000083994,Left,YAK_PIP,Undefined,1,Top,2,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.52957,-0.434834,-2.525135,1732.579498,262.372635,2:45,5.40092,3.24575,6.75759,-34.89069,3.5824,16.24576,2.09581,2.2917,76.26493,-7.021657,0.439982,0.446426,,,,,,,,,,,,-9.33174,2.50839,-3.08518,50,5.35996,4.80481,-122.69706,-1.93595,-13.95797,28.5364,-28.42214,COR_KNI,YAK_PIP,GossStadium,WCL,WCL,20220619-GossStadium-1,38431e00-f02d-11ec-8799-012d8258fa65,84.43147,,,8.26464,,,,,,,9b3f01ea-5f6a-4f26-98bd-81e30af8de87,2022-06-20,00:09:14.36,2022-06-19T17:09:14.3613774-07:00,2022-06-20T00:09:14.3613774Z,,v3,,,,"Leitgeb, Jake",1000069910,Right,COR_KNI,248c8138-df36-4a80-8082-747dd266e12b,53.73816,-123.56341,14.2682,5.40564,-1.07308,-14.21107,-3.23748,5.22857,-6.97898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
