PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-06-21,18:39:04.18,1,1,"Hope, Trevin",1000131848,Right,BEL_BEL,"Curry, Colin",1000132577,Left,PTA_LEF,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.50511,-4.35143,-2.429079,2282.749273,204.296403,12:45,6.12341,1.97064,6.85981,-14.66083,17.07399,7.22886,0.92383,0.35744,84.47114,-7.182385,-1.108651,0.405452,,,,,,,,,,,,-4.57095,10.68312,-1.81834,50,5.84008,5.41886,-134.09571,-10.55975,-8.28334,30.2845,-12.81444,BEL_BEL,PTA_LEF,JoeMartinStadium,WCL,WCL,20220621-JoeMartinStadium-1,1991ca10-f1cc-11ec-86ca-d399b4cc9524,92.96398,,,8.03397,,,,,,,e2fc65b3-eed5-4eab-a9d4-90b83c4921a4,2022-06-22,01:39:04.18,2022-06-21T18:39:04.1890258-07:00,2022-06-22T01:39:04.1890258Z,,v3,,,,"Schroeder, Jacob",1000080447,Right,BEL_BEL,8a7b24a1-b5b9-48fe-aadc-29d7c3bc7aed,53.63839,-134.91491,15.14225,6.12103,-10.21312,-6.40722,-1.96795,5.64293,-4.14167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-06-21,18:39:16.89,1,2,"Hope, Trevin",1000131848,Right,BEL_BEL,"Curry, Colin",1000132577,Left,PTA_LEF,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.93014,-3.603385,-2.261654,2201.502828,198.413906,12:30,6.08759,1.9393,6.59147,-12.25946,20.37851,6.39697,1.75742,0.39906,83.22997,-6.014785,-1.099454,0.411181,,,,,,,,,,,,-4.05929,12.16717,-1.78709,50,5.83535,5.00543,-133.22633,-8.65155,-7.2115,31.70706,-10.55857,BEL_BEL,PTA_LEF,JoeMartinStadium,WCL,WCL,20220621-JoeMartinStadium-1,212814a0-f1cc-11ec-86ca-d399b4cc9524,91.66872,,,8.70017,,,,,,,e2fc65b3-eed5-4eab-a9d4-90b83c4921a4,2022-06-22,01:39:16.89,2022-06-21T18:39:16.8978898-07:00,2022-06-22T01:39:16.8978898Z,,v3,,,,"Schroeder, Jacob",1000080447,Right,BEL_BEL,8cc70645-e970-4bce-a72c-cd267a5bcf9b,53.90442,-134.15234,15.85353,6.08352,-8.34319,-5.27928,-1.93635,5.21604,-3.60575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-06-21,18:39:29.82,1,3,"Hope, Trevin",1000131848,Right,BEL_BEL,"Curry, Colin",1000132577,Left,PTA_LEF,Undefined,1,Top,0,1,1,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,87.69234,-1.674384,-3.254722,1874.562246,236.425654,2:00,6.18025,1.93837,6.21721,-24.70265,11.59099,15.55477,2.57366,0.22796,79.53703,-6.331143,-0.448959,0.433597,,,,,,,,,,,,-9.0539,6.89461,-1.70198,50,6.04242,6.60545,-127.13304,-4.46954,-14.66692,28.54659,-21.00508,BEL_BEL,PTA_LEF,JoeMartinStadium,WCL,WCL,20220621-JoeMartinStadium-1,28e08d30-f1cc-11ec-86ca-d399b4cc9524,86.92957,,,8.15531,,,,,,,e2fc65b3-eed5-4eab-a9d4-90b83c4921a4,2022-06-22,01:39:29.82,2022-06-21T18:39:29.8283986-07:00,2022-06-22T01:39:29.8283986Z,,v3,,,,"Schroeder, Jacob",1000080447,Right,BEL_BEL,33478803-687f-4add-9978-b865a6e46d9c,54.27966,-128.0904,14.27329,6.18051,-3.76511,-10.50254,-1.93175,7.09733,-7.33346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-06-21,18:39:44.61,1,4,"Hope, Trevin",1000131848,Right,BEL_BEL,"Curry, Colin",1000132577,Left,PTA_LEF,Undefined,1,Top,0,1,2,Curveball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,82.73475,-3.061549,-4.047296,1766.057145,243.522322,2:00,6.11026,1.9977,7.17443,-29.966,8.95729,15.56174,0.82951,-0.37876,76.33992,-8.718247,-1.18895,0.449031,48.26822,-18.799606,94.67293,,,,,4.1829,3.121,47.597923,0.043337,-9.56189,6.00835,-1.76614,50,5.92248,8.01838,-120.07867,-7.16352,-13.98798,22.83007,-23.38449,BEL_BEL,PTA_LEF,JoeMartinStadium,WCL,WCL,20220621-JoeMartinStadium-1,31afccf0-f1cc-11ec-86ca-d399b4cc9524,83.94173,0.99167,,6.39483,,,,3.05798,0.99167,0.18538,e2fc65b3-eed5-4eab-a9d4-90b83c4921a4,2022-06-22,01:39:44.61,2022-06-21T18:39:44.6128594-07:00,2022-06-22T01:39:44.6128594Z,GroundBall,v3,,,,"Schroeder, Jacob",1000080447,Right,BEL_BEL,90c0a5f9-a78a-491e-a614-b7d88b4a7cd6,53.326,-120.70937,11.41503,6.11146,-6.51751,-11.69224,-1.99299,8.40481,-6.99399,,3.05809,-5.47615,,,,,,,,0.99215,-22.88261,,,,,,,,0.18398,66.99531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
5,2022-06-21,18:40:01.44,1,5,"Hope, Trevin",1000131848,Right,BEL_BEL,"Curry, Colin",1000132577,Left,PTA_LEF,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,93.35395,-2.879171,-2.042467,2382.385166,201.68971,12:45,6.12068,1.94524,6.53001,-14.04221,17.25237,6.46949,2.30545,0.60996,85.51654,-5.583533,-0.867956,0.40263,80.76439,5.805973,-74.588055,3246.021184,22.6296,9.45729,-107.64711,,153.44097,,,-3.95858,10.15024,-1.80604,50,5.91424,4.57459,-135.55338,-7.18113,-7.37362,29.32414,-13.26737,BEL_BEL,PTA_LEF,JoeMartinStadium,WCL,WCL,20220621-JoeMartinStadium-1,3bb4cd90-f1cc-11ec-86ca-d399b4cc9524,93.61561,9.51825,,7.83741,,,,0.26722,2.4138,-0.79528,e2fc65b3-eed5-4eab-a9d4-90b83c4921a4,2022-06-22,01:40:01.44,2022-06-21T18:40:01.4403026-07:00,2022-06-22T01:40:01.4403026Z,,v3,,,,"Schroeder, Jacob",1000080447,Right,BEL_BEL,15e43e0c-3cf1-445f-8c3f-5f9abb20db2c,53.9678,-136.40903,14.66207,6.11813,-6.794,-6.63369,-1.94266,4.78975,-3.68681,,0.26722,31.31857,-10.84996,1.90625,-0.33752,0.059,-0.00984,0.00142,-0.00012,2.4138,11.98284,-4.17715,-1.00891,0.26251,-0.05011,0.00977,-0.00153,0.00013,-0.79528,-113.60884,9.95987,-1.49293,0.21001,-0.02823,0.00364,-0.00047,4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
6,2022-06-21,18:40:16.89,1,6,"Hope, Trevin",1000131848,Right,BEL_BEL,"Curry, Colin",1000132577,Left,PTA_LEF,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,93.55607,-1.469327,-1.895438,2342.299436,198.972514,12:45,6.07478,1.82163,6.55433,-12.5693,19.0706,6.15595,3.67908,0.59606,84.062,-3.953991,-0.777475,0.404845,,,,,,,,,,,,-3.84221,10.80886,-1.69317,50,5.96764,4.23601,-135.73965,-3.75587,-7.03951,34.70342,-12.37063,BEL_BEL,PTA_LEF,JoeMartinStadium,WCL,WCL,20220621-JoeMartinStadium-1,44ec9320-f1cc-11ec-86ca-d399b4cc9524,93.10336,,,9.49407,,,,,,,e2fc65b3-eed5-4eab-a9d4-90b83c4921a4,2022-06-22,01:40:16.89,2022-06-21T18:40:16.8977362-07:00,2022-06-22T01:40:16.8977362Z,,v3,,,,"Schroeder, Jacob",1000080447,Right,BEL_BEL,69bf11f8-204e-424e-a266-47a7140cd5d6,53.94029,-136.74332,17.35171,6.0711,-3.39809,-6.18532,-1.81863,4.4396,-3.51976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-06-21,18:40:32.33,1,7,"Hope, Trevin",1000131848,Right,BEL_BEL,"Curry, Colin",1000132577,Left,PTA_LEF,Undefined,1,Top,0,1,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.8838,0.2941,-0.993828,1969.544798,35.365243,7:15,5.96583,2.02736,6.52486,-47.58117,-7.00367,-5.83886,2.27059,0.62894,75.50477,-8.518176,-2.056661,0.458474,,,,,,,,,,,,2.78012,-3.35433,-1.95603,50,5.96649,2.27412,-119.15809,-0.8354,3.99354,23.08972,-36.99239,BEL_BEL,PTA_LEF,JoeMartinStadium,WCL,WCL,20220621-JoeMartinStadium-1,4e31ed40-f1cc-11ec-86ca-d399b4cc9524,82.21291,,,6.37903,,,,,,,e2fc65b3-eed5-4eab-a9d4-90b83c4921a4,2022-06-22,01:40:32.33,2022-06-21T18:40:32.3370000-07:00,2022-06-22T01:40:32.3370000Z,,v3,,,,"Schroeder, Jacob",1000080447,Right,BEL_BEL,c44dcffb-1363-4fc3-aa33-6ed614340e13,53.97527,-119.92592,11.54486,5.97381,0.39475,-18.49619,-2.02945,2.14132,1.99677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.54628,2.134168,1.25824,0.875928,-0.00171,2.05479,-0.57764,-0.41609,4.697,-3.43008,67.92626,8.13094,-56.84181,-0.36938,82.20745,-4.81399,4.78778,16.21535,-14.10786,-3.6546,-69.52162,9.93304,High,High,High,,,High,High,High
8,2022-06-21,18:41:00.37,2,1,"Hope, Trevin",1000131848,Right,BEL_BEL,"Mulfur, Will",1000132581,Right,PTA_LEF,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,93.82234,-2.291744,-2.18288,2447.831459,215.82801,1:15,6.03151,1.98123,6.69752,-17.43525,13.68135,9.09441,2.48036,0.7421,85.00984,-5.64276,-0.526182,0.401483,69.13702,-27.476156,-1.341468,,,,,6.01175,6.01175,-8.093622,0.052778,-5.48201,8.25713,-1.83927,50,5.87192,4.82801,-136.18112,-5.92522,-10.17582,33.12912,-16.84697,BEL_BEL,PTA_LEF,JoeMartinStadium,WCL,WCL,20220621-JoeMartinStadium-1,5ed2d2e0-f1cc-11ec-86ca-d399b4cc9524,93.88301,2.47825,,8.8125,,,,1.18765,2.47825,-0.73484,e2fc65b3-eed5-4eab-a9d4-90b83c4921a4,2022-06-22,01:41:00.37,2022-06-21T18:41:00.3730386-07:00,2022-06-22T01:41:00.3730386Z,GroundBall,v3,,,,"Schroeder, Jacob",1000080447,Right,BEL_BEL,564372fa-b3be-456b-8353-f1153842f7fb,53.79915,-137.10223,16.56456,6.03015,-5.45681,-8.42348,-1.97744,5.11094,-5.08791,180,1.18485,90.26872,,,,,,,,2.47971,-46.95605,,,,,,,,-0.73477,-2.11385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2022-06-21,18:41:29.32,3,1,"Hope, Trevin",1000131848,Right,BEL_BEL,"Choi, B.Y.",1000132741,Left,PTA_LEF,Undefined,1,Top,2,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.19804,-2.848633,-4.071968,1945.316824,231.430009,1:45,6.10347,1.83501,6.42919,-19.7843,13.66957,15.63615,1.82785,-0.61077,82.51552,-6.618767,-1.244387,0.416289,,,,,,,,,,,,-9.36075,8.3713,-1.55098,50,5.89108,8.74625,-131.99302,-7.14761,-16.32158,31.14982,-17.57769,BEL_BEL,PTA_LEF,JoeMartinStadium,WCL,WCL,20220621-JoeMartinStadium-1,701cf0d0-f1cc-11ec-86ca-d399b4cc9524,90.54396,,,8.68252,,,,,,,e2fc65b3-eed5-4eab-a9d4-90b83c4921a4,2022-06-22,01:41:29.32,2022-06-21T18:41:29.3200850-07:00,2022-06-22T01:41:29.3200850Z,,v3,,,,"Schroeder, Jacob",1000080447,Right,BEL_BEL,ca6f750a-449c-4652-8f8a-6f7c8664610a,54.06623,-132.94916,15.57491,6.1022,-6.60806,-8.78884,-1.82713,9.24724,-8.16079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-06-21,18:41:41.81,3,2,"Hope, Trevin",1000131848,Right,BEL_BEL,"Choi, B.Y.",1000132741,Left,PTA_LEF,Undefined,1,Top,2,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.78224,-4.465619,-4.661017,2075.791776,222.645273,1:30,6.07206,1.941,6.59642,-16.70284,16.17962,13.82654,0.56701,-1.1865,83.33515,-7.669442,-2.156543,0.412718,,,,,,,,,,,,-8.62784,10.19103,-1.62719,50,5.75848,10.25007,-132.57298,-10.81728,-15.2239,30.60302,-14.19191,BEL_BEL,PTA_LEF,JoeMartinStadium,WCL,WCL,20220621-JoeMartinStadium-1,778f1190-f1cc-11ec-86ca-d399b4cc9524,91.32736,,,8.44709,,,,,,,e2fc65b3-eed5-4eab-a9d4-90b83c4921a4,2022-06-22,01:41:41.81,2022-06-21T18:41:41.8101714-07:00,2022-06-22T01:41:41.8101714Z,,v3,,,,"Schroeder, Jacob",1000080447,Right,BEL_BEL,24881623-89d2-4a74-b812-5a3e6724387c,53.89961,-133.47012,15.30151,6.0695,-10.40123,-7.09596,-1.93422,10.69637,-7.61195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
