PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-06-21,18:41:24.24,1,1,"Rosenfeld, Kyle",1000057801,Left,NAN_NIG,"Forbes, Jackson",1000133543,Right,KAM_NOR,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.5394,-2.236948,5.398646,2235.391971,133.862791,10:30,6.30405,-2.33595,5.70001,-21.93454,17.36162,-16.54619,2.38146,1.33051,77.12099,-6.381018,2.45733,0.451177,,,,,,,,,,,,10.03508,9.92611,1.89214,50,6.10218,-10.95672,-123.43505,-5.50012,15.28478,27.49603,-17.05525,NAN_NIG,KAM_NOR,SerauxmenStadium,WCL,WCL,20220621-SerauxmenStadium-1,6d730680-f1cc-11ec-8257-a999b6e65603,83.54255,,,8.4184,,,,,,,7fbfb268-9750-4e8f-888c-01088337e063,2022-06-22,01:41:24.24,2022-06-21T18:41:24.2497548-07:00,2022-06-22T01:41:24.2497548Z,,v3,,,,"Vrlak, Jake",1000131822,Right,NAN_NIG,d02dd149-f442-46ab-b805-bc63ccade5ce,54.79298,-124.49814,13.74802,6.30209,-4.8407,-8.52762,2.32719,-11.54768,7.64239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-06-21,18:41:42.16,1,2,"Rosenfeld, Kyle",1000057801,Left,NAN_NIG,"Forbes, Jackson",1000133543,Right,KAM_NOR,Undefined,1,Top,0,0,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.03242,-1.134304,3.874327,2259.20757,140.947928,10:45,6.4266,-2.32181,5.60042,-18.93249,19.8119,-14.93808,3.78743,0.05564,77.58508,-4.743265,1.215887,0.447998,,,,,,,,,,,,8.69811,10.75123,1.99936,50,6.31734,-7.77748,-124.4694,-3.01636,13.48927,27.65281,-15.50073,NAN_NIG,KAM_NOR,SerauxmenStadium,WCL,WCL,20220621-SerauxmenStadium-1,78149540-f1cc-11ec-8257-a999b6e65603,84.13531,,,8.44735,,,,,,,7fbfb268-9750-4e8f-888c-01088337e063,2022-06-22,01:41:42.16,2022-06-21T18:41:42.1613068-07:00,2022-06-22T01:41:42.1613068Z,,v3,,,,"Vrlak, Jake",1000131822,Right,NAN_NIG,93dba81c-2056-4d6c-890e-3c5c58adf05c,54.89228,-125.55159,13.8264,6.42351,-2.40974,-7.75036,2.31406,-8.30538,6.74464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-06-21,18:42:03.98,1,3,"Rosenfeld, Kyle",1000057801,Left,NAN_NIG,"Forbes, Jackson",1000133543,Right,KAM_NOR,Undefined,1,Top,0,0,2,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,86.269,-1.547413,3.462912,2323.442229,135.615222,10:30,6.50814,-2.0878,5.49598,-20.32233,18.37454,-16.60395,3.36425,-0.2285,77.80397,-5.394302,0.510626,0.447723,61.42982,52.562122,-146.543728,4879.61194,,,,,20.57013,,,9.47067,10.15792,1.79639,50,6.3594,-6.83645,-124.84529,-4.00433,14.75213,28.19812,-16.35138,NAN_NIG,KAM_NOR,SerauxmenStadium,WCL,WCL,20220621-SerauxmenStadium-1,8509d800-f1cc-11ec-8257-a999b6e65603,84.18699,27.65736,,8.46503,,,,1.31617,3.35659,0.27692,7fbfb268-9750-4e8f-888c-01088337e063,2022-06-22,01:42:03.98,2022-06-21T18:42:03.9846924-07:00,2022-06-22T01:42:03.9846924Z,,v3,,,,"Vrlak, Jake",1000131822,Right,NAN_NIG,ed573ad4-3e4c-4b90-bd24-8612e858d70d,54.99851,-125.96922,14.09906,6.50601,-3.35259,-8.17569,2.08059,-7.42444,7.37607,32.510241,1.32508,-45.9925,-0.91996,,,,,,,3.37343,70.98704,-28.9851,,,,,,,0.26596,-29.83474,9.14117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
4,2022-06-21,18:42:32.25,1,4,"Rosenfeld, Kyle",1000057801,Left,NAN_NIG,"Forbes, Jackson",1000133543,Right,KAM_NOR,Undefined,1,Top,0,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,73.5665,0.607359,3.659998,2302.291477,266.46515,3:00,5.86863,-2.50867,5.55454,-50.43837,3.15977,19.52848,2.23408,2.54298,66.64347,-8.634469,7.126898,0.526922,,,,,,,,,,,,-8.53662,2.01406,2.17928,50,5.88874,-7.53282,-106.39277,-0.41707,-9.55732,22.2085,-29.91916,NAN_NIG,KAM_NOR,SerauxmenStadium,WCL,WCL,20220621-SerauxmenStadium-1,96070e70-f1cc-11ec-8257-a999b6e65603,71.53327,,,6.92303,,,,,,,7fbfb268-9750-4e8f-888c-01088337e063,2022-06-22,01:42:32.25,2022-06-21T18:42:32.2588172-07:00,2022-06-22T01:42:32.2588172Z,,v3,,,,"Vrlak, Jake",1000131822,Right,NAN_NIG,1fdb095e-d54a-48de-a423-a629d6ecad4c,54.93897,-107.41879,11.10425,5.87607,0.96517,-14.95958,2.51709,-7.09127,-4.77866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-06-21,18:42:55.99,1,5,"Rosenfeld, Kyle",1000057801,Left,NAN_NIG,"Forbes, Jackson",1000133543,Right,KAM_NOR,Undefined,1,Top,0,1,2,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,70.96368,0.130306,2.260831,2273.639165,286.877139,3:30,5.78801,-2.55022,5.75197,-60.35818,-3.53736,18.31741,0.87955,1.08187,64.79717,-10.894732,5.542457,0.542532,,,,,,,,,,,,-8.63575,-1.33831,2.3511,50,5.7621,-4.67999,-102.90021,-1.51727,-9.06017,20.49608,-33.57815,NAN_NIG,KAM_NOR,SerauxmenStadium,WCL,WCL,20220621-SerauxmenStadium-1,a42085e0-f1cc-11ec-8257-a999b6e65603,69.47508,,,6.16651,,,,,,,7fbfb268-9750-4e8f-888c-01088337e063,2022-06-22,01:42:55.99,2022-06-21T18:42:55.9961100-07:00,2022-06-22T01:42:55.9961100Z,,v3,,,,"Vrlak, Jake",1000131822,Right,NAN_NIG,9857910a-069d-499b-92bb-be08343c8c45,54.74584,-103.8412,10.24804,5.79637,0.02433,-16.78908,2.55641,-4.26403,-4.53009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-06-21,18:43:32.73,2,1,"Rosenfeld, Kyle",1000057801,Left,NAN_NIG,"Chenier-Rondeau, Felix",1000131914,Left,KAM_NOR,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.32048,-2.139986,4.438091,2278.896531,143.752337,10:45,6.31347,-2.37187,5.67503,-18.70068,19.96564,-13.5591,2.75322,0.64378,77.52197,-5.715568,2.024472,0.447546,,,,,,,,,,,,8.26382,11.21568,2.00548,50,6.12104,-9.08539,-124.67549,-5.19918,12.79006,28.96927,-14.81538,NAN_NIG,KAM_NOR,SerauxmenStadium,WCL,WCL,20220621-SerauxmenStadium-1,b9f90590-f1cc-11ec-8257-a999b6e65603,84.22024,,,8.79851,,,,,,,7fbfb268-9750-4e8f-888c-01088337e063,2022-06-22,01:43:32.73,2022-06-21T18:43:32.7332364-07:00,2022-06-22T01:43:32.7332364Z,,v3,,,,"Vrlak, Jake",1000131822,Right,NAN_NIG,3d8f488a-889d-46cd-a77f-50f691d199ef,54.81669,-125.7897,14.48464,6.31006,-4.62935,-7.40769,2.36438,-9.57732,6.39503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-06-21,18:43:50.26,2,2,"Rosenfeld, Kyle",1000057801,Left,NAN_NIG,"Chenier-Rondeau, Felix",1000131914,Left,KAM_NOR,Undefined,1,Top,1,0,1,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,86.68075,-0.685101,4.555051,2299.934906,129.098125,10:15,6.4309,-2.18166,5.58235,-22.00859,16.44643,-18.44548,3.95502,0.54388,77.70011,-4.851796,1.276812,0.446322,70.66221,64.087827,-164.885173,5571.801591,,,,,12.98946,,,10.85835,8.95504,1.80211,50,6.35799,-9.18734,-125.2799,-2.19014,16.94495,29.57909,-18.19934,NAN_NIG,KAM_NOR,SerauxmenStadium,WCL,WCL,20220621-SerauxmenStadium-1,c467eb90-f1cc-11ec-8257-a999b6e65603,84.45131,29.20335,,8.98064,,,,1.44655,4.0869,-0.45098,7fbfb268-9750-4e8f-888c-01088337e063,2022-06-22,01:43:50.26,2022-06-21T18:43:50.2674444-07:00,2022-06-22T01:43:50.2674444Z,,v3,,,,"Vrlak, Jake",1000131822,Right,NAN_NIG,2aaf7f68-66c7-45a5-aaab-9789b0a934c5,54.9122,-126.43437,14.78954,6.42961,-1.47982,-9.09967,2.1736,-9.8487,8.47247,,1.45362,-44.03343,-4.0822,,,,,,,4.09838,92.72072,-36.99434,,,,,,,-0.45488,-11.63908,6.18623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
8,2022-06-21,18:44:15.01,2,3,"Rosenfeld, Kyle",1000057801,Left,NAN_NIG,"Chenier-Rondeau, Felix",1000131914,Left,KAM_NOR,Undefined,1,Top,1,0,2,Slider,Curveball,InPlay,Undefined,GroundBall,Single,0,0,,72.79992,1.74418,2.249295,2297.150926,289.964538,3:45,5.89219,-2.5973,5.54877,-56.74448,-3.48189,13.8552,2.79505,0.66017,67.38202,-8.579801,4.717627,0.52527,83.06939,1.190545,28.321612,2771.949823,,,,51.53405,48.97635,27.50996,0.43447,-6.46477,-1.85421,2.39303,50,6.00509,-4.6351,-105.71321,1.47765,-7.33309,17.61768,-34.27732,NAN_NIG,KAM_NOR,SerauxmenStadium,WCL,WCL,20220621-SerauxmenStadium-1,d32ff280-f1cc-11ec-8257-a999b6e65603,71.75823,2.97774,,5.4179,,,,2.18363,2.90625,-0.51034,7fbfb268-9750-4e8f-888c-01088337e063,2022-06-22,01:44:15.01,2022-06-21T18:44:15.0102028-07:00,2022-06-22T01:44:15.0102028Z,GroundBall,v3,,,,"Vrlak, Jake",1000131822,Right,NAN_NIG,33598f0c-4278-47f2-aeb4-5b4da76a3a76,54.95114,-106.53514,8.80884,5.89885,3.07683,-17.13866,2.60129,-4.29298,-3.66655,,2.1922,106.96347,-15.71097,,,,,,,2.91656,2.21347,-20.59736,,,,,,,-0.51017,57.78359,-4.19334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2022-06-21,18:44:52.09,3,1,"Rosenfeld, Kyle",1000057801,Left,NAN_NIG,"Or, Noah",1000120736,Right,KAM_NOR,Undefined,1,Top,1,0,0,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,86.51905,-1.818256,3.923166,2263.496714,134.54906,10:30,6.29794,-2.56742,5.62442,-20.00674,18.14572,-17.0717,2.92953,-0.32361,78.38534,-5.602983,0.882597,0.444562,71.93404,55.350909,157.366097,4310.446813,,,,,18.1095,,,9.8828,10.14678,2.24424,50,6.13021,-7.86989,-125.23158,-4.59449,15.56034,27.30821,-16.19805,NAN_NIG,KAM_NOR,SerauxmenStadium,WCL,WCL,20220621-SerauxmenStadium-1,e93eeb80-f1cc-11ec-8257-a999b6e65603,84.78548,27.99625,,8.13371,,,,2.39767,2.93389,0.31557,7fbfb268-9750-4e8f-888c-01088337e063,2022-06-22,01:44:52.09,2022-06-21T18:44:52.0919052-07:00,2022-06-22T01:44:52.0919052Z,,v3,,,,"Vrlak, Jake",1000131822,Right,NAN_NIG,5e76ddb4-4775-4992-97ce-536cdf96ef62,54.87157,-126.28941,13.65411,6.29604,-3.96703,-8.09903,2.56076,-8.47265,7.78017,351.431645,2.4031,-55.58345,-0.26147,,,,,,,2.94771,86.24264,-35.61261,,,,,,,0.31627,23.05726,-3.02469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2022-06-21,18:45:14.50,3,2,"Rosenfeld, Kyle",1000057801,Left,NAN_NIG,"Or, Noah",1000120736,Right,KAM_NOR,Undefined,1,Top,1,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.07403,3.452413,0.920931,2114.307591,294.967588,3:45,5.94664,-2.91596,5.52941,-60.94732,-4.1137,13.00623,4.09921,-0.97118,64.53063,-7.714461,3.237566,0.542593,,,,,,,,,,,,-6.21831,-2.50008,2.8273,50,6.20671,-2.12731,-102.94134,4.3423,-6.59047,19.04994,-34.82376,NAN_NIG,KAM_NOR,SerauxmenStadium,WCL,WCL,20220621-SerauxmenStadium-1,f6a4f170-f1cc-11ec-8257-a999b6e65603,69.46727,,,6.54341,,,,,,,7fbfb268-9750-4e8f-888c-01088337e063,2022-06-22,01:45:14.50,2022-06-21T18:45:14.5063436-07:00,2022-06-22T01:45:14.5063436Z,,v3,,,,"Vrlak, Jake",1000131822,Right,NAN_NIG,5ada5d92-c9a0-47a6-b7b9-10523c7e63f2,54.96673,-103.8564,9.52497,5.95795,6.01505,-17.41188,2.92189,-1.81073,-3.29524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
