PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-06-21,18:41:06.61,1,1,"Rice, Michael",1000050408,Right,YAK_PIP,"Jackson, Elijah",1000131969,Right,BEN_ELK,Undefined,1,Top,0,0,0,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,90.39007,-1.773845,-1.340421,2378.633079,226.710434,1:30,6.0708,0.59136,5.66192,-19.39666,15.00229,14.79434,2.79936,0.57408,82.89808,-5.405868,1.304204,0.422128,,,,,,,,,,,,-7.78398,8.40107,-0.48704,50,5.90851,2.40004,-131.22192,-4.69973,-13.62151,26.82475,-17.47268,YAK_PIP,BEN_ELK,YakimaCo,WCL,WCL,20220621-YakimaCo-1,628fdae0-f1cc-11ec-9b45-6fc764e779a5,89.2915,,,7.49199,,,,,,,f91e29fc-07fc-4cb0-b88e-d8f278447782,2022-06-22,01:41:06.61,2022-06-21T18:41:06.6179382-07:00,2022-06-22T01:41:06.6179382Z,,v3,,,,"Olsson, Sam",1000064831,Right,YAK_PIP,4ef87769-47f7-494a-ae95-226059d0ce66,54.83428,-132.20646,13.41237,6.06923,-4.05844,-8.73634,-0.58431,2.89999,-6.81075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-06-21,18:41:31.38,1,2,"Rice, Michael",1000050408,Right,YAK_PIP,"Jackson, Elijah",1000131969,Right,BEN_ELK,Undefined,1,Top,0,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.2174,0.613799,-0.523729,2314.694507,116.382142,10:00,6.03322,0.44129,5.56333,-43.32302,3.91016,-4.25634,2.99643,-0.40269,70.2777,-7.395354,-1.28373,0.494647,,,,,,,,,,,,1.94658,2.3452,-0.39334,50,6.05843,1.20712,-113.28979,-0.20023,2.47252,25.06848,-29.19521,YAK_PIP,BEN_ELK,YakimaCo,WCL,WCL,20220621-YakimaCo-1,71606d50-f1cc-11ec-9b45-6fc764e779a5,76.20076,,,7.9397,,,,,,,f91e29fc-07fc-4cb0-b88e-d8f278447782,2022-06-22,01:41:31.38,2022-06-21T18:41:31.3896246-07:00,2022-06-22T01:41:31.3896246Z,,v3,,,,"Olsson, Sam",1000064831,Right,YAK_PIP,a7629b35-7259-4e5d-b813-616d73af34a0,54.9293,-114.37534,12.53424,6.03973,1.06402,-14.59761,-0.4433,1.10005,1.23626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-06-21,18:41:50.75,1,3,"Rice, Michael",1000050408,Right,YAK_PIP,"Jackson, Elijah",1000131969,Right,BEN_ELK,Undefined,1,Top,0,0,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,88.69738,-0.968232,-1.795501,2313.480629,206.393229,1:00,6.17718,0.38823,5.64792,-16.88127,19.80922,9.11764,3.86679,-0.52721,79.13908,-4.227959,-0.167435,0.435962,66.49387,50.387698,146.363609,5369.255955,,,,,67.55585,,,-5.24902,10.78111,-0.2419,50,6.08487,3.62305,-128.41845,-2.64911,-8.55116,32.65192,-14.61056,YAK_PIP,BEN_ELK,YakimaCo,WCL,WCL,20220621-YakimaCo-1,7ce3a980-f1cc-11ec-9b45-6fc764e779a5,86.45816,57.75265,,9.55829,,,,1.10371,3.80832,0.47269,f91e29fc-07fc-4cb0-b88e-d8f278447782,2022-06-22,01:41:50.75,2022-06-21T18:41:50.7517750-07:00,2022-06-22T01:41:50.7517750Z,,v3,,,,"Olsson, Sam",1000064831,Right,YAK_PIP,9d5e551c-abb3-4efb-95c4-4a5828c69ae7,54.84598,-129.64474,16.32596,6.17405,-2.10039,-7.30528,-0.384,3.94421,-4.27558,322.764518,1.10371,-51.7695,-0.54042,1.8262,-0.68289,0.19903,-0.04797,0.00933,-0.00077,3.80832,75.13031,-28.81604,3.76146,-0.74133,0.10884,-0.0079,-0.0024,0.00065,0.47269,34.44298,-9.90932,2.73309,-0.64459,0.12279,-0.01808,0.00058,0.00023,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
4,2022-06-21,18:42:15.73,1,4,"Rice, Michael",1000050408,Right,YAK_PIP,"Jackson, Elijah",1000131969,Right,BEN_ELK,Undefined,1,Top,0,0,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,91.21622,-1.262569,-1.697067,2365.226348,220.934567,1:15,6.23019,0.42842,5.50362,-17.77155,16.83938,13.50139,3.56771,-0.03409,82.04356,-4.640102,0.70822,0.423426,70.97975,16.603665,164.435739,3574.328511,,,,,52.51567,,,-7.35319,9.26347,-0.28959,50,6.10842,3.2944,-132.15129,-3.4829,-12.79294,32.41538,-16.05767,YAK_PIP,BEN_ELK,YakimaCo,WCL,WCL,20220621-YakimaCo-1,8bc92380-f1cc-11ec-9b45-6fc764e779a5,89.01772,13.90522,,9.17266,,,,0.60564,3.50728,0.03232,f91e29fc-07fc-4cb0-b88e-d8f278447782,2022-06-22,01:42:15.73,2022-06-21T18:42:15.7371702-07:00,2022-06-22T01:42:15.7371702Z,,v3,,,,"Olsson, Sam",1000064831,Right,YAK_PIP,e3e17201-8078-4052-9b7d-028d1549b702,54.99167,-133.37008,16.20769,6.22802,-2.87915,-8.02884,-0.4225,3.77541,-6.39647,289.106326,0.60564,-96.10451,8.25242,-0.12448,0.02992,0.01238,-0.00191,-0.00274,0.0014,3.50728,29.74753,-21.23949,2.24795,-0.38554,0.0923,-0.01776,0.00526,-0.00163,0.03232,26.76825,-9.79319,1.14688,-0.23161,0.03823,-0.00561,0.00217,-0.0007,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
5,2022-06-21,18:42:42.81,1,5,"Rice, Michael",1000050408,Right,YAK_PIP,"Jackson, Elijah",1000131969,Right,BEN_ELK,Undefined,1,Top,0,0,2,Slider,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,82.54682,-0.983606,-1.871774,2238.024357,278.678031,3:15,6.15264,0.2405,5.44234,-40.84408,1.03685,2.12402,1.82743,-1.33569,75.64668,-8.433421,-1.493219,0.465778,,,,,,,,,,,,-1.61724,1.20882,-0.07654,50,6.0375,3.82627,-119.75165,-3.49757,-2.33755,24.12474,-30.42682,YAK_PIP,BEN_ELK,YakimaCo,WCL,WCL,20220621-YakimaCo-1,9bf3eec0-f1cc-11ec-9b45-6fc764e779a5,80.92353,,,6.90013,,,,,,,f91e29fc-07fc-4cb0-b88e-d8f278447782,2022-06-22,01:42:42.81,2022-06-21T18:42:42.8118838-07:00,2022-06-22T01:42:42.8118838Z,,v3,,,,"Olsson, Sam",1000064831,Right,YAK_PIP,2e42d398-25fd-44b0-a2a5-b0699195f29f,55.05548,-120.76582,12.06237,6.15765,-2.21847,-15.21341,-0.23946,3.92453,-1.16877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-06-21,18:43:17.36,2,1,"Rice, Michael",1000050408,Right,YAK_PIP,"Scavatto, Evan",1000131974,Right,BEN_ELK,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.23318,0.293837,0.419526,2130.981491,126.255761,10:15,6.01582,0.41368,5.14813,-41.74187,5.12091,-4.99303,2.81397,0.39256,71.86883,-7.310346,-0.465317,0.492703,,,,,,,,,,,,2.60276,2.91252,-0.4489,50,6.01127,-0.6297,-113.55717,-0.85454,3.40246,20.57418,-28.36666,YAK_PIP,BEN_ELK,YakimaCo,WCL,WCL,20220621-YakimaCo-1,b0906c00-f1cc-11ec-9b45-6fc764e779a5,76.50131,,,6.36435,,,,,,,f91e29fc-07fc-4cb0-b88e-d8f278447782,2022-06-22,01:43:17.36,2022-06-21T18:43:17.3613366-07:00,2022-06-22T01:43:17.3613366Z,,v3,,,,"Olsson, Sam",1000064831,Right,YAK_PIP,245c3ff0-b5f5-4782-a319-3219be42165c,55.34929,-114.52224,10.28709,6.02015,0.47606,-14.18333,-0.41562,-0.7893,1.70123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-06-21,18:43:31.72,2,2,"Rice, Michael",1000050408,Right,YAK_PIP,"Scavatto, Evan",1000131974,Right,BEN_ELK,Undefined,1,Top,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,76.98657,-0.415435,-1.091711,2212.069157,93.751166,9:15,6.11592,0.41471,5.47648,-46.38353,2.09449,-5.9613,1.86182,-1.10371,70.07111,-8.906163,-2.155224,0.501122,,,,,,,,,,,,2.65528,1.69599,-0.31471,50,6.04815,2.3577,-111.62808,-2.3227,3.30356,22.71556,-30.064,YAK_PIP,BEN_ELK,YakimaCo,WCL,WCL,20220621-YakimaCo-1,b920f510-f1cc-11ec-9b45-6fc764e779a5,75.21604,,,6.91546,,,,,,,f91e29fc-07fc-4cb0-b88e-d8f278447782,2022-06-22,01:43:31.72,2022-06-21T18:43:31.7278006-07:00,2022-06-22T01:43:31.7278006Z,,v3,,,,"Olsson, Sam",1000064831,Right,YAK_PIP,a6189619-3e3e-42dc-b9d9-175f9e164c8d,55.01979,-112.64494,11.35778,6.122,-0.97689,-15.032,-0.41695,2.20982,1.65178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-06-21,18:43:48.86,2,3,"Rice, Michael",1000050408,Right,YAK_PIP,"Scavatto, Evan",1000131974,Right,BEN_ELK,Undefined,1,Top,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.46783,-3.231144,-1.001976,2301.418808,219.228472,1:15,6.07206,0.45184,5.78136,-18.04556,17.51088,13.24788,1.55837,0.6235,80.95858,-6.652493,1.372118,0.429171,,,,,,,,,,,,-7.11489,10.34477,-0.37748,50,5.79476,1.70262,-129.60995,-7.86283,-11.93762,30.53806,-14.81716,YAK_PIP,BEN_ELK,YakimaCo,WCL,WCL,20220621-YakimaCo-1,c347fca0-f1cc-11ec-9b45-6fc764e779a5,87.82613,,,8.50926,,,,,,,f91e29fc-07fc-4cb0-b88e-d8f278447782,2022-06-22,01:43:48.86,2022-06-21T18:43:48.8605494-07:00,2022-06-22T01:43:48.8605494Z,,v3,,,,"Olsson, Sam",1000064831,Right,YAK_PIP,24df31ac-8b89-477d-b077-87047ce25945,54.71571,-130.71632,15.26903,6.0699,-7.32602,-7.40858,-0.44699,2.13511,-5.96881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-06-21,18:44:09.12,2,4,"Rice, Michael",1000050408,Right,YAK_PIP,"Scavatto, Evan",1000131974,Right,BEN_ELK,Undefined,1,Top,1,2,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.75823,-1.226736,-0.207251,2373.195586,225.198897,1:30,6.04936,0.48114,5.60381,-21.38883,14.83749,13.66331,3.12162,1.42628,80.33965,-5.248136,2.232686,0.433195,,,,,,,,,,,,-6.90918,8.25248,-0.47208,50,5.93083,-0.15094,-128.70425,-3.45067,-11.46073,29.47476,-18.48506,YAK_PIP,BEN_ELK,YakimaCo,WCL,WCL,20220621-YakimaCo-1,cf5f1460-f1cc-11ec-9b45-6fc764e779a5,87.0103,,,8.41858,,,,,,,f91e29fc-07fc-4cb0-b88e-d8f278447782,2022-06-22,01:44:09.12,2022-06-21T18:44:09.1267382-07:00,2022-06-22T01:44:09.1267382Z,,v3,,,,"Olsson, Sam",1000064831,Right,YAK_PIP,5302459e-73e4-48ab-8e06-2973f69d918a,54.8903,-129.81935,14.73738,6.04815,-2.75133,-9.24253,-0.47457,0.28264,-5.73036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-06-21,18:44:30.43,2,5,"Rice, Michael",1000050408,Right,YAK_PIP,"Scavatto, Evan",1000131974,Right,BEN_ELK,Undefined,1,Top,1,2,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.83128,0.396,-1.517756,2276.925704,112.822244,9:45,5.88545,0.54456,5.46156,-41.35455,3.35114,-4.53544,2.81002,-1.2543,73.03038,-7.181617,-2.325497,0.48123,,,,,,,,,,,,1.83016,2.0561,-0.40781,50,5.89237,3.25346,-115.82507,-0.60458,2.47736,22.35104,-29.39087,YAK_PIP,BEN_ELK,YakimaCo,WCL,WCL,20220621-YakimaCo-1,dc121e00-f1cc-11ec-9b45-6fc764e779a5,78.32519,,,6.8009,,,,,,,f91e29fc-07fc-4cb0-b88e-d8f278447782,2022-06-22,01:44:30.43,2022-06-21T18:44:30.4334134-07:00,2022-06-22T01:44:30.4334134Z,,v3,,,,"Olsson, Sam",1000064831,Right,YAK_PIP,362616af-6e55-4f9c-b3ca-1ed2354463af,55.03438,-116.79252,11.17552,5.891,0.6676,-14.69543,-0.54632,3.14623,1.23868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
