PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-06-27,18:37:54.77,1,1,"Hauck, Andrew",1000122046,Left,PTA_LEF,"Frei, Landon",1000119692,Right,NAN_NIG,Undefined,1,Top,0,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,73.32426,-1.749649,2.921164,1437.909945,144.027064,10:45,6.31902,-1.99285,6.88083,-32.14758,19.50497,-12.59308,2.04325,-0.37828,65.445,-7.950697,0.619654,0.51727,,,,,,,,,,,,7.72433,11.61383,1.81136,50,6.19672,-5.0182,-106.19404,-3.9166,8.53647,23.64076,-19.33916,PTA_LEF,NAN_NIG,CivicField,WCL,WCL,20220627-CivicField-1,eeeb6b70-f682-11ec-83a0-fda6a1017fab,72.86801,,,7.87926,,,,,,,b4bac068-8383-4b28-b7da-db79c1d1ff8e,2022-06-28,01:37:54.77,2022-06-27T18:37:54.7786956-07:00,2022-06-28T01:37:54.7786956Z,,v3,,,,"Steck, Ben",1000047531,Right,PTA_LEF,3121cddd-a6ab-4613-800d-9631cad2ff0f,53.60881,-106.99441,11.82038,6.31824,-3.26187,-9.66958,1.98615,-5.30721,4.26824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-06-27,18:38:07.64,1,2,"Hauck, Andrew",1000122046,Left,PTA_LEF,"Frei, Landon",1000119692,Right,NAN_NIG,Undefined,1,Top,0,0,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.9145,-3.308443,-0.118252,2018.898953,159.996207,11:15,6.58371,-1.53274,7.21452,-8.28882,34.2088,-11.73205,2.89435,-2.61748,70.8115,-5.168766,-2.275939,0.469195,,,,,,,,,,,,6.14276,20.13702,1.54116,50,6.38826,0.65369,-117.11164,-6.67855,8.12191,31.97282,-5.5491,PTA_LEF,NAN_NIG,CivicField,WCL,WCL,20220627-CivicField-1,f68d4ec0-f682-11ec-83a0-fda6a1017fab,80.33421,,,10.10299,,,,,,,b4bac068-8383-4b28-b7da-db79c1d1ff8e,2022-06-28,01:38:07.64,2022-06-27T18:38:07.6402892-07:00,2022-06-28T01:38:07.6402892Z,,v3,,,,"Steck, Ben",1000047531,Right,PTA_LEF,64001b91-638c-459d-b1bc-d09a3067857e,53.27187,-118.00152,15.98641,6.57199,-6.5241,-2.77455,1.52612,0.42764,4.06095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-06-27,18:38:19.40,1,3,"Hauck, Andrew",1000122046,Left,PTA_LEF,"Frei, Landon",1000119692,Right,NAN_NIG,Undefined,1,Top,0,1,1,Curveball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,73.43996,-2.761919,2.709608,1503.524094,140.6798,10:45,6.28924,-2.01153,6.71897,-31.31222,20.80379,-15.17883,1.15072,-0.79801,65.33251,-8.792033,-0.057907,0.519585,,,,,,,,,,,,8.99981,12.6769,1.83717,50,6.09431,-4.53113,-106.23014,-5.79439,9.90334,24.46772,-18.22448,PTA_LEF,NAN_NIG,CivicField,WCL,WCL,20220627-CivicField-1,fd969b90-f682-11ec-83a0-fda6a1017fab,72.54331,,,8.10745,,,,,,,b4bac068-8383-4b28-b7da-db79c1d1ff8e,2022-06-28,01:38:19.40,2022-06-27T18:38:19.4035404-07:00,2022-06-28T01:38:19.4035404Z,,v3,,,,"Steck, Ben",1000047531,Right,PTA_LEF,213162bd-95b6-462a-aadb-c42bae20888e,53.77018,-107.095,12.23386,6.28774,-5.15021,-9.11224,2.00351,-4.88118,4.95167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-06-27,18:38:36.53,1,4,"Hauck, Andrew",1000122046,Left,PTA_LEF,"Frei, Landon",1000119692,Right,NAN_NIG,Undefined,1,Top,0,2,1,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.07511,-3.314624,1.946515,1953.891109,158.743226,11:15,6.41903,-1.86993,7.12572,-11.93509,31.22069,-11.40804,2.41332,-1.05463,70.76208,-5.820613,-0.1475,0.472814,,,,,,,,,,,,6.81213,18.46332,1.75736,50,6.21778,-3.55235,-115.93094,-6.78046,8.91875,29.33194,-8.00102,PTA_LEF,NAN_NIG,CivicField,WCL,WCL,20220627-CivicField-1,07ceba20-f683-11ec-83a0-fda6a1017fab,79.7193,,,9.31303,,,,,,,b4bac068-8383-4b28-b7da-db79c1d1ff8e,2022-06-28,01:38:36.53,2022-06-27T18:38:36.5331660-07:00,2022-06-28T01:38:36.5331660Z,,v3,,,,"Steck, Ben",1000047531,Right,PTA_LEF,19df765e-6f00-442c-915b-afd944e8c593,53.36362,-116.77888,14.66597,6.41045,-6.54917,-4.00051,1.86377,-3.81017,4.45937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-06-27,18:38:53.62,1,5,"Hauck, Andrew",1000122046,Left,PTA_LEF,"Frei, Landon",1000119692,Right,NAN_NIG,Undefined,1,Top,0,2,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.57195,-4.556756,1.480541,1989.75963,157.140688,11:15,6.33505,-1.76726,7.458,-10.77087,31.38868,-12.44611,1.32135,-1.47002,71.29801,-6.844926,-0.819311,0.467325,,,,,,,,,,,,7.2515,19.23162,1.68979,50,6.08702,-2.60734,-116.59264,-9.30256,9.60216,29.67795,-6.70823,PTA_LEF,NAN_NIG,CivicField,WCL,WCL,20220627-CivicField-1,11f4d750-f683-11ec-83a0-fda6a1017fab,80.65565,,,9.27393,,,,,,,b4bac068-8383-4b28-b7da-db79c1d1ff8e,2022-06-28,01:38:53.62,2022-06-27T18:38:53.6213708-07:00,2022-06-28T01:38:53.6213708Z,,v3,,,,"Steck, Ben",1000047531,Right,PTA_LEF,80b5cbc7-f5be-4cff-bfae-8d70b3c3f6af,53.03148,-117.36175,14.83897,6.32585,-9.12872,-3.35412,1.76058,-2.85617,4.80108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-06-27,18:39:07.42,1,6,"Hauck, Andrew",1000122046,Left,PTA_LEF,"Frei, Landon",1000119692,Right,NAN_NIG,Undefined,1,Top,0,3,2,Curveball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,73.20117,-2.375275,2.546502,1507.96357,130.99221,10:15,6.30888,-1.6595,6.69401,-33.78679,18.77214,-18.94281,1.3179,-0.90793,65.03198,-8.861463,-0.907259,0.521789,,,,,,,,,,,,10.95855,11.47906,1.49638,50,6.13761,-4.09745,-105.9322,-5.1396,11.95974,24.75333,-19.64624,PTA_LEF,NAN_NIG,CivicField,WCL,WCL,20220627-CivicField-1,1a3396e0-f683-11ec-83a0-fda6a1017fab,72.237,,,8.16919,,,,,,,b4bac068-8383-4b28-b7da-db79c1d1ff8e,2022-06-28,01:39:07.42,2022-06-27T18:39:07.4275020-07:00,2022-06-28T01:39:07.4275020Z,,v3,,,,"Steck, Ben",1000047531,Right,PTA_LEF,1d8e1732-4229-4eb8-ac52-c8eb343c4c91,53.79633,-106.81561,12.37666,6.30852,-4.43845,-9.82312,1.65023,-4.52428,5.97987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-06-27,18:39:43.79,2,1,"Hauck, Andrew",1000122046,Left,PTA_LEF,"Sielken, Xander",1000133735,Right,NAN_NIG,Undefined,1,Top,1,0,0,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.09983,-4.813723,1.831536,2024.631254,158.150332,11:15,6.57486,-1.59698,7.29083,-8.98292,33.58407,-12.62741,1.46211,-0.99296,70.65996,-6.811468,-0.493249,0.469578,,,,,,,,,,,,7.49134,20.60249,1.49579,50,6.29887,-3.30401,-117.08123,-9.79122,9.84935,32.94588,-5.08664,PTA_LEF,NAN_NIG,CivicField,WCL,WCL,20220627-CivicField-1,2fde28c0-f683-11ec-83a0-fda6a1017fab,80.2687,,,10.43987,,,,,,,b4bac068-8383-4b28-b7da-db79c1d1ff8e,2022-06-28,01:39:43.79,2022-06-27T18:39:43.7979340-07:00,2022-06-28T01:39:43.7979340Z,,v3,,,,"Steck, Ben",1000047531,Right,PTA_LEF,1fb379e9-50cc-4efa-9e69-d4d326c3e94c,53.1953,-117.97694,16.47294,6.56319,-9.65293,-2.54332,1.58926,-3.57178,4.92468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-06-27,18:39:59.19,2,2,"Hauck, Andrew",1000122046,Left,PTA_LEF,"Sielken, Xander",1000133735,Right,NAN_NIG,Undefined,1,Top,1,0,1,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,81.85662,-3.711995,2.098381,2044.616941,160.72434,11:15,6.5159,-1.6776,7.43548,-8.18512,33.02836,-10.87532,2.48054,-0.69136,71.63134,-5.553998,0.090996,0.462052,,,,,,,,,,,,6.71028,19.87552,1.56633,50,6.31186,-3.9733,-118.43689,-7.60523,9.07488,32.68852,-5.2947,PTA_LEF,NAN_NIG,CivicField,WCL,WCL,20220627-CivicField-1,39060fd0-f683-11ec-83a0-fda6a1017fab,81.57614,,,10.22528,,,,,,,b4bac068-8383-4b28-b7da-db79c1d1ff8e,2022-06-28,01:39:59.19,2022-06-27T18:39:59.1933644-07:00,2022-06-28T01:39:59.1933644Z,,v3,,,,"Steck, Ben",1000047531,Right,PTA_LEF,75c5d9a0-527f-4227-94a9-2a70da810688,53.05266,-119.27644,16.34426,6.50545,-7.46925,-2.64735,1.67137,-4.20638,4.53744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-06-27,18:40:16.42,2,3,"Hauck, Andrew",1000122046,Left,PTA_LEF,"Sielken, Xander",1000133735,Right,NAN_NIG,Undefined,1,Top,1,0,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,74.06288,-3.172284,2.115094,1360.162948,134.931174,10:30,6.44207,-1.74841,6.58792,-33.62289,18.25662,-15.92517,0.72849,-1.1366,65.55507,-9.606843,-0.784912,0.518405,,,,,,,,,,,,9.19465,11.55005,1.60949,50,6.21127,-3.42044,-107.0474,-6.70165,10.19101,26.1756,-19.37242,PTA_LEF,NAN_NIG,CivicField,WCL,WCL,20220627-CivicField-1,4352c7d0-f683-11ec-83a0-fda6a1017fab,72.70845,,,8.50781,,,,,,,b4bac068-8383-4b28-b7da-db79c1d1ff8e,2022-06-28,01:40:16.42,2022-06-27T18:40:16.4212428-07:00,2022-06-28T01:40:16.4212428Z,,v3,,,,"Steck, Ben",1000047531,Right,PTA_LEF,c501dbfe-613e-4941-bd59-4e2cdbc9ac10,53.90094,-107.99706,13.0878,6.44166,-5.99881,-9.68621,1.7403,-3.79017,5.09551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-06-27,18:40:44.90,3,1,"Hauck, Andrew",1000122046,Left,PTA_LEF,"Hupe, Brandon",1000120718,Right,NAN_NIG,Undefined,1,Top,2,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.50036,-0.249033,3.07588,1296.370046,133.664323,10:30,6.51273,-1.84781,6.52059,-32.74545,17.6834,-16.42926,3.55513,-0.39221,66.63085,-6.518814,0.095759,0.511106,,,,,,,,,,,,9.57623,9.91284,1.63957,50,6.48144,-5.23199,-107.90892,-1.23633,11.00058,23.28475,-20.78679,PTA_LEF,NAN_NIG,CivicField,WCL,WCL,20220627-CivicField-1,544a31e0-f683-11ec-83a0-fda6a1017fab,73.7468,,,7.86952,,,,,,,b4bac068-8383-4b28-b7da-db79c1d1ff8e,2022-06-28,01:40:44.90,2022-06-27T18:40:44.9014476-07:00,2022-06-28T01:40:44.9014476Z,,v3,,,,"Steck, Ben",1000047531,Right,PTA_LEF,f6e07d97-21d4-4972-ba0c-c0f7fd227c04,53.96915,-108.76201,11.64238,6.51279,-0.47475,-10.3934,1.83864,-5.63503,5.50029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,2022-06-27,18:40:57.25,3,2,"Hauck, Andrew",1000122046,Left,PTA_LEF,"Hupe, Brandon",1000120718,Right,NAN_NIG,Undefined,1,Top,2,0,1,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,74.51185,-3.44657,3.176258,1576.53606,145.765864,10:45,6.36994,-2.01942,6.75487,-26.04994,25.10726,-15.44481,1.04247,-0.40242,65.5554,-8.55156,0.361308,0.514784,,,,,,,,,,,,9.42394,15.33513,1.81605,50,6.13363,-5.4539,-107.57236,-6.98023,10.52365,26.81023,-15.04941,PTA_LEF,NAN_NIG,CivicField,WCL,WCL,20220627-CivicField-1,5ba6ced0-f683-11ec-83a0-fda6a1017fab,73.21998,,,8.95645,,,,,,,b4bac068-8383-4b28-b7da-db79c1d1ff8e,2022-06-28,01:40:57.25,2022-06-27T18:40:57.2504780-07:00,2022-06-28T01:40:57.2504780Z,,v3,,,,"Steck, Ben",1000047531,Right,PTA_LEF,437e8bf1-a718-4b2d-920f-9354d1ad50c1,53.73275,-108.49868,13.40512,6.36582,-6.46025,-7.52471,2.01077,-5.81751,5.26182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
12,2022-06-27,18:41:12.69,3,3,"Hauck, Andrew",1000122046,Left,PTA_LEF,"Hupe, Brandon",1000120718,Right,NAN_NIG,Undefined,1,Top,2,0,2,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,82.75697,-4.795242,1.694066,1984.169108,164.041957,11:30,6.48057,-1.75589,7.45066,-7.6289,32.38962,-8.75304,1.51122,-0.95812,73.12434,-6.495979,0.077678,0.455305,76.14742,-11.389552,1.021818,,,,,8.94905,2.44679,7.238629,0.06847,5.3767,19.87509,1.66663,50,6.21995,-3.25074,-119.71117,-9.97444,7.50084,31.41772,-4.44711,PTA_LEF,NAN_NIG,CivicField,WCL,WCL,20220627-CivicField-1,64cf2b10-f683-11ec-83a0-fda6a1017fab,82.78511,1.51268,,9.63263,,,,1.36981,1.51268,0.99369,b4bac068-8383-4b28-b7da-db79c1d1ff8e,2022-06-28,01:41:12.69,2022-06-27T18:41:12.6961356-07:00,2022-06-28T01:41:12.6961356Z,GroundBall,v3,,,,"Steck, Ben",1000047531,Right,PTA_LEF,c10a9116-60cb-475a-a4a5-94ef954bd3c9,53.03965,-120.50627,15.70886,6.47095,-9.86189,-2.22355,1.7513,-3.44056,3.75042,,1.36776,109.65211,,,,,,,,1.51309,-22.09245,,,,,,,,0.99365,1.95575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
13,2022-06-27,18:43:34.55,1,1,"Laukkanen, Josh ",1000070084,Right,NAN_NIG,"DeJesus, Gabriel",1000132574,Right,PTA_LEF,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.16499,-1.125215,-2.211806,1985.602188,200.277616,12:45,5.82287,1.53795,6.52355,-13.2115,25.2295,8.67083,3.68873,0.23039,75.25101,-3.835817,-0.638658,0.44624,,,,,,,,,,,,-5.37626,14.03194,-1.38713,50,5.73815,4.45481,-124.59064,-2.62675,-8.05882,35.81804,-11.14064,PTA_LEF,NAN_NIG,CivicField,WCL,WCL,20220627-CivicField-1,b9633cc0-f683-11ec-83a0-fda6a1017fab,84.46667,,,10.91398,,,,,,,b4bac068-8383-4b28-b7da-db79c1d1ff8e,2022-06-28,01:43:34.55,2022-06-27T18:43:34.5580748-07:00,2022-06-28T01:43:34.5580748Z,,v3,,,,"Beauregard, Kayden",1000113123,Right,NAN_NIG,866ed709-7951-493b-a8a7-c2ccd2ab5f05,53.96158,-125.72438,17.90902,5.81571,-2.27411,-5.57032,-1.53217,4.7099,-4.02941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
