PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-06-28,18:37:09.07,1,1,"Sinclair, Riley",1000069560,Right,WEN_APP,"Steels, Jacob",1000117532,Right,KEL_FAL,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.20387,-2.948086,-2.290764,2215.555247,246.279956,2:15,5.61032,0.85986,5.79955,-25.26785,9.3867,18.76273,0.75804,0.29165,82.48366,-7.629582,1.073756,0.423693,,,,,,,,,,,,-10.31662,5.98032,-0.68321,50,5.3526,4.4388,-130.79043,-7.60809,-17.79445,28.67646,-21.85896,WEN_APP,KEL_FAL,PaulThomasSr,WCL,WCL,20220628-PaulThomasSr-1,fdea95a0-f74b-11ec-ad6f-13fd7013085a,88.96163,,,7.72021,,,,,,,c47d9488-8012-49e9-84d4-30efd0d18f5c,2022-06-29,01:37:09.07,2022-06-28T18:37:09.0712024-07:00,2022-06-29T01:37:09.0712024Z,,v3,,,,"Horn, CJ",1000121523,Right,WEN_APP,413192e8-f8bc-459e-92d2-ef1b14bced4c,54.7012,-131.81716,14.33823,5.61098,-6.82545,-10.92948,-0.85355,5.07591,-8.89722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-06-28,18:37:26.66,1,2,"Sinclair, Riley",1000069560,Right,WEN_APP,"Steels, Jacob",1000117532,Right,KEL_FAL,Undefined,1,Top,0,1,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,90.30224,-1.65769,-2.557913,2157.321017,233.839758,1:45,5.67189,0.85834,5.71828,-23.6758,11.13772,13.59855,2.15277,-0.39277,81.9643,-6.079,-0.126014,0.424664,97.795,-15.193548,12.811436,,,,,4.51053,4.51053,26.004417,0.03228,-7.68705,6.51953,-0.65295,50,5.5187,5.24935,-130.89639,-4.59955,-13.22228,29.84741,-20.95999,WEN_APP,KEL_FAL,PaulThomasSr,WCL,WCL,20220628-PaulThomasSr-1,08649f30-f74c-11ec-ad6f-13fd7013085a,88.75827,1.21446,,8.33794,,,,-0.30671,1.21446,0.98598,c47d9488-8012-49e9-84d4-30efd0d18f5c,2022-06-29,01:37:26.66,2022-06-28T18:37:26.6623960-07:00,2022-06-29T01:37:26.6623960Z,GroundBall,v3,,,,"Horn, CJ",1000121523,Right,WEN_APP,fc4d6695-dfbc-4cce-8ddc-8ae7dae26d99,54.7798,-131.9818,14.92371,5.67211,-3.83734,-10.48,-0.85259,5.73018,-6.61114,180,-0.3073,135.08533,,,,,,,,1.21462,-37.62214,,,,,,,,0.98585,30.71899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Medium,,,
3,2022-06-28,18:38:00.27,2,1,"Sinclair, Riley",1000069560,Right,WEN_APP,"Edwards, Kameron",10029485,Left,KEL_FAL,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.56404,-1.322891,-1.298979,2196.611613,241.74951,2:00,5.79287,0.61223,5.76887,-24.48777,9.9817,16.40119,2.52056,0.76991,82.30267,-5.890548,1.639948,0.42256,,,,,,,,,,,,-8.69304,5.83792,-0.51455,50,5.66879,2.24899,-131.40579,-3.8783,-15.07867,29.91809,-22.0478,WEN_APP,KEL_FAL,PaulThomasSr,WCL,WCL,20220628-PaulThomasSr-1,1c87cdc0-f74c-11ec-ad6f-13fd7013085a,89.20014,,,8.26138,,,,,,,c47d9488-8012-49e9-84d4-30efd0d18f5c,2022-06-29,01:38:00.27,2022-06-28T18:38:00.2786776-07:00,2022-06-29T01:38:00.2786776Z,,v3,,,,"Horn, CJ",1000121523,Right,WEN_APP,3451abe3-a5ab-4f86-8b37-da5287e171bb,54.7287,-132.47803,14.95905,5.79363,-3.08813,-11.0239,-0.60484,2.7894,-7.53933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-06-28,18:38:15.27,2,2,"Sinclair, Riley",1000069560,Right,WEN_APP,"Edwards, Kameron",10029485,Left,KEL_FAL,Undefined,1,Top,1,0,1,Slider,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.78311,0.926318,-1.099768,2117.189162,267.696977,3:00,5.38018,1.20667,5.78637,-39.12734,2.06921,17.28773,2.98158,1.62404,75.31447,-6.30367,1.998992,0.461957,,,,,,,,,,,,-9.06378,1.23882,-1.12613,50,5.43341,1.5986,-120.16733,0.62284,-13.14728,25.02457,-30.37713,WEN_APP,KEL_FAL,PaulThomasSr,WCL,WCL,20220628-PaulThomasSr-1,25678840-f74c-11ec-ad6f-13fd7013085a,81.59292,,,7.46864,,,,,,,c47d9488-8012-49e9-84d4-30efd0d18f5c,2022-06-29,01:38:15.27,2022-06-28T18:38:15.2773592-07:00,2022-06-29T01:38:15.2773592Z,,v3,,,,"Horn, CJ",1000121523,Right,WEN_APP,e80a93d9-61ff-4fd0-83eb-9ecbf04fcc8c,54.71195,-121.14461,12.51228,5.38592,1.80915,-15.18857,-1.19858,2.11204,-6.57364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-06-28,18:38:33.89,2,3,"Sinclair, Riley",1000069560,Right,WEN_APP,"Edwards, Kameron",10029485,Left,KEL_FAL,Undefined,1,Top,1,1,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.4599,-1.916762,-1.002143,2255.910854,234.501446,1:45,5.63039,0.64255,5.89145,-20.05225,13.70843,17.56182,2.17873,1.17546,82.84213,-5.700721,2.151438,0.418193,,,,,,,,,,,,-9.19721,7.9476,-0.57136,50,5.46447,1.52981,-132.64978,-5.07914,-16.20442,31.33156,-18.17129,WEN_APP,KEL_FAL,PaulThomasSr,WCL,WCL,20220628-PaulThomasSr-1,307daac0-f74c-11ec-ad6f-13fd7013085a,90.13166,,,8.61776,,,,,,,c47d9488-8012-49e9-84d4-30efd0d18f5c,2022-06-29,01:38:33.89,2022-06-28T18:38:33.8922456-07:00,2022-06-29T01:38:33.8922456Z,,v3,,,,"Horn, CJ",1000121523,Right,WEN_APP,9f657747-cbdf-4722-9bed-75472f261cb9,54.60489,-133.73302,15.66578,5.62921,-4.4509,-9.08565,-0.63393,2.09005,-8.10221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-06-28,18:38:55.62,2,4,"Sinclair, Riley",1000069560,Right,WEN_APP,"Edwards, Kameron",10029485,Left,KEL_FAL,Undefined,1,Top,1,1,2,ChangeUp,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,81.57423,-0.799542,-2.72287,2198.504593,242.463627,2:00,5.41428,0.78006,5.85254,-31.35691,11.0639,18.42056,2.0574,-0.21683,74.14812,-6.646794,0.580016,0.468771,60.47682,64.020457,-112.346824,4464.547651,,,,,7.51712,,,-10.28016,6.32008,-0.56973,50,5.33101,4.91485,-118.31504,-2.61795,-14.43991,24.48397,-23.29662,WEN_APP,KEL_FAL,PaulThomasSr,WCL,WCL,20220628-PaulThomasSr-1,3d7621d0-f74c-11ec-ad6f-13fd7013085a,80.40692,17.98446,,7.42612,,,,1.85731,2.19552,0.19713,c47d9488-8012-49e9-84d4-30efd0d18f5c,2022-06-29,01:38:55.62,2022-06-28T18:38:55.6273112-07:00,2022-06-29T01:38:55.6273112Z,,v3,,,,"Horn, CJ",1000121523,Right,WEN_APP,a4535cf4-1d82-4099-ae6c-fba0966b8f30,54.6467,-119.27275,12.24199,5.41559,-1.70669,-11.64831,-0.77302,5.47968,-7.21996,17.381163,1.85779,-14.80342,-3.80848,,,,,,,2.19578,79.7198,-19.89695,,,,,,,0.19744,-35.95613,-1.60925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2022-06-28,18:39:22.04,2,5,"Sinclair, Riley",1000069560,Right,WEN_APP,"Edwards, Kameron",10029485,Left,KEL_FAL,Undefined,1,Top,1,1,2,ChangeUp,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,81.31795,0.103402,-1.868428,2090.253456,258.483281,2:30,5.36632,0.93641,5.80788,-38.39199,4.62233,15.06359,2.2632,0.45354,73.48613,-7.018417,0.832832,0.472039,14.95723,-24.748256,109.480527,,,,,5.68275,4.17373,99.835596,0.240937,-8.2752,2.78504,-0.79211,50,5.35222,3.24999,-117.91852,-1.0281,-11.46112,25.84084,-28.31677,WEN_APP,KEL_FAL,PaulThomasSr,WCL,WCL,20220628-PaulThomasSr-1,4d39c6d0-f74c-11ec-ad6f-13fd7013085a,79.85026,2.37428,,7.83182,,,,0.74693,2.37428,0.74344,c47d9488-8012-49e9-84d4-30efd0d18f5c,2022-06-29,01:39:22.04,2022-06-28T18:39:22.0488664-07:00,2022-06-29T01:39:22.0488664Z,GroundBall,v3,,,,"Horn, CJ",1000121523,Right,WEN_APP,1c175e1b-db27-4030-ac38-250a137ca780,54.68972,-118.94179,12.92042,5.37073,0.09322,-14.15839,-0.92979,3.70384,-5.73056,180,0.76574,-7.1291,,,,,,,,2.40029,-9.85437,,,,,,,,0.69026,20.15374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
8,2022-06-28,18:39:44.62,2,6,"Sinclair, Riley",1000069560,Right,WEN_APP,"Edwards, Kameron",10029485,Left,KEL_FAL,Undefined,1,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.52744,-2.672126,-1.576678,2267.688717,218.063378,1:15,5.77613,0.4674,6.02188,-19.04505,14.29906,10.33418,1.71134,-0.13213,83.5136,-6.264078,0.283203,0.415605,,,,,,,,,,,,-5.76965,8.46158,-0.34949,50,5.55637,3.21378,-132.78587,-6.79202,-10.26189,29.44917,-17.12429,WEN_APP,KEL_FAL,PaulThomasSr,WCL,WCL,20220628-PaulThomasSr-1,5aacec20-f74c-11ec-ad6f-13fd7013085a,90.6929,,,8.01384,,,,,,,c47d9488-8012-49e9-84d4-30efd0d18f5c,2022-06-29,01:39:44.62,2022-06-28T18:39:44.6252504-07:00,2022-06-29T01:39:44.6252504Z,,v3,,,,"Horn, CJ",1000121523,Right,WEN_APP,a303c9d5-8b5a-46b6-9132-4771c5c98e39,54.4765,-133.77498,14.72459,5.77483,-6.21687,-8.56215,-0.46322,3.55845,-5.13095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-06-28,18:40:11.52,2,7,"Sinclair, Riley",1000069560,Right,WEN_APP,"Edwards, Kameron",10029485,Left,KEL_FAL,Undefined,1,Top,1,2,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,82.42626,-1.008407,-2.873747,1938.986954,258.151897,2:30,5.44037,0.79649,5.97102,-36.59695,4.64347,15.6195,1.45446,-0.5684,75.32672,-7.780134,-0.065298,0.462203,70.60453,-68.583404,87.447429,,,,,1.69793,1.3703,41.367397,0.014774,-8.89056,3.07917,-0.57754,50,5.3401,5.40402,-119.59971,-3.27396,-12.80258,24.31912,-27.73998,WEN_APP,KEL_FAL,PaulThomasSr,WCL,WCL,20220628-PaulThomasSr-1,6ab4ed20-f74c-11ec-ad6f-13fd7013085a,81.54952,1.42724,,7.09955,,,,1.24935,1.42724,0.56289,c47d9488-8012-49e9-84d4-30efd0d18f5c,2022-06-29,01:40:11.52,2022-06-28T18:40:11.5277784-07:00,2022-06-29T01:40:11.5277784Z,GroundBall,v3,,,,"Horn, CJ",1000121523,Right,WEN_APP,ec5cdeaf-1fc1-4cd4-9609-813aa35e5538,54.52887,-120.51708,12.15956,5.44386,-2.22754,-13.86999,-0.7905,5.88696,-6.40129,,1.24934,1.68751,,,,,,,,1.42771,-96.60365,,,,,,,,0.5627,37.85324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
10,2022-06-28,18:40:51.97,3,1,"Sinclair, Riley",1000069560,Right,WEN_APP,"Palmeira, Konnor",1000074619,Right,KEL_FAL,Undefined,1,Top,1,0,0,Slider,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.42586,-2.216968,-1.875769,2121.638893,228.97253,1:45,5.88284,0.34435,5.96222,-25.02619,11.5993,11.94068,1.73949,-0.40054,79.85823,-6.890442,0.27126,0.435575,,,,,,,,,,,,-6.6991,6.96241,-0.20225,50,5.69286,3.66978,-126.85777,-5.7104,-10.8687,27.01564,-20.87815,WEN_APP,KEL_FAL,PaulThomasSr,WCL,WCL,20220628-PaulThomasSr-1,82d93190-f74c-11ec-ad6f-13fd7013085a,86.53485,,,7.56763,,,,,,,c47d9488-8012-49e9-84d4-30efd0d18f5c,2022-06-29,01:40:51.97,2022-06-28T18:40:51.9731672-07:00,2022-06-29T01:40:51.9731672Z,,v3,,,,"Horn, CJ",1000121523,Right,WEN_APP,5f22a7dd-ad53-4d16-b191-26cdc8b17bd9,54.53695,-127.82031,13.50782,5.88307,-4.96654,-10.43908,-0.3399,4.05702,-5.43435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
