PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-06-28,18:39:35.51,1,1,"Crompton, Cooper",1000114434,Right,VIC_HAR,"Canton, Sam",1000120635,Left,COW_BLA,Undefined,1,Top,0,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIC_HAR,COW_BLA,RoyalPark,WCL,WCL,20220628-RoyalPark-1,5289cae0-f74c-11ec-a67a-d7b22722eebf,,,,,,,,,,,0794ae9b-538e-448c-9198-a30249c47b6d,2022-06-29,01:39:35.51,2022-06-28T18:39:35.5174108-07:00,2022-06-29T01:39:35.5174108Z,,v3,,,,"Brown, Jessada",1000094158,Right,VIC_HAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2022-06-28,18:39:36.51,1,2,"Crompton, Cooper",1000114434,Right,VIC_HAR,"Canton, Sam",1000120635,Left,COW_BLA,Undefined,1,Top,0,1,0,Fastball,Slider,InPlay,Undefined,GroundBall,Out,1,0,,82.55983,-1.345792,-0.636687,2770.746318,107.030755,9:30,5.736,0.78886,5.83333,-37.81089,3.16874,-6.25811,1.33389,-0.32447,76.13151,-8.287214,-1.760799,0.460739,72.14407,-52.000055,74.700804,,,,,2.65055,2.40715,30.916529,0.017266,3.04819,2.33937,-0.73313,50,5.60375,1.57307,-119.96791,-4.05924,4.44637,23.01168,-28.76164,VIC_HAR,COW_BLA,RoyalPark,WCL,WCL,20220628-RoyalPark-1,5623e190-f74c-11ec-a67a-d7b22722eebf,81.80858,1.44257,,6.42832,,,,1.97657,1.44257,0.27471,0794ae9b-538e-448c-9198-a30249c47b6d,2022-06-29,01:39:36.51,2022-06-28T18:39:36.5174108-07:00,2022-06-29T01:39:36.5174108Z,GroundBall,v3,,,,"Brown, Jessada",1000094158,Right,VIC_HAR,e009fbe4-dbd7-456e-bebc-77ec1fa41d65,54.66615,-120.85963,11.50584,5.73945,-2.9447,-14.38082,-0.79075,1.40077,2.22319,,1.97647,17.22329,,,,,,,,1.44303,-83.54766,,,,,,,,0.27436,62.96121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
3,2022-06-28,18:40:06.22,2,1,"Crompton, Cooper",1000114434,Right,VIC_HAR,"Smith, Austin",1000110126,Left,COW_BLA,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.30411,-2.342297,-0.465877,2472.792086,210.396442,1:00,5.85049,0.51122,6.37454,-15.03422,18.86174,10.38351,2.44135,0.94788,81.99823,-5.250792,1.415157,0.41903,,,,,,,,,,,,-5.50335,10.8517,-0.48186,50,5.67412,0.63612,-131.08265,-5.72936,-9.49747,29.81434,-13.4466,VIC_HAR,COW_BLA,RoyalPark,WCL,WCL,20220628-RoyalPark-1,67a5d860-f74c-11ec-a67a-d7b22722eebf,89.9516,,,8.30588,,,,,,,0794ae9b-538e-448c-9198-a30249c47b6d,2022-06-29,01:40:06.22,2022-06-28T18:40:06.2217052-07:00,2022-06-29T01:40:06.2217052Z,,v3,,,,"Brown, Jessada",1000094158,Right,VIC_HAR,6079549c-ee5a-44a6-a317-8df92ed6743f,54.12071,-132.01657,14.90717,5.84699,-5.30816,-6.7233,-0.50645,0.93362,-4.74873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-06-28,18:40:17.63,2,2,"Crompton, Cooper",1000114434,Right,VIC_HAR,"Smith, Austin",1000110126,Left,COW_BLA,Undefined,1,Top,1,1,0,Fastball,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,85.77948,-0.844471,-1.652943,2081.768255,233.849947,1:45,5.65701,0.93944,6.32647,-24.22962,13.25079,16.4508,2.85984,0.78775,78.17996,-5.428409,1.324579,0.440629,90.16986,21.678041,-2.015861,2486.942515,109.7237,40.27603,-7.79091,327.5025,320.55972,-7.153171,4.039161,-9.08067,7.51599,-0.82644,50,5.58384,2.97202,-124.63912,-2.53041,-14.20414,26.36822,-20.4174,VIC_HAR,COW_BLA,RoyalPark,WCL,WCL,20220628-RoyalPark-1,6e8c0cd0-f74c-11ec-a67a-d7b22722eebf,85.54227,50.72681,,7.59952,,,,0.93683,2.8319,-0.79158,0794ae9b-538e-448c-9198-a30249c47b6d,2022-06-29,01:40:17.63,2022-06-28T18:40:17.6375644-07:00,2022-06-29T01:40:17.6375644Z,LineDrive,v3,,,,"Brown, Jessada",1000094158,Right,VIC_HAR,7351f64b-8820-4786-8849-4e02b8c2efc5,54.172,-125.51863,13.18411,5.65688,-1.84939,-10.2087,-0.93347,3.44579,-7.10207,163.9064,0.936,122.84378,-21.96496,5.4139,-1.23776,0.291,-0.06112,0.00834,-0.00049,2.83342,48.80694,-11.62272,-1.11396,0.66721,-0.25178,0.06241,-0.00834,0.00044,-0.7917,-4.31959,-2.97515,0.77035,-0.17894,0.04059,-0.00807,0.00106,-6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2022-06-28,18:40:45.57,3,1,"Crompton, Cooper",1000114434,Right,VIC_HAR,"Halvorson, Calyn",1000132003,Right,COW_BLA,Undefined,1,Top,2,0,0,Fastball,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.79447,-0.637328,-0.953784,2670.081125,116.068463,9:45,5.64195,0.69787,6.09367,-36.29514,4.00729,-5.69996,2.02776,-0.6594,76.27217,-7.35057,-1.981891,0.456917,,,,,,,,,,,,2.67701,2.63492,-0.62152,50,5.57386,2.22117,-120.35714,-2.48811,3.9351,22.89491,-28.30084,VIC_HAR,COW_BLA,RoyalPark,WCL,WCL,20220628-RoyalPark-1,7f5fe950-f74c-11ec-a67a-d7b22722eebf,82.49304,,,6.5223,,,,,,,0794ae9b-538e-448c-9198-a30249c47b6d,2022-06-29,01:40:45.57,2022-06-28T18:40:45.5744348-07:00,2022-06-29T01:40:45.5744348Z,,v3,,,,"Brown, Jessada",1000094158,Right,VIC_HAR,6f95e3fd-77e6-445e-9808-5d9640dee9ee,54.40441,-121.19207,11.44746,5.64578,-1.45603,-14.15042,-0.6999,2.07766,1.96755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-06-28,18:40:56.15,3,2,"Crompton, Cooper",1000114434,Right,VIC_HAR,"Halvorson, Calyn",1000132003,Right,COW_BLA,Undefined,1,Top,2,0,1,ChangeUp,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,80.98747,-0.45568,0.178665,2855.259783,90.628641,9:00,5.65956,0.76833,5.91915,-41.10262,1.40476,-7.44445,1.81146,0.31376,74.4794,-8.022304,-1.160829,0.469249,78.6166,38.521664,58.369531,4688.705836,,,,,95.04786,,,3.88244,1.23122,-0.77834,50,5.59964,-0.08664,-117.71022,-2.2553,5.44026,22.61029,-30.44883,VIC_HAR,COW_BLA,RoyalPark,WCL,WCL,20220628-RoyalPark-1,857a1b30-f74c-11ec-a67a-d7b22722eebf,80.325,64.92491,,6.50807,,,,0.90616,1.91479,-0.36943,0794ae9b-538e-448c-9198-a30249c47b6d,2022-06-29,01:40:56.15,2022-06-28T18:40:56.1533788-07:00,2022-06-29T01:40:56.1533788Z,,v3,,,,"Brown, Jessada",1000094158,Right,VIC_HAR,29f676c6-e04b-4bfe-9e54-dc57d3085849,54.57997,-118.5867,11.30514,5.66419,-1.07496,-15.22441,-0.7709,-0.29753,2.72013,,0.90616,47.31003,-16.22982,4.51079,-1.1588,0.2232,-0.02469,-0.00403,0.00156,1.91479,71.81264,-19.88845,1.90173,-0.28586,0.03855,0.00036,-0.00152,0.00029,-0.36943,76.80983,-9.07725,0.66185,0.12159,-0.11123,0.04916,-0.01569,0.00237,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2022-06-28,18:41:10.40,3,3,"Crompton, Cooper",1000114434,Right,VIC_HAR,"Halvorson, Calyn",1000132003,Right,COW_BLA,Undefined,1,Top,2,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.7368,-0.205804,0.46235,2431.068854,189.101663,12:15,6.09331,0.02811,6.16767,-16.39292,18.21505,2.72847,4.53714,0.68254,81.19215,-3.368982,0.954529,0.423408,,,,,,,,,,,,-1.25347,9.79327,-0.06437,50,6.06912,-1.16777,-130.27436,-0.89815,-2.13387,29.7729,-15.5024,VIC_HAR,COW_BLA,RoyalPark,WCL,WCL,20220628-RoyalPark-1,8e052600-f74c-11ec-a67a-d7b22722eebf,89.02145,,,8.54466,,,,,,,0794ae9b-538e-448c-9198-a30249c47b6d,2022-06-29,01:41:10.40,2022-06-28T18:41:10.4096604-07:00,2022-06-29T01:41:10.4096604Z,,v3,,,,"Brown, Jessada",1000094158,Right,VIC_HAR,962c87ce-823d-43ce-b250-75e9f63bcad1,54.32616,-131.25934,14.88645,6.09035,-0.38529,-7.7512,-0.02691,-1.09718,-1.06694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-06-28,18:41:23.79,3,4,"Crompton, Cooper",1000114434,Right,VIC_HAR,"Halvorson, Calyn",1000132003,Right,COW_BLA,Undefined,1,Top,2,1,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.35328,-1.110691,-1.369317,2416.059072,25.631554,6:45,5.72045,0.42353,6.02491,-63.43909,-15.63465,-8.38398,-0.59522,-1.54356,70.08525,-12.697653,-2.887032,0.497629,,,,,,,,,,,,3.84894,-7.28784,-0.31177,50,5.59912,2.9782,-112.18436,-4.15363,4.73899,26.69228,-41.14712,VIC_HAR,COW_BLA,RoyalPark,WCL,WCL,20220628-RoyalPark-1,95d9b210-f74c-11ec-a67a-d7b22722eebf,75.74406,,,7.26804,,,,,,,0794ae9b-538e-448c-9198-a30249c47b6d,2022-06-29,01:41:23.79,2022-06-28T18:41:23.7968220-07:00,2022-06-29T01:41:23.7968220Z,,v3,,,,"Brown, Jessada",1000094158,Right,VIC_HAR,ebbe673a-6086-4aba-b7f8-301b580ea56d,54.47562,-113.24425,13.34614,5.73161,-2.51978,-20.57356,-0.42629,2.79003,2.36949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-06-28,18:41:38.28,3,5,"Crompton, Cooper",1000114434,Right,VIC_HAR,"Halvorson, Calyn",1000132003,Right,COW_BLA,Undefined,1,Top,2,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.62652,-0.968421,-2.01252,2667.916615,47.186177,7:30,5.78181,0.56232,5.81503,-47.87758,-3.82969,-5.90363,0.89093,-1.80168,72.95297,-9.753617,-3.072642,0.477677,,,,,,,,,,,,2.30591,-1.10661,-0.39402,50,5.6746,4.33732,-116.82837,-3.56929,3.11239,26.80932,-33.66773,VIC_HAR,COW_BLA,RoyalPark,WCL,WCL,20220628-RoyalPark-1,9e8cb740-f74c-11ec-a67a-d7b22722eebf,78.90786,,,7.67355,,,,,,,0794ae9b-538e-448c-9198-a30249c47b6d,2022-06-29,01:41:38.28,2022-06-28T18:41:38.2869340-07:00,2022-06-29T01:41:38.2869340Z,,v3,,,,"Brown, Jessada",1000094158,Right,VIC_HAR,d6e4723d-eaab-4f11-8e2a-7219a3f7b177,54.68113,-117.89769,13.40466,5.79018,-2.22642,-16.83387,-0.56454,4.21318,1.55619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-06-28,18:41:52.05,3,6,"Crompton, Cooper",1000114434,Right,VIC_HAR,"Halvorson, Calyn",1000132003,Right,COW_BLA,Undefined,1,Top,2,3,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,89.79445,-1.329546,-0.508945,2357.660706,190.803291,12:15,6.01173,0.2947,6.4862,-13.66296,20.7195,3.71366,3.65223,0.13691,80.76911,-4.024729,0.16508,0.422027,,,,,,,,,,,,-2.08492,11.58268,-0.26035,50,5.91182,1.00416,-130.31132,-3.30697,-3.52549,31.6286,-12.58851,VIC_HAR,COW_BLA,RoyalPark,WCL,WCL,20220628-RoyalPark-1,a6b8d930-f74c-11ec-a67a-d7b22722eebf,89.31295,,,9.02534,,,,,,,0794ae9b-538e-448c-9198-a30249c47b6d,2022-06-29,01:41:52.05,2022-06-28T18:41:52.0584540-07:00,2022-06-29T01:41:52.0584540Z,,v3,,,,"Brown, Jessada",1000094158,Right,VIC_HAR,9fd37cbb-8991-441b-a870-899e87ceb274,54.00684,-131.28024,15.8143,6.00722,-2.92133,-6.29426,-0.29277,1.11216,-1.76275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
