PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-07-02,18:07:39.34,1,1,"Clark, Wyatt",1000131789,Right,EDM_RIV,"Tobey, Jackson",1000131812,Left,NAN_NIG,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.19884,-1.795233,-2.147177,1855.593668,237.088618,2:00,6.41096,1.12509,5.75142,-26.92667,12.85304,17.38174,2.49414,0.57379,76.05889,-6.862791,0.965594,0.453944,,,,,,,,,,,,-9.51965,7.63937,-0.95714,50,6.24593,3.87314,-123.26083,-4.71527,-14.24408,30.75981,-20.74337,EDM_RIV,NAN_NIG,ReMaxField,WCL,WCL,20220702-ReMaxField-1,88b15de0-fa6c-11ec-b8f8-d52f2b595007,83.03325,,,9.13996,,,,,,,8fdd8cda-9b1e-434e-b14f-830bdedb0900,2022-07-03,01:07:39.34,2022-07-02T18:07:39.3472190-07:00,2022-07-03T01:07:39.3472190Z,,v3,,,,"Gonzalez, Emiliano",1000081438,Right,EDM_RIV,bccf8793-e28a-4275-87c8-03877dd5333e,54.74112,-124.43836,15.37991,6.41123,-3.92118,-10.37169,-1.11585,4.41843,-7.12204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-07-02,18:07:51.80,1,2,"Clark, Wyatt",1000131789,Right,EDM_RIV,"Tobey, Jackson",1000131812,Left,NAN_NIG,Undefined,1,Top,0,0,1,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,88.66702,-2.379394,-3.13094,1854.559521,232.865003,1:45,6.52568,1.18056,5.6266,-23.85997,13.1541,15.37292,2.31255,-0.46274,79.00471,-6.872421,-0.387718,0.43788,65.11344,21.337823,-160.769556,3031.538874,,,,132.22196,49.57033,-162.334071,1.720251,-8.92193,7.94666,-0.92381,50,6.30784,6.32728,-128.11561,-6.11562,-14.40292,33.54754,-19.34557,EDM_RIV,NAN_NIG,ReMaxField,WCL,WCL,20220702-ReMaxField-1,901f5ff0-fa6c-11ec-b8f8-d52f2b595007,86.07945,15.76009,,9.66231,,,,1.80866,2.27981,0.47155,8fdd8cda-9b1e-434e-b14f-830bdedb0900,2022-07-03,01:07:51.80,2022-07-02T18:07:51.8059198-07:00,2022-07-03T01:07:51.8059198Z,LineDrive,v3,,,,"Gonzalez, Emiliano",1000081438,Right,EDM_RIV,e2216378-2257-4ccb-97cc-5ad59d59b9e7,54.86766,-129.38395,16.77377,6.52523,-5.38422,-9.67279,-1.17332,6.87181,-7.20146,22.379503,1.80866,-83.98973,6.0315,-0.34939,0.06118,0.00535,0.00104,-0.00063,3E-05,2.27981,34.74906,-23.98525,2.36691,-0.4893,0.09734,-0.01663,0.00344,-0.00041,0.47155,-29.29837,4.32785,-0.81519,0.17302,-0.0326,0.00697,-0.00162,0.00019,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,2022-07-02,18:08:15.51,1,3,"Clark, Wyatt",1000131789,Right,EDM_RIV,"Tobey, Jackson",1000131812,Left,NAN_NIG,Undefined,1,Top,0,0,2,ChangeUp,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.9631,0.936947,-0.278223,1876.070748,47.28799,7:30,6.43276,0.99937,5.04711,-50.30389,0.2678,-1.63252,3.1246,0.6009,68.99032,-8.21314,-0.567093,0.511829,,,,,,,,,,,,0.7174,0.40331,-0.97151,50,6.48232,0.60078,-110.06992,0.06271,0.86903,21.83038,-31.68549,EDM_RIV,NAN_NIG,ReMaxField,WCL,WCL,20220702-ReMaxField-1,9e54eae0-fa6c-11ec-b8f8-d52f2b595007,73.6426,,,6.97278,,,,,,,8fdd8cda-9b1e-434e-b14f-830bdedb0900,2022-07-03,01:08:15.51,2022-07-02T18:08:15.5143358-07:00,2022-07-03T01:08:15.5143358Z,,v3,,,,"Gonzalez, Emiliano",1000081438,Right,EDM_RIV,d1a24bac-218c-4111-9d19-b1da5cec90fd,55.44856,-111.1453,10.91519,6.44078,1.62355,-15.84274,-1.00005,0.55798,0.43452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-07-02,18:08:29.75,1,4,"Clark, Wyatt",1000131789,Right,EDM_RIV,"Tobey, Jackson",1000131812,Left,NAN_NIG,Undefined,1,Top,0,1,2,ChangeUp,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,74.13057,1.466382,-1.697732,2023.688179,15.698784,6:30,6.41536,1.10576,5.13251,-57.67161,-4.71229,-1.84024,2.99122,-0.64685,67.47945,-8.998224,-2.023672,0.523772,66.13124,8.274421,-6.313506,1543.755147,,,,84.90869,84.90869,-7.493757,0.96768,0.38138,-2.30118,-0.945,50,6.50823,3.25463,-107.41582,0.81839,0.43979,20.86688,-34.82766,EDM_RIV,NAN_NIG,ReMaxField,WCL,WCL,20220702-ReMaxField-1,a6c36d00-fa6c-11ec-b8f8-d52f2b595007,71.9634,5.51115,,6.65112,,,,1.07657,2.82842,0.69016,8fdd8cda-9b1e-434e-b14f-830bdedb0900,2022-07-03,01:08:29.75,2022-07-02T18:08:29.7513150-07:00,2022-07-03T01:08:29.7513150Z,GroundBall,v3,,,,"Gonzalez, Emiliano",1000081438,Right,EDM_RIV,8af9734b-7c23-487a-84b0-c988a06d4dcc,55.36589,-108.45321,10.43344,6.4245,2.54982,-17.41383,-1.10626,3.23276,0.2199,72.161053,1.07657,95.40052,-10.82623,1.24802,-0.26874,0.0438,-0.00723,0.00142,-0.00016,2.82842,13.95859,-18.67739,1.45888,-0.23737,0.05402,-0.00828,0.00124,-0.00016,0.69016,-10.55508,-1.92333,0.32284,-0.0563,0.01084,-0.00175,0.00032,-5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2022-07-02,18:09:08.81,2,1,"Clark, Wyatt",1000131789,Right,EDM_RIV,"Steen, Marcus",1000131819,Left,NAN_NIG,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.08328,-0.052278,-1.759806,1890.766209,69.902152,8:15,6.47418,1.13261,5.05291,-51.6031,1.14228,-1.55728,2.12459,-0.65737,68.08083,-9.386504,-2.035358,0.522714,,,,,,,,,,,,0.2637,1.08319,-0.96378,50,6.42815,3.36077,-107.43139,-1.82274,0.3069,19.34677,-30.9135,EDM_RIV,NAN_NIG,ReMaxField,WCL,WCL,20220702-ReMaxField-1,be2265a0-fa6c-11ec-b8f8-d52f2b595007,72.10917,,,6.00245,,,,,,,8fdd8cda-9b1e-434e-b14f-830bdedb0900,2022-07-03,01:09:08.81,2022-07-02T18:09:08.8196798-07:00,2022-07-03T01:09:08.8196798Z,,v3,,,,"Gonzalez, Emiliano",1000081438,Right,EDM_RIV,6386655e-1e6e-4046-98be-fec1336d1de4,55.445,-108.40752,9.67339,6.48077,-0.26302,-15.45675,-1.13295,3.34529,0.15345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-07-02,18:09:20.43,2,2,"Clark, Wyatt",1000131789,Right,EDM_RIV,"Steen, Marcus",1000131819,Left,NAN_NIG,Undefined,1,Top,1,0,1,ChangeUp,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.48406,0.573804,-0.257173,1736.267234,66.049884,8:15,6.10403,1.60308,5.07152,-50.94235,0.8385,-2.63784,2.39983,1.1408,67.84531,-8.725427,-0.724302,0.517912,,,,,,,,,,,,1.19933,0.91102,-1.57657,50,6.11922,0.59937,-109.21062,-0.65513,1.41335,23.58079,-31.10047,EDM_RIV,NAN_NIG,ReMaxField,WCL,WCL,20220702-ReMaxField-1,c4ffe780-fa6c-11ec-b8f8-d52f2b595007,72.77768,,,7.63875,,,,,,,8fdd8cda-9b1e-434e-b14f-830bdedb0900,2022-07-03,01:09:20.43,2022-07-02T18:09:20.4395198-07:00,2022-07-03T01:09:20.4395198Z,,v3,,,,"Gonzalez, Emiliano",1000081438,Right,EDM_RIV,c12ef261-2452-498e-a9f8-144cfbe261af,55.42047,-110.3748,11.79039,6.11366,0.8803,-15.55024,-1.60445,0.5296,0.70667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-07-02,18:09:33.96,2,3,"Clark, Wyatt",1000131789,Right,EDM_RIV,"Steen, Marcus",1000131819,Left,NAN_NIG,Undefined,1,Top,1,0,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.75054,-0.67098,-0.377571,2041.084438,231.538625,1:45,6.58353,1.30006,5.59876,-24.02281,12.70579,14.18753,3.95517,2.12985,79.25553,-5.196446,2.155909,0.436188,,,,,,,,,,,,-7.19654,7.06772,-1.27659,50,6.51099,0.19138,-128.50192,-2.30448,-11.73432,32.79261,-20.64969,EDM_RIV,NAN_NIG,ReMaxField,WCL,WCL,20220702-ReMaxField-1,cd0b13f0-fa6c-11ec-b8f8-d52f2b595007,86.41328,,,9.49501,,,,,,,8fdd8cda-9b1e-434e-b14f-830bdedb0900,2022-07-03,01:09:33.96,2022-07-02T18:09:33.9650750-07:00,2022-07-03T01:09:33.9650750Z,,v3,,,,"Gonzalez, Emiliano",1000081438,Right,EDM_RIV,c8c43997-8c87-4dce-a801-f3cdd4432bac,54.89247,-129.74443,16.39631,6.58349,-1.52206,-10.32485,-1.29226,0.63599,-5.86716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-07-02,18:09:47.31,2,4,"Clark, Wyatt",1000131789,Right,EDM_RIV,"Steen, Marcus",1000131819,Left,NAN_NIG,Undefined,1,Top,1,1,2,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,87.235,-3.182573,-1.349726,1960.794737,228.581264,1:30,6.45267,1.16138,5.7838,-23.59824,14.23473,14.44005,1.52137,1.10876,78.20405,-7.623298,1.239415,0.442697,59.54328,45.244315,-65.081864,4370.530182,37.04783,42.40728,-103.57344,157.1842,146.02359,-72.111551,3.306441,-7.81847,8.79749,-1.05884,50,6.17624,2.35582,-126.19247,-7.7572,-12.29281,31.65532,-18.34198,EDM_RIV,NAN_NIG,ReMaxField,WCL,WCL,20220702-ReMaxField-1,d4fe99b0-fa6c-11ec-b8f8-d52f2b595007,85.14273,47.82698,,9.03095,,,,1.02954,1.46939,-1.11721,8fdd8cda-9b1e-434e-b14f-830bdedb0900,2022-07-03,01:09:47.31,2022-07-02T18:09:47.3118398-07:00,2022-07-03T01:09:47.3118398Z,Popup,v3,,,,"Gonzalez, Emiliano",1000081438,Right,EDM_RIV,fc1f6fba-4294-40db-92bb-efd8cff73a02,54.7105,-127.36862,15.82766,6.45179,-7.07572,-9.17099,-1.15486,2.81256,-6.1464,,1.03072,25.86683,-6.7096,1.30609,0.26476,-0.37448,0.16276,-0.03538,0.00311,1.46979,62.00022,-23.45372,2.17434,-0.16463,-0.1449,0.0745,-0.01574,0.00133,-1.11718,-55.7643,5.31887,-0.97031,0.12567,0.01433,-0.01825,0.00608,-0.00072,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
9,2022-07-02,18:10:06.01,2,5,"Clark, Wyatt",1000131789,Right,EDM_RIV,"Steen, Marcus",1000131819,Left,NAN_NIG,Undefined,1,Top,1,1,2,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.31264,-1.387479,-2.282428,1950.25379,99.451626,9:15,6.04585,1.63295,5.38113,-44.29341,2.22099,-2.39358,1.05285,-0.70715,71.36718,-9.494706,-2.708452,0.490868,,,,,,,,,,,,0.3852,2.13165,-1.42695,50,5.89082,4.66906,-114.71359,-4.28088,0.49938,26.57208,-29.41047,EDM_RIV,NAN_NIG,ReMaxField,WCL,WCL,20220702-ReMaxField-1,e02d7450-fa6c-11ec-b8f8-d52f2b595007,76.78727,,,7.94546,,,,,,,8fdd8cda-9b1e-434e-b14f-830bdedb0900,2022-07-03,01:10:06.01,2022-07-02T18:10:06.0116158-07:00,2022-07-03T01:10:06.0116158Z,,v3,,,,"Gonzalez, Emiliano",1000081438,Right,EDM_RIV,1aae9877-3e8e-4af0-91bd-aa94c81d68e2,55.11337,-115.89199,13.28604,6.05175,-2.97661,-14.70523,-1.63352,4.64691,0.24969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-07-02,18:10:24.42,2,6,"Clark, Wyatt",1000131789,Right,EDM_RIV,"Steen, Marcus",1000131819,Left,NAN_NIG,Undefined,1,Top,1,2,2,Fastball,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,87.06003,-2.352207,-3.120121,1922.979192,224.898936,1:30,6.36975,1.17973,6.04192,-24.62474,12.38587,11.0791,2.13545,-0.78863,79.23689,-6.968727,-1.128006,0.437859,,,,,,,,,,,,-6.60197,7.45894,-0.94212,50,6.17293,6.41975,-126.14368,-5.95129,-10.563,27.33998,-20.23988,EDM_RIV,NAN_NIG,ReMaxField,WCL,WCL,20220702-ReMaxField-1,eb17f2f0-fa6c-11ec-b8f8-d52f2b595007,86.08344,,,7.82313,,,,,,,8fdd8cda-9b1e-434e-b14f-830bdedb0900,2022-07-03,01:10:24.42,2022-07-02T18:10:24.4280000-07:00,2022-07-03T01:10:24.4280000Z,,v3,,,,"Gonzalez, Emiliano",1000081438,Right,EDM_RIV,6207153d-1fc7-40d6-8e49-0dcc49e2be83,54.45394,-127.10535,13.66999,6.36974,-5.23936,-10.11994,-1.17447,6.7913,-5.2815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.3574,3.246791,1.989222,1.257568,-0.26988,1.92677,0.8209,-3.52468,3.04632,-2.94649,78.63669,10.25792,-46.13653,-3.37714,71.73674,-5.14399,3.27258,25.647,-15.90735,-3.03965,-38.03913,2.97111,High,High,High,,,High,Medium,High
