PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-07-10,17:07:04.87,1,1,"Madariaga, Reid",1000133154,Right,BEN_ELK,"Advincula, Jonah",1000121382,Left,COR_KNI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.89678,0.185092,-1.490698,2301.173514,208.595918,1:00,4.74764,1.98334,6.66428,-20.14584,16.67741,8.44819,3.23824,1.32304,78.2625,-3.688849,0.047232,0.436749,,,,,,,,,,,,-4.85339,9.08138,-1.88619,50,4.75157,2.9345,-124.86792,-0.09359,-7.63871,25.88165,-17.88096,BEN_ELK,COR_KNI,VinceGennaStadium,WCL,WCL,20220710-VinceGennaStadium-1,65bf2000-00ad-11ed-9474-81da465ad6c8,86.3022,,,7.63428,,,,,,,1cfa3e97-7e1e-4e27-ae57-ced99ac3927f,2022-07-11,00:07:04.87,2022-07-10T17:07:04.8709940-07:00,2022-07-11T00:07:04.8709940Z,,v3,,,,"Webber, Wilson",1000131968,Right,BEN_ELK,a7efb12b-32c7-43da-8d27-8dba7d3db9cc,53.8336,-125.66001,12.94083,4.74606,0.45365,-8.94048,-1.97958,3.16828,-3.81935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-07-10,17:07:20.72,1,2,"Madariaga, Reid",1000133154,Right,BEN_ELK,"Advincula, Jonah",1000121382,Left,COR_KNI,Undefined,1,Top,0,0,1,Cutter,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,73.15679,2.560678,-0.473757,2631.311766,61.442408,8:00,4.68264,1.98918,6.16853,-53.90239,-2.62417,-7.49067,2.55766,0.92735,67.66944,-7.387106,-1.825424,0.515392,,,,,,,,,,,,3.76488,-1.59406,-1.94951,50,4.84907,1.1257,-106.36963,3.23697,4.34352,17.05504,-34.01309,BEN_ELK,COR_KNI,VinceGennaStadium,WCL,WCL,20220710-VinceGennaStadium-1,6f37e630-00ad-11ed-9474-81da465ad6c8,73.1335,,,5.48735,,,,,,,1cfa3e97-7e1e-4e27-ae57-ced99ac3927f,2022-07-11,00:07:20.72,2022-07-10T17:07:20.7201588-07:00,2022-07-11T00:07:20.7201588Z,,v3,,,,"Webber, Wilson",1000131968,Right,BEN_ELK,7189f1de-8f60-4e93-8491-d013e644734d,54.33419,-107.06231,8.52752,4.68955,4.61839,-17.00655,-1.99164,0.94929,2.17176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-07-10,17:07:34.73,1,3,"Madariaga, Reid",1000133154,Right,BEN_ELK,"Advincula, Jonah",1000121382,Left,COR_KNI,Undefined,1,Top,0,0,2,Curveball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.1175,-0.850405,-1.237984,2284.972279,231.678181,1:45,4.74904,2.22242,6.86286,-24.36332,10.94426,12.49713,1.94334,2.13519,80.05094,-5.475887,1.04764,0.427667,,,,,,,,,,,,-7.00059,6.37847,-2.14766,50,4.68594,2.30044,-126.79679,-2.53058,-11.42203,25.39305,-21.76703,BEN_ELK,COR_KNI,VinceGennaStadium,WCL,WCL,20220710-VinceGennaStadium-1,77902130-00ad-11ed-9474-81da465ad6c8,88.13511,,,7.06655,,,,,,,1cfa3e97-7e1e-4e27-ae57-ced99ac3927f,2022-07-11,00:07:34.73,2022-07-10T17:07:34.7331892-07:00,2022-07-11T00:07:34.7331892Z,,v3,,,,"Webber, Wilson",1000131968,Right,BEN_ELK,7de75faa-b462-4cef-8966-a5df9b49901f,53.63808,-127.52329,12.69653,4.74943,-1.90782,-10.88352,-2.21815,2.62722,-5.71101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-07-10,17:07:50.39,1,4,"Madariaga, Reid",1000133154,Right,BEN_ELK,"Advincula, Jonah",1000121382,Left,COR_KNI,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.29507,-2.351763,-3.343277,2208.871534,226.558855,1:30,4.63699,2.13579,6.79662,-24.631,11.82426,11.22131,0.43308,0.016,78.894,-7.022324,-1.297182,0.434562,,,,,,,,,,,,-6.98804,7.31229,-1.92303,50,4.47493,6.92891,-125.25718,-5.80397,-11.04939,26.41909,-20.61195,BEN_ELK,COR_KNI,VinceGennaStadium,WCL,WCL,20220710-VinceGennaStadium-1,80d83a70-00ad-11ed-9474-81da465ad6c8,86.73669,,,7.40108,,,,,,,1cfa3e97-7e1e-4e27-ae57-ced99ac3927f,2022-07-11,00:07:50.39,2022-07-10T17:07:50.3912756-07:00,2022-07-11T00:07:50.3912756Z,,v3,,,,"Webber, Wilson",1000131968,Right,BEN_ELK,c0afd11b-8708-452d-88e9-041e8a47362c,53.70454,-126.03612,13.20954,4.6371,-5.19626,-10.30598,-2.13212,7.25469,-5.5247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-07-10,17:08:10.05,1,5,"Madariaga, Reid",1000133154,Right,BEN_ELK,"Advincula, Jonah",1000121382,Left,COR_KNI,Undefined,1,Top,0,2,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,73.4547,2.042428,0.336687,2754.852356,81.471803,8:45,4.67713,2.24999,6.15175,-52.36019,-0.5661,-15.51981,2.20174,1.26776,66.81957,-7.676902,-2.464095,0.517978,,,,,,,,,,,,8.12902,-0.42126,-2.26777,50,4.80585,-0.10079,-106.64984,2.32469,9.24577,20.47958,-32.65318,BEN_ELK,COR_KNI,VinceGennaStadium,WCL,WCL,20220710-VinceGennaStadium-1,8ca3f150-00ad-11ed-9474-81da465ad6c8,72.7684,,,6.63513,,,,,,,1cfa3e97-7e1e-4e27-ae57-ced99ac3927f,2022-07-11,00:08:10.05,2022-07-10T17:08:10.0540000-07:00,2022-07-11T00:08:10.0540000Z,,v3,,,,"Webber, Wilson",1000131968,Right,BEN_ELK,35eab8cc-7ba0-4de8-9d55-6aa45d3960f9,54.34874,-107.48166,10.23979,4.68449,3.65098,-16.32659,-2.25605,-0.47633,4.62289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.56767,,,1.04082,,,,-2.24314,5.1788,0.38659,71.4388,-1.4609,-53.34267,-2.22529,74.97724,-4.07069,5.19925,7.50888,-13.40424,0.34378,-58.78801,7.00336,High,High,High,,,High,High,High
6,2022-07-10,17:08:38.61,2,1,"Madariaga, Reid",1000133154,Right,BEN_ELK,"Le, Mason",1000119617,Right,COR_KNI,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.7376,2.055491,-1.395736,2685.025793,56.212948,7:45,4.72749,1.77427,6.44396,-60.29393,-6.52713,-12.46674,1.59308,-0.54736,65.48308,-9.138249,-3.657948,0.52775,,,,,,,,,,,,6.04351,-3.47189,-1.67021,50,4.84741,2.93951,-104.19448,2.11801,6.55074,19.79548,-35.93736,BEN_ELK,COR_KNI,VinceGennaStadium,WCL,WCL,20220710-VinceGennaStadium-1,9da657e0-00ad-11ed-9474-81da465ad6c8,71.42098,,,6.25452,,,,,,,1cfa3e97-7e1e-4e27-ae57-ced99ac3927f,2022-07-11,00:08:38.61,2022-07-10T17:08:38.6193204-07:00,2022-07-11T00:08:38.6193204Z,,v3,,,,"Webber, Wilson",1000131968,Right,BEN_ELK,f30788db-2ca8-4541-aa65-ea1bd6bd9606,54.05733,-104.96248,9.89774,4.7382,3.51227,-17.96868,-1.77933,2.68536,3.27537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-07-10,17:08:50.72,2,2,"Madariaga, Reid",1000133154,Right,BEN_ELK,"Le, Mason",1000119617,Right,COR_KNI,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.96104,-0.707186,-2.81501,2296.130361,209.319116,1:00,4.68662,1.84485,6.86222,-20.33631,16.70556,8.6217,2.34647,-0.0048,77.35808,-4.65434,-1.241401,0.438044,,,,,,,,,,,,-5.48425,9.48434,-1.66811,50,4.63386,5.81883,-124.74142,-2.01215,-8.48865,29.22613,-17.49395,BEN_ELK,COR_KNI,VinceGennaStadium,WCL,WCL,20220710-VinceGennaStadium-1,a4d750f0-00ad-11ed-9474-81da465ad6c8,86.04712,,,8.60296,,,,,,,1cfa3e97-7e1e-4e27-ae57-ced99ac3927f,2022-07-11,00:08:50.72,2022-07-10T17:08:50.7269940-07:00,2022-07-11T00:08:50.7269940Z,,v3,,,,"Webber, Wilson",1000131968,Right,BEN_ELK,8889888d-021c-469a-a8bb-48d0d87eed8b,53.63447,-125.59007,14.61306,4.68492,-1.50418,-8.74698,-1.84065,6.06532,-4.24433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-07-10,17:09:04.47,2,3,"Madariaga, Reid",1000133154,Right,BEN_ELK,"Le, Mason",1000119617,Right,COR_KNI,Undefined,1,Top,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.26029,-2.058644,-2.70613,2309.208801,198.217387,12:30,4.701,1.62857,6.64648,-19.77127,16.86438,5.15638,1.16615,-0.42056,78.78265,-5.842988,-1.768656,0.435635,,,,,,,,,,,,-3.48729,9.83603,-1.44792,50,4.55371,5.7282,-125.22471,-5.00029,-5.52001,26.02947,-16.60463,BEN_ELK,COR_KNI,VinceGennaStadium,WCL,WCL,20220710-VinceGennaStadium-1,ad079190-00ad-11ed-9474-81da465ad6c8,86.52289,,,7.47765,,,,,,,1cfa3e97-7e1e-4e27-ae57-ced99ac3927f,2022-07-11,00:09:04.47,2022-07-10T17:09:04.4726580-07:00,2022-07-11T00:09:04.4726580Z,,v3,,,,"Webber, Wilson",1000131968,Right,BEN_ELK,3eba5cc2-8d1d-4868-976a-fce28e7f799d,53.85195,-126.02284,13.01473,4.69922,-4.49115,-8.30232,-1.62615,5.89745,-2.76001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-07-10,17:09:16.49,2,4,"Madariaga, Reid",1000133154,Right,BEN_ELK,"Le, Mason",1000119617,Right,COR_KNI,Undefined,1,Top,1,2,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.68772,1.385175,-0.474479,2738.545288,57.294965,8:00,4.70613,1.85794,6.38648,-58.90397,-5.30709,-10.9539,1.07194,0.50865,65.84672,-9.522949,-2.462728,0.526916,,,,,,,,,,,,5.60185,-2.72878,-1.81889,50,4.77882,1.20606,-104.23496,0.94658,6.11188,18.87949,-35.1513,BEN_ELK,COR_KNI,VinceGennaStadium,WCL,WCL,20220710-VinceGennaStadium-1,b43e08e0-00ad-11ed-9474-81da465ad6c8,71.53409,,,5.841,,,,,,,1cfa3e97-7e1e-4e27-ae57-ced99ac3927f,2022-07-11,00:09:16.49,2022-07-10T17:09:16.4960564-07:00,2022-07-11T00:09:16.4960564Z,,v3,,,,"Webber, Wilson",1000131968,Right,BEN_ELK,99b84846-fa34-4b25-b6a5-9194b1efbd8c,54.11606,-104.97783,9.43975,4.71437,2.32971,-17.57565,-1.86161,0.96557,3.05594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-07-10,17:09:29.89,2,5,"Madariaga, Reid",1000133154,Right,BEN_ELK,"Le, Mason",1000119617,Right,COR_KNI,Undefined,1,Top,1,3,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,85.94674,-1.050427,-3.014585,2309.416044,226.18531,1:30,4.66379,1.91731,6.89137,-22.29899,14.38745,13.69993,1.84711,0.30999,78.08925,-5.332731,-0.512128,0.435938,61.68943,64.676894,63.237698,5513.630135,,,,93.94497,46.96261,84.275253,4.591542,-8.21162,8.33961,-1.73109,50,4.58921,6.09202,-124.83246,-2.84038,-12.84774,27.11774,-19.12605,BEN_ELK,COR_KNI,VinceGennaStadium,WCL,WCL,20220710-VinceGennaStadium-1,bc2b2600-00ad-11ed-9474-81da465ad6c8,86.46292,86.22113,,7.85749,,,,0.66343,2.1398,-0.1883,1cfa3e97-7e1e-4e27-ae57-ced99ac3927f,2022-07-11,00:09:29.89,2022-07-10T17:09:29.8933044-07:00,2022-07-11T00:09:29.8933044Z,Popup,v3,,,,"Webber, Wilson",1000131968,Right,BEN_ELK,ae2ef875-b527-45cc-9f77-aac1223b2261,53.60821,-125.61384,13.55887,4.66311,-2.28928,-9.56303,-1.91196,6.46221,-6.42387,200.333733,0.70823,16.36256,-4.82475,-6.22724,7.82666,-4.06073,1.08977,-0.14681,0.00785,2.145,81.70002,-23.02422,2.0508,-0.47843,0.21668,-0.08073,0.01491,-0.00104,-0.18208,34.43676,-4.61995,0.13816,0.22959,-0.02286,-0.0287,0.00872,-0.00072,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
