PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-07-14,18:35:21.08,1,1,"Wilson, Nicholas",1000121433,Right,WWA_SWE,"Jackson, Elijah",1000131969,Right,BEN_ELK,Undefined,1,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,Popup,Out,1,0,,85.80651,-0.733136,-2.145128,1737.287092,210.125748,1:00,5.55251,1.34273,6.76339,-20.938,16.38402,8.70926,3.13763,0.10854,77.16387,-4.786755,-0.5571,0.439698,84.14167,64.718903,-3.202746,,,,,,86.82291,,,-5.32398,9.30847,-1.20545,50,5.49639,4.34775,-124.55816,-2.09806,-8.2039,29.48805,-17.83032,WWA_SWE,BEN_ELK,BorleskeStadium,WCL,WCL,20220714-BorleskeStadium-1,651f8160-03de-11ed-a781-e1df5f05cc9f,85.72355,132.04027,,8.64264,,,,2.1404,3.39014,-0.10885,fd729519-0b8d-430c-a93c-3dc226fde551,2022-07-15,01:35:21.08,2022-07-14T18:35:21.0833434-07:00,2022-07-15T01:35:21.0833434Z,,v3,,,,"Osaka, Kai",1000127602,Right,WWA_SWE,aba0d425-8384-4a70-bb99-16d4e20286dd,53.73203,-125.43857,14.74403,5.55109,-1.5657,-8.91516,-1.33891,4.59269,-4.10195,,2.1404,52.6201,-17.50362,4.54833,-1.03773,0.19566,-0.02798,0.00071,0.00029,3.39014,111.5881,-26.89553,3.16274,-0.49016,0.04636,0.00177,-0.00172,0.00023,-0.10885,-2.94442,7.42816,-3.90136,1.29429,-0.35143,0.07939,-0.01229,0.00087,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
2,2022-07-14,18:36:04.28,2,1,"Wilson, Nicholas",1000121433,Right,WWA_SWE,"Scavatto, Evan",1000131974,Right,BEN_ELK,Undefined,1,Top,1,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.60384,-0.796595,-2.487926,1854.715412,205.184077,12:45,5.51136,1.48824,6.76252,-21.33064,16.04643,6.91815,3.00557,-0.20882,77.28165,-4.911708,-1.227084,0.440022,,,,,,,,,,,,-4.42713,9.12016,-1.32772,50,5.45084,5.14147,-124.24865,-2.24532,-6.82089,28.24233,-18.12258,WWA_SWE,BEN_ELK,BorleskeStadium,WCL,WCL,20220714-BorleskeStadium-1,7efdd1e0-03de-11ed-a781-e1df5f05cc9f,85.66041,,,8.32218,,,,,,,fd729519-0b8d-430c-a93c-3dc226fde551,2022-07-15,01:36:04.28,2022-07-14T18:36:04.2815514-07:00,2022-07-15T01:36:04.2815514Z,,v3,,,,"Osaka, Kai",1000127602,Right,WWA_SWE,bedcba4e-9c55-445f-a6eb-336960a2562f,53.7318,-125.09403,14.12117,5.50992,-1.70286,-9.06129,-1.48467,5.34564,-3.41044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-07-14,18:36:19.46,2,2,"Wilson, Nicholas",1000121433,Right,WWA_SWE,"Scavatto, Evan",1000131974,Right,BEN_ELK,Undefined,1,Top,1,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.02948,-0.497472,-2.539438,2167.9147,127.438432,10:15,5.16849,1.59654,6.37358,-42.10368,8.97091,-9.25016,1.20169,-1.51226,66.99845,-8.383177,-4.212997,0.514368,,,,,,,,,,,,3.92016,5.43796,-1.4095,50,5.11373,5.07423,-107.31378,-2.03854,4.47551,22.20435,-25.9657,WWA_SWE,BEN_ELK,BorleskeStadium,WCL,WCL,20220714-BorleskeStadium-1,87fd2250-03de-11ed-a781-e1df5f05cc9f,73.27915,,,7.03102,,,,,,,fd729519-0b8d-430c-a93c-3dc226fde551,2022-07-15,01:36:19.46,2022-07-14T18:36:19.4627610-07:00,2022-07-15T01:36:19.4627610Z,,v3,,,,"Osaka, Kai",1000127602,Right,WWA_SWE,c833e5d7-5782-4fff-a37d-a7701e0ba38a,54.11982,-108.16285,11.10218,5.1727,-1.04564,-12.98285,-1.60026,4.90309,2.23775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-07-14,18:36:33.98,2,3,"Wilson, Nicholas",1000121433,Right,WWA_SWE,"Scavatto, Evan",1000131974,Right,BEN_ELK,Undefined,1,Top,1,1,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,86.65208,-1.611736,-3.046654,1922.442045,204.788805,12:45,5.45884,1.66265,6.86299,-18.46473,18.04265,7.70863,2.44852,-0.47465,77.97815,-5.210023,-1.640114,0.434872,90.72071,30.660974,17.933762,4843.991358,100.74519,55.87446,44.16332,302.145,267.07739,33.143299,4.498001,-5.11189,10.51103,-1.47115,50,5.34918,6.41126,-125.68907,-3.9548,-8.02459,29.9163,-15.67397,WWA_SWE,BEN_ELK,BorleskeStadium,WCL,WCL,20220714-BorleskeStadium-1,90a9e5f0-03de-11ed-a781-e1df5f05cc9f,86.67472,67.68784,,8.67393,,,,1.48145,2.5718,0.51662,fd729519-0b8d-430c-a93c-3dc226fde551,2022-07-15,01:36:33.98,2022-07-14T18:36:33.9856410-07:00,2022-07-15T01:36:33.9856410Z,FlyBall,v3,,,,"Osaka, Kai",1000127602,Right,WWA_SWE,92214283-43cc-4f23-bdeb-f94f39511f8e,53.63271,-126.55077,14.95815,5.45658,-3.50333,-7.83699,-1.65915,6.6424,-4.0123,,1.47732,108.98808,-25.73895,7.19352,-2.2107,0.66865,-0.1576,0.0217,-0.00121,2.56757,67.95256,-20.67197,2.2788,-0.81112,0.3376,-0.08748,0.01236,-0.00073,0.51588,35.26738,4.88904,-2.95563,0.78202,-0.06983,-0.0208,0.00688,-0.00059,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
5,2022-07-14,18:37:09.02,3,1,"Wilson, Nicholas",1000121433,Right,WWA_SWE,"Kasper, Brady",1000091717,Left,BEN_ELK,Undefined,1,Top,2,0,0,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,87.02064,-2.78864,-2.397709,1955.953223,215.647937,1:15,5.44155,1.76368,6.9801,-20.71261,15.49564,10.11319,1.17508,0.42452,78.15209,-6.798738,-0.54534,0.433087,,,,,,,,,,,,-6.23744,9.63886,-1.61887,50,5.26244,4.92301,-126.18091,-6.63446,-9.81863,31.3278,-17.00107,WWA_SWE,BEN_ELK,BorleskeStadium,WCL,WCL,20220714-BorleskeStadium-1,a58c93f0-03de-11ed-a781-e1df5f05cc9f,87.03205,,,8.86855,,,,,,,fd729519-0b8d-430c-a93c-3dc226fde551,2022-07-15,01:37:09.02,2022-07-14T18:37:09.0270234-07:00,2022-07-15T01:37:09.0270234Z,,v3,,,,"Osaka, Kai",1000127602,Right,WWA_SWE,083f019e-1102-4a55-aa38-39bf6fde7bb6,53.5155,-127.05073,15.6639,5.44009,-6.16242,-8.50053,-1.75935,5.19563,-4.90931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-07-14,18:37:33.02,3,2,"Wilson, Nicholas",1000121433,Right,WWA_SWE,"Kasper, Brady",1000091717,Left,BEN_ELK,Undefined,1,Top,2,0,1,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.90373,-2.042098,-2.08168,1739.935408,234.283234,1:45,5.42641,1.61639,6.90923,-23.87552,11.17757,13.88993,1.57502,0.87724,79.99933,-6.592665,0.460846,0.426123,,,,,,,,,,,,-8.01882,6.92985,-1.4897,50,5.28961,4.13918,-127.70282,-5.18349,-13.11994,28.55994,-20.83585,WWA_SWE,BEN_ELK,BorleskeStadium,WCL,WCL,20220714-BorleskeStadium-1,b3d09dd0-03de-11ed-a781-e1df5f05cc9f,88.45442,,,7.9044,,,,,,,fd729519-0b8d-430c-a93c-3dc226fde551,2022-07-15,01:37:33.02,2022-07-14T18:37:33.0212890-07:00,2022-07-15T01:37:33.0212890Z,,v3,,,,"Osaka, Kai",1000127602,Right,WWA_SWE,04de626d-24f3-4e56-ac1e-fcc8d9c9ceda,53.58809,-128.50277,14.27997,5.42662,-4.5999,-10.41793,-1.61079,4.50667,-6.55997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-07-14,18:37:53.82,3,3,"Wilson, Nicholas",1000121433,Right,WWA_SWE,"Kasper, Brady",1000091717,Left,BEN_ELK,Undefined,1,Top,2,0,2,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,88.9658,-2.611909,-2.624153,1727.862341,202.130947,12:45,5.52615,1.65009,6.8764,-14.14788,20.06568,7.69402,1.96282,-0.10176,81.00935,-5.382762,-1.219217,0.420989,67.64571,33.767903,-167.996862,3294.224867,,,,,59.94239,,,-4.88378,11.80253,-1.48621,50,5.35486,5.64273,-129.16745,-6.19335,-8.20164,28.40494,-12.35333,WWA_SWE,BEN_ELK,BorleskeStadium,WCL,WCL,20220714-BorleskeStadium-1,c03e6110-03de-11ed-a781-e1df5f05cc9f,89.53312,30.18286,,7.95645,,,,2.06051,2.11305,0.06842,fd729519-0b8d-430c-a93c-3dc226fde551,2022-07-15,01:37:53.82,2022-07-14T18:37:53.8241562-07:00,2022-07-15T01:37:53.8241562Z,,v3,,,,"Osaka, Kai",1000127602,Right,WWA_SWE,61a1176b-1660-40af-ad59-0f683df3acc7,53.6215,-129.9614,14.20247,5.52314,-5.84806,-6.17667,-1.64714,5.87197,-4.10082,10.547728,2.06051,-80.67269,3.88107,0.23421,0.09596,-0.47726,0.75849,-0.5619,0.16189,2.11305,55.14549,-26.70798,2.87701,-0.01462,-1.48327,2.23637,-1.54894,0.41387,0.06842,-17.15219,2.31277,0.21709,0.07243,-0.37506,0.58966,-0.43326,0.12379,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2022-07-14,18:38:11.64,3,4,"Wilson, Nicholas",1000121433,Right,WWA_SWE,"Kasper, Brady",1000091717,Left,BEN_ELK,Undefined,1,Top,2,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.29243,-0.695553,-2.108613,1564.262756,235.829319,1:45,5.02207,2.2844,6.94639,-31.21502,10.31363,13.30103,1.78737,1.47298,73.77869,-6.608062,0.327456,0.463816,,,,,,,,,,,,-7.64355,6.0987,-2.15697,50,4.96812,3.86325,-116.79609,-2.19283,-10.56719,21.82215,-23.74261,WWA_SWE,BEN_ELK,BorleskeStadium,WCL,WCL,20220714-BorleskeStadium-1,cac95a90-03de-11ed-a781-e1df5f05cc9f,81.26601,,,6.51373,,,,,,,fd729519-0b8d-430c-a93c-3dc226fde551,2022-07-15,01:38:11.64,2022-07-14T18:38:11.6428826-07:00,2022-07-15T01:38:11.6428826Z,,v3,,,,"Osaka, Kai",1000127602,Right,WWA_SWE,052eb23e-bd74-4c64-8a4b-e52b6b3a9c56,53.55132,-117.45774,10.91107,5.02369,-1.47295,-11.87131,-2.27896,4.18365,-5.2836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-07-14,18:38:27.74,3,5,"Wilson, Nicholas",1000121433,Right,WWA_SWE,"Kasper, Brady",1000091717,Left,BEN_ELK,Undefined,1,Top,2,1,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,88.22171,-1.563829,-0.739032,1775.643219,217.433523,1:15,5.45991,1.528,6.74846,-21.6993,13.46292,9.35004,2.22258,1.63202,79.79141,-5.72353,0.967546,0.426785,,,,,,,,,,,,-5.12028,7.97784,-1.48227,50,5.34883,1.28938,-128.12073,-4.06397,-8.39156,29.93166,-19.09927,WWA_SWE,BEN_ELK,BorleskeStadium,WCL,WCL,20220714-BorleskeStadium-1,d49808f0-03de-11ed-a781-e1df5f05cc9f,88.31708,,,8.43031,,,,,,,fd729519-0b8d-430c-a93c-3dc226fde551,2022-07-15,01:38:27.74,2022-07-14T18:38:27.7410842-07:00,2022-07-15T01:38:27.7410842Z,,v3,,,,"Osaka, Kai",1000127602,Right,WWA_SWE,69b1544f-1053-4c9e-b755-56782a55b473,53.74546,-128.99278,14.96583,5.45913,-3.50752,-9.54964,-1.5234,1.53387,-4.19578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-07-14,18:38:43.63,3,6,"Wilson, Nicholas",1000121433,Right,WWA_SWE,"Kasper, Brady",1000091717,Left,BEN_ELK,Undefined,1,Top,2,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.37605,-3.530296,-3.217222,1877.719915,206.173544,12:45,5.40803,1.68981,7.00488,-18.15816,16.67052,7.58095,0.67653,-0.6061,80.10824,-7.041889,-1.830016,0.424757,,,,,,,,,,,,-5.05965,10.38587,-1.49504,50,5.18523,6.92628,-128.0687,-8.32462,-8.29467,29.63976,-15.1477,WWA_SWE,BEN_ELK,BorleskeStadium,WCL,WCL,20220714-BorleskeStadium-1,dde57960-03de-11ed-a781-e1df5f05cc9f,88.73893,,,8.26781,,,,,,,fd729519-0b8d-430c-a93c-3dc226fde551,2022-07-15,01:38:43.63,2022-07-14T18:38:43.6323354-07:00,2022-07-15T01:38:43.6323354Z,,v3,,,,"Osaka, Kai",1000127602,Right,WWA_SWE,a11399d2-9f04-40e1-96b6-5d3906c9787d,53.4913,-128.87418,14.81988,5.40587,-7.91297,-7.57385,-1.68633,7.15169,-4.14733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
