PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-07-17,18:06:28.13,1,1,"Jones, Peyton",1000078176,Left,POR_PIC,"Jackson, Elijah",1000131969,Right,BEN_ELK,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.62399,-2.897282,2.556107,2600.243557,168.344026,11:30,6.05666,-2.08976,6.53866,-15.5982,20.37245,-3.93933,2.09456,-0.07207,79.37751,-5.929366,1.841416,0.431664,,,,,,,,,,,,2.8398,11.92497,1.91408,50,5.84848,-5.51496,-127.00283,-6.781,4.58746,28.66908,-12.91022,POR_PIC,BEN_ELK,WalkerStadium,WCL,WCL,20220717-WalkerStadium-1,da813e90-0635-11ed-bc52-51189611655b,87.31901,,,8.24648,,,,,,,be9e1881-e85b-425a-94bf-56f65ab98728,2022-07-18,01:06:28.13,2022-07-17T18:06:28.1365504-07:00,2022-07-18T01:06:28.1365504Z,,v3,,,,"Leibl, Evan",1000131956,Right,POR_PIC,0a927c39-2a9c-4537-984f-55e47145d7af,53.95593,-127.89271,14.33454,6.05274,-6.38027,-6.45511,2.08748,-5.65736,2.29373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-07-17,18:06:49.66,1,2,"Jones, Peyton",1000078176,Left,POR_PIC,"Jackson, Elijah",1000131969,Right,BEN_ELK,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.43446,-2.476248,4.780311,2579.186053,163.401508,11:30,6.06555,-2.12804,6.46234,-18.29375,18.75017,-5.21418,2.25725,1.83844,78.67225,-5.982377,3.839889,0.438056,,,,,,,,,,,,4.11524,10.89284,1.79193,50,5.88158,-10.25661,-125.06064,-5.87865,6.4817,26.51275,-15.01735,POR_PIC,BEN_ELK,WalkerStadium,WCL,WCL,20220717-WalkerStadium-1,e762d240-0635-11ed-bc52-51189611655b,86.04477,,,7.76221,,,,,,,be9e1881-e85b-425a-94bf-56f65ab98728,2022-07-18,01:06:49.66,2022-07-17T18:06:49.6682496-07:00,2022-07-18T01:06:49.6682496Z,,v3,,,,"Leibl, Evan",1000131956,Right,POR_PIC,9cd10a5a-325b-49ba-b150-6d9c4271d101,54.03319,-125.91277,13.25638,6.06277,-5.39599,-7.50867,2.12493,-10.46493,3.24085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-07-17,18:07:13.80,1,3,"Jones, Peyton",1000078176,Left,POR_PIC,"Jackson, Elijah",1000131969,Right,BEN_ELK,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.89381,-3.650953,1.478265,2586.837833,162.342978,11:30,6.00958,-2.19387,6.33348,-15.35461,20.7421,-6.18615,1.36269,-1.34795,79.54637,-6.625731,0.358807,0.43242,,,,,,,,,,,,3.65335,12.28761,2.0888,50,5.73563,-3.03445,-127.3202,-8.48305,5.92282,29.15356,-12.25336,POR_PIC,BEN_ELK,WalkerStadium,WCL,WCL,20220717-WalkerStadium-1,f5bb0060-0635-11ed-bc52-51189611655b,87.16636,,,8.34743,,,,,,,be9e1881-e85b-425a-94bf-56f65ab98728,2022-07-18,01:07:13.80,2022-07-17T18:07:13.8034688-07:00,2022-07-18T01:07:13.8034688Z,,v3,,,,"Leibl, Evan",1000131956,Right,POR_PIC,f6fc48fa-34b9-4dd4-bd96-486ab9df3d22,54.16085,-128.26941,14.57678,6.00534,-8.08409,-6.12668,2.19073,-3.22729,2.96141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-07-17,18:07:34.47,1,4,"Jones, Peyton",1000078176,Left,POR_PIC,"Jackson, Elijah",1000131969,Right,BEN_ELK,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,87.68302,-2.229182,2.088515,2539.57911,155.808236,11:15,6.02404,-2.12588,6.58735,-16.90584,18.8597,-7.90989,2.57016,-0.87042,79.4614,-5.504464,0.650935,0.430431,70.75307,33.497371,124.652442,3114.185244,,,,,56.09651,,,4.79118,10.96209,1.98592,50,5.86398,-4.3373,-127.24098,-5.35569,7.77019,28.7342,-14.39606,POR_PIC,BEN_ELK,WalkerStadium,WCL,WCL,20220717-WalkerStadium-1,0211b930-0636-11ed-bc52-51189611655b,87.56901,32.12777,,8.22163,,,,0.68428,2.45792,0.97477,be9e1881-e85b-425a-94bf-56f65ab98728,2022-07-18,01:07:34.47,2022-07-17T18:07:34.4793088-07:00,2022-07-18T01:07:34.4793088Z,,v3,,,,"Leibl, Evan",1000131956,Right,POR_PIC,04c4e7ab-d6e0-43b3-824a-e3d05569e6c1,53.90874,-128.12063,14.3671,6.02119,-4.91497,-7.19803,2.12234,-4.57517,3.8851,,0.68428,-49.20399,4.94517,-0.29355,-0.15853,0.08703,-0.02958,0.00747,-0.00103,2.45792,57.27108,-25.16281,2.34484,-0.21829,-0.03262,0.02301,-0.00668,0.00099,0.97477,71.18576,-20.60123,6.56634,-1.73627,0.42439,-0.10203,0.02165,-0.00296,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
5,2022-07-17,18:08:00.94,1,5,"Jones, Peyton",1000078176,Left,POR_PIC,"Jackson, Elijah",1000131969,Right,BEN_ELK,Undefined,1,Top,0,2,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.3194,-1.163515,1.685894,1451.188124,109.493527,9:45,5.87408,-2.29487,6.0338,-39.30707,5.30618,-10.62422,1.52048,-1.61865,72.2728,-8.45025,-0.229135,0.480732,,,,,,,,,,,,5.95516,3.58902,2.1687,50,5.76238,-2.98643,-115.08916,-3.53827,7.89917,23.56011,-27.41344,POR_PIC,BEN_ELK,WalkerStadium,WCL,WCL,20220717-WalkerStadium-1,11dab560-0636-11ed-bc52-51189611655b,78.4063,,,7.0466,,,,,,,be9e1881-e85b-425a-94bf-56f65ab98728,2022-07-18,01:08:00.94,2022-07-17T18:08:00.9441792-07:00,2022-07-18T01:08:00.9441792Z,,v3,,,,"Leibl, Evan",1000131956,Right,POR_PIC,1f6bc76d-52ad-4803-8e66-0e6fab3a1696,54.4622,-115.99903,11.78005,5.87859,-2.47959,-13.70672,2.28992,-3.29149,3.94959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-07-17,18:08:23.78,1,6,"Jones, Peyton",1000078176,Left,POR_PIC,"Jackson, Elijah",1000131969,Right,BEN_ELK,Undefined,1,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,85.21702,-1.44613,4.569864,2355.98299,167.818857,11:30,6.1233,-2.03539,6.67986,-19.06993,18.65509,-3.75382,3.20684,1.84081,77.53295,-5.117879,3.88988,0.442065,,,,,,,,,,,,3.31,10.62005,1.7308,50,6.01829,-9.72734,-123.44684,-3.56947,5.07881,25.87283,-15.87881,POR_PIC,BEN_ELK,WalkerStadium,WCL,WCL,20220717-WalkerStadium-1,1f6fba90-0636-11ed-bc52-51189611655b,85.26447,,,7.68407,,,,,,,be9e1881-e85b-425a-94bf-56f65ab98728,2022-07-18,01:08:23.78,2022-07-17T18:08:23.7879296-07:00,2022-07-18T01:08:23.7879296Z,,v3,,,,"Leibl, Evan",1000131956,Right,POR_PIC,6bffa316-a0e4-4633-a29c-b3567d8dad9d,53.81531,-124.2439,12.93642,6.12073,-3.08029,-7.9394,2.03288,-9.8838,2.53941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-07-17,18:09:48.52,2,1,"Jones, Peyton",1000078176,Left,POR_PIC,"Scavatto, Evan",1000131974,Right,BEN_ELK,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.59237,-2.071118,1.283627,2511.731948,160.836999,11:15,6.10782,-2.23482,6.43753,-14.50666,23.01993,-7.46937,2.99438,-1.67748,77.0418,-4.957393,-0.070508,0.440901,,,,,,,,,,,,4.3065,13.11934,2.14643,50,5.95355,-2.50584,-125.4239,-4.80929,6.66352,32.13647,-11.87428,POR_PIC,BEN_ELK,WalkerStadium,WCL,WCL,20220717-WalkerStadium-1,51fd5170-0636-11ed-bc52-51189611655b,85.48959,,,9.55057,,,,,,,be9e1881-e85b-425a-94bf-56f65ab98728,2022-07-18,01:09:48.52,2022-07-17T18:09:48.5265408-07:00,2022-07-18T01:09:48.5265408Z,,v3,,,,"Leibl, Evan",1000131956,Right,POR_PIC,988b64ff-2b86-434a-a445-220d055ef99a,54.05337,-126.4582,16.06823,6.10219,-4.42712,-5.93714,2.23053,-2.7203,3.33176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-07-17,18:10:13.97,2,2,"Jones, Peyton",1000078176,Left,POR_PIC,"Scavatto, Evan",1000131974,Right,BEN_ELK,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,85.41579,-1.463654,2.829948,2494.831395,164.610451,11:30,6.10569,-2.14736,6.58055,-18.72095,19.28166,-4.91776,3.20232,0.03844,76.8073,-5.100222,1.937417,0.443688,62.63938,37.048141,144.935988,3061.541638,,,,,30.35426,,,3.5254,11.02134,1.95518,50,5.9972,-5.93765,-123.84044,-3.60404,5.37077,29.11642,-15.38355,POR_PIC,BEN_ELK,WalkerStadium,WCL,WCL,20220717-WalkerStadium-1,61232fd0-0636-11ed-bc52-51189611655b,84.95249,23.18792,,8.60849,,,,1.4842,3.41885,-0.07021,be9e1881-e85b-425a-94bf-56f65ab98728,2022-07-18,01:10:13.97,2022-07-17T18:10:13.9739136-07:00,2022-07-18T01:10:13.9739136Z,,v3,,,,"Leibl, Evan",1000131956,Right,POR_PIC,0ad0cda2-5b45-4c06-96f0-09ef4db09b6f,53.9146,-124.75742,14.55821,6.10307,-3.11956,-7.69178,2.14484,-6.10679,2.68539,,1.48762,-60.12213,2.66355,,,,,,,3.43426,54.89199,-24.91976,,,,,,,-0.05889,41.78749,-9.30116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2022-07-17,18:11:02.21,2,3,"Jones, Peyton",1000078176,Left,POR_PIC,"Scavatto, Evan",1000131974,Right,BEN_ELK,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.14458,-2.391389,2.155531,2571.1511,155.747316,11:15,6.06927,-2.18777,6.43678,-15.79639,20.88899,-8.79335,2.55248,-0.93877,78.41233,-5.477714,0.56221,0.435931,,,,,,,,,,,,5.25677,12.05186,2.03804,50,5.89169,-4.4022,-126.30132,-5.62831,8.34393,29.88927,-13.04449,POR_PIC,BEN_ELK,WalkerStadium,WCL,WCL,20220717-WalkerStadium-1,7dde8890-0636-11ed-bc52-51189611655b,86.46422,,,8.73224,,,,,,,be9e1881-e85b-425a-94bf-56f65ab98728,2022-07-18,01:11:02.21,2022-07-17T18:11:02.2178816-07:00,2022-07-18T01:11:02.2178816Z,,v3,,,,"Leibl, Evan",1000131956,Right,POR_PIC,0565f08b-bb96-44d4-b538-311ea2ed8535,54.05703,-127.2578,14.94464,6.06512,-5.21088,-6.52224,2.18319,-4.66922,4.17197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-07-17,18:11:29.04,2,4,"Jones, Peyton",1000078176,Left,POR_PIC,"Scavatto, Evan",1000131974,Right,BEN_ELK,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.64292,-1.631858,1.312506,2603.441566,162.645761,11:30,6.05219,-2.25876,6.48778,-16.30028,20.72009,-6.04276,3.19488,-1.55714,77.85501,-4.821482,0.215942,0.437917,,,,,,,,,,,,3.55445,11.72717,2.16888,50,5.92999,-2.63737,-125.66511,-3.936,5.57933,29.83229,-13.7662,POR_PIC,BEN_ELK,WalkerStadium,WCL,WCL,20220717-WalkerStadium-1,8de55110-0636-11ed-bc52-51189611655b,86.07213,,,8.78791,,,,,,,be9e1881-e85b-425a-94bf-56f65ab98728,2022-07-18,01:11:29.04,2022-07-17T18:11:29.0440000-07:00,2022-07-18T01:11:29.0440000Z,,v3,,,,"Leibl, Evan",1000131956,Right,POR_PIC,fa4ea754-7b05-4b75-ab55-5c3dd7e5cf10,54.0048,-126.61226,14.91614,6.04802,-3.49893,-6.8831,2.25543,-2.81451,2.78967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.09374,1.566761,0.685926,0.880835,-2.25089,2.87663,1.54576,-2.83579,3.8573,3.96452,65.58854,2.19673,59.18944,-2.74649,87.36649,-11.08729,3.88468,9.83897,-13.33752,3.96382,64.69014,-2.26277,High,High,High,,,High,Medium,Low
