PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-07-22,18:37:54.58,1,1,"Herrada, Raul",1000132813,Right,COW_BLA,"Sharp, Jacob",1000059988,Right,RID_RAP,Undefined,1,Top,0,0,0,Fastball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,72.13051,0.797431,-0.725323,1925.940995,95.445976,9:15,6.04378,1.30866,5.56072,-51.71219,2.12055,-6.33178,2.47954,0.10334,67.05668,-8.628538,-1.856277,0.528074,,,,,,,,,,,,3.03784,1.3139,-1.24172,50,6.07819,1.5478,-104.86821,-0.10334,3.41382,16.21651,-30.69754,COW_BLA,RID_RAP,DavidStory,WCL,WCL,20220722-DavidStory-1,130c0d80-0a28-11ed-8d9e-55678aa49e4b,71.37721,,,5.07383,,,,,,,55b5e2c4-51bf-4310-850f-63c419cf21bb,2022-07-23,01:37:54.58,2022-07-22T18:37:54.5849338-07:00,2022-07-23T01:37:54.5849338Z,,v3,,,,"Parker, Aaron",1000074756,Right,COW_BLA,af836697-1686-4aad-b0cb-9a77908345b8,54.94001,-105.62935,8.10825,6.04923,1.33749,-15.34877,-1.31061,1.38757,1.70691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-07-22,18:38:05.50,1,2,"Herrada, Raul",1000132813,Right,COW_BLA,"Sharp, Jacob",1000059988,Right,RID_RAP,Undefined,1,Top,0,0,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.7841,-2.549283,-2.292668,1914.328066,228.589173,1:30,6.18671,1.32707,5.697,-28.92954,13.20721,13.44532,1.39681,0.30988,75.15083,-7.900365,0.112994,0.467199,,,,,,,,,,,,-7.51138,7.82918,-1.14322,50,5.95442,4.22585,-118.61662,-6.19273,-10.70669,22.58839,-21.01441,COW_BLA,RID_RAP,DavidStory,WCL,WCL,20220722-DavidStory-1,19826920-0a28-11ed-8d9e-55678aa49e4b,80.67747,,,6.63328,,,,,,,55b5e2c4-51bf-4310-850f-63c419cf21bb,2022-07-23,01:38:05.50,2022-07-22T18:38:05.5005178-07:00,2022-07-23T01:38:05.5005178Z,,v3,,,,"Parker, Aaron",1000074756,Right,COW_BLA,4d153194-4912-4fc1-8101-af32914c73d9,54.80223,-119.52762,11.2942,6.18708,-5.34521,-10.50721,-1.32235,4.65766,-5.35335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-07-22,18:38:21.04,1,3,"Herrada, Raul",1000132813,Right,COW_BLA,"Sharp, Jacob",1000059988,Right,RID_RAP,Undefined,1,Top,0,1,1,Fastball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,68.93111,-0.660585,-0.97271,2128.109859,83.093439,8:45,6.16066,1.20902,5.67747,-58.03944,0.45272,-9.25894,0.70812,-0.46943,64.80965,-11.17028,-2.633239,0.550453,85.26482,13.036628,-9.358613,908.438279,108.50827,16.16416,-18.05107,220.42792,218.68282,-10.321819,2.318706,4.55051,0.74547,-1.12084,50,6.06756,1.99438,-100.29468,-2.7938,4.68966,14.43138,-31.40579,COW_BLA,RID_RAP,DavidStory,WCL,WCL,20220722-DavidStory-1,22d4bb90-0a28-11ed-8d9e-55678aa49e4b,68.47531,16.32245,,4.12147,,,,2.45284,0.92789,0.42535,55b5e2c4-51bf-4310-850f-63c419cf21bb,2022-07-23,01:38:21.04,2022-07-22T18:38:21.0468346-07:00,2022-07-23T01:38:21.0468346Z,LineDrive,v3,,,,"Parker, Aaron",1000074756,Right,COW_BLA,bbd16789-cf50-48e2-9bda-d8572a086874,54.82549,-100.98663,7.21569,6.16541,-1.28796,-15.7029,-1.21107,1.76952,2.34483,169.809496,2.45284,120.21007,-16.95469,3.15535,-0.6228,0.11765,-0.02079,0.00278,-0.00019,0.92789,28.2091,-13.62801,0.7674,-0.14415,0.03109,-0.00472,0.00062,-5E-05,0.42535,-19.81145,1.63672,-0.32406,0.06424,-0.01279,0.00221,-0.00029,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2022-07-22,18:38:55.27,1,4,"Herrada, Raul",1000132813,Right,COW_BLA,"Sharp, Jacob",1000059988,Right,RID_RAP,Undefined,1,Top,0,1,2,Fastball,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,81.44025,-1.147847,-3.395776,1945.566285,223.043961,1:30,6.28414,1.51428,5.75529,-27.63364,14.18174,12.1704,2.91083,-0.63623,75.63818,-6.260356,-1.221068,0.465414,43.03059,-40.104216,40.995094,,,,,6.46789,6.40895,27.69174,0.07538,-7.06748,7.86477,-1.24017,50,6.17178,6.56188,-118.28628,-3.2288,-10.16819,19.29033,-20.85882,COW_BLA,RID_RAP,DavidStory,WCL,WCL,20220722-DavidStory-1,37301120-0a28-11ed-8d9e-55678aa49e4b,80.98691,3.10167,,5.80207,,,,2.9474,3.10167,0.58982,55b5e2c4-51bf-4310-850f-63c419cf21bb,2022-07-23,01:38:55.27,2022-07-22T18:38:55.2753658-07:00,2022-07-23T01:38:55.2753658Z,GroundBall,v3,,,,"Parker, Aaron",1000074756,Right,COW_BLA,45be6ef4-69cc-4110-ad84-2bc4beb1365c,54.74595,-119.05774,9.64516,6.28423,-2.39461,-10.42941,-1.51073,6.96853,-5.08409,180,2.94206,36.87522,,,,,,,,3.10764,-41.14714,,,,,,,,0.58517,32.04959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2022-07-22,18:39:28.81,2,1,"Herrada, Raul",1000132813,Right,COW_BLA,"Prokes, Trent",1000131676,Left,RID_RAP,Undefined,1,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,FlyBall,Sacrifice,1,0,,78.51985,-1.68961,-1.976709,1876.838798,218.030348,1:15,6.32238,1.34591,6.10826,-29.86509,14.77398,10.51784,2.26985,0.3938,72.59912,-7.255371,-0.080628,0.480871,71.89075,42.735379,9.746538,,108.6973,80.56701,16.87888,176.46769,121.48028,8.44301,4.843306,-5.99788,8.48103,-1.19978,50,6.17674,3.57317,-114.11166,-4.20271,-7.9639,19.62226,-20.91306,COW_BLA,RID_RAP,DavidStory,WCL,WCL,20220722-DavidStory-1,4b2ca4e0-0a28-11ed-8d9e-55678aa49e4b,78.38362,81.16676,,5.92073,,,,3.1516,2.50974,-0.39676,55b5e2c4-51bf-4310-850f-63c419cf21bb,2022-07-23,01:39:28.81,2022-07-22T18:39:28.8149498-07:00,2022-07-23T01:39:28.8149498Z,FlyBall,v3,,,,"Parker, Aaron",1000074756,Right,COW_BLA,df0b63e7-05d3-4b48-b81a-e4f6068d0526,54.39194,-114.8644,9.81113,6.32257,-3.40045,-10.45653,-1.34271,3.87868,-3.98195,178.93329,3.15249,76.31244,-18.83991,4.40773,-0.9528,0.20917,-0.04114,0.00524,-0.00029,2.51074,71.52241,-18.30966,0.99672,0.14458,-0.1628,0.04994,-0.00696,0.00037,-0.39659,13.10793,-3.52066,0.81959,-0.17646,0.03872,-0.00765,0.00098,-5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2022-07-22,18:40:06.95,3,1,"Herrada, Raul",1000132813,Right,COW_BLA,"Welker, Travis",1000120294,Right,RID_RAP,Undefined,1,Top,1,0,0,Fastball,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,69.69114,-0.975949,-2.222688,1681.951583,225.689591,1:30,6.13114,1.30996,5.94389,-43.67203,13.05477,11.73552,1.58577,0.22518,65.04179,-9.01036,-0.112688,0.542083,91.54824,28.169784,18.40994,2227.797506,103.48469,54.7379,37.29325,327.86569,324.08862,24.571786,4.934479,-6.62024,7.42426,-1.13972,50,6.02841,3.56352,-101.31436,-2.88311,-6.96845,14.58278,-24.35929,COW_BLA,RID_RAP,DavidStory,WCL,WCL,20220722-DavidStory-1,61ee2500-0a28-11ed-8d9e-55678aa49e4b,69.53262,75.17671,,4.64935,,,,2.4541,1.77234,-0.21426,55b5e2c4-51bf-4310-850f-63c419cf21bb,2022-07-23,01:40:06.95,2022-07-22T18:40:06.9540346-07:00,2022-07-23T01:40:06.9540346Z,FlyBall,v3,,,,"Parker, Aaron",1000074756,Right,COW_BLA,4da15fe9-3d7c-40d5-95e5-4d6412511766,54.55644,-101.96809,7.29139,6.13318,-1.79112,-12.17965,-1.30647,3.8759,-3.48423,195.407457,2.45428,112.30714,-24.11451,5.79618,-1.29513,0.27513,-0.04877,0.0056,-0.00028,1.77365,63.35593,-14.07003,-0.22595,0.42311,-0.19132,0.04819,-0.00622,0.00032,-0.21444,37.38669,-3.78574,0.69165,-0.1405,0.03798,-0.00914,0.00126,-7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2022-07-22,18:41:03.42,4,1,"Herrada, Raul",1000132813,Right,COW_BLA,"Villaruz-Mauai, Safea",1000101808,Left,RID_RAP,Undefined,1,Top,2,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,86.54642,-3.346763,-1.763779,2131.701934,212.966962,1:00,5.99398,1.9842,5.64416,-22.91816,13.98658,8.47162,0.95723,1.04439,81.19605,-7.549781,-0.249476,0.437233,,,,,,,,,,,,-4.7387,8.13004,-1.84023,50,5.69471,3.53698,-125.76599,-8.12479,-7.77259,19.7415,-18.83886,COW_BLA,RID_RAP,DavidStory,WCL,WCL,20220722-DavidStory-1,83887080-0a28-11ed-8d9e-55678aa49e4b,86.20683,,,5.35038,,,,,,,55b5e2c4-51bf-4310-850f-63c419cf21bb,2022-07-23,01:41:03.42,2022-07-22T18:41:03.4246650-07:00,2022-07-23T01:41:03.4246650Z,,v3,,,,"Parker, Aaron",1000074756,Right,COW_BLA,8a1eb279-3ccd-4920-8c38-176f9ded6a57,54.85817,-126.52628,9.87075,5.99365,-7.39927,-9.41943,-1.98221,3.83632,-3.88629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-07-22,18:43:26.59,1,1,"Weeldryer, Nate",1000047570,Right,RID_RAP,"Smith, Austin",1000110126,Left,COW_BLA,Undefined,1,Bottom,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.77557,-1.41211,-1.840853,2186.526976,238.922314,2:00,5.83965,2.00093,6.00495,-25.34163,10.2691,15.00595,2.41858,1.54527,80.59931,-6.161015,0.859326,0.429499,,,,,,,,,,,,-8.21587,6.08032,-1.86407,50,5.71489,3.50083,-128.79947,-3.99762,-13.6734,29.06741,-22.05479,COW_BLA,RID_RAP,DavidStory,WCL,WCL,20220722-DavidStory-1,d8de4b90-0a28-11ed-8d9e-55678aa49e4b,87.75914,,,8.17625,,,,,,,55b5e2c4-51bf-4310-850f-63c419cf21bb,2022-07-23,01:43:26.59,2022-07-22T18:43:26.5902586-07:00,2022-07-23T01:43:26.5902586Z,,v3,,,,"Lovings, Isaac",1000127158,Right,RID_RAP,5aa79ced-0ade-4efd-bc3d-93191eb67fc3,54.49165,-129.80918,14.5337,5.84045,-3.2315,-11.0274,-1.99392,3.9758,-6.8367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-07-22,18:43:43.05,1,2,"Weeldryer, Nate",1000047570,Right,RID_RAP,"Smith, Austin",1000110126,Left,COW_BLA,Undefined,1,Bottom,0,1,0,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.79638,-0.168186,-1.088061,1710.811595,247.658323,2:15,5.48976,2.18007,5.70244,-34.98573,6.99953,13.08245,2.41754,2.25632,74.19314,-6.683632,1.253735,0.466358,,,,,,,,,,,,-6.91996,4.13256,-2.09659,50,5.45461,1.72123,-119.92071,-1.51125,-9.83784,28.32149,-26.29895,COW_BLA,RID_RAP,DavidStory,WCL,WCL,20220722-DavidStory-1,e2a9ecb0-0a28-11ed-8d9e-55678aa49e4b,80.8229,,,8.60324,,,,,,,55b5e2c4-51bf-4310-850f-63c419cf21bb,2022-07-23,01:43:43.05,2022-07-22T18:43:43.0512122-07:00,2022-07-23T01:43:43.0512122Z,,v3,,,,"Lovings, Isaac",1000127158,Right,RID_RAP,e61652ef-80e2-4a37-a665-de60b6610271,54.79023,-121.04672,14.16075,5.49391,-0.46565,-13.14947,-2.1728,2.11237,-4.91892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-07-22,18:43:58.84,1,3,"Weeldryer, Nate",1000047570,Right,RID_RAP,"Smith, Austin",1000110126,Left,COW_BLA,Undefined,1,Bottom,0,1,1,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,88.71591,-2.221568,-3.198193,2228.583855,236.056839,1:45,5.99334,1.8193,6.16373,-23.37686,11.55316,15.63595,1.9889,0.16494,81.89631,-6.587302,-0.380118,0.425374,,,,,,,,,,,,-8.99217,6.86611,-1.58486,50,5.81249,6.59039,-128.82254,-5.73481,-15.23322,24.73083,-20.5425,COW_BLA,RID_RAP,DavidStory,WCL,WCL,20220722-DavidStory-1,ec1370a0-0a28-11ed-8d9e-55678aa49e4b,88.61017,,,6.8196,,,,,,,55b5e2c4-51bf-4310-850f-63c419cf21bb,2022-07-23,01:43:58.84,2022-07-22T18:43:58.8420090-07:00,2022-07-23T01:43:58.8420090Z,,v3,,,,"Lovings, Isaac",1000127158,Right,RID_RAP,975ff7b2-3cd6-4135-992b-f6c4baec0a89,54.3377,-129.6526,12.36541,5.9934,-5.04533,-10.27125,-1.81464,7.10167,-7.61661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
