PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-07-27,16:02:54.01,1,1,"Van Every, Cole",1000133776,Right,KEL_FAL,"Paganelli, Adam",1000134386,Right,PTA_LEF,Undefined,1,Top,0,0,0,Slider,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.88881,-0.045277,-2.768171,1670.495089,243.652215,2:00,5.39433,1.95459,5.55066,-32.68297,9.09886,15.3415,2.62839,0.64427,74.86206,-6.112321,-0.034071,0.465227,,,,,,,,,,,,-8.54977,5.06862,-1.72498,50,5.36922,5.15419,-120.05818,-1.18697,-12.31388,26.11291,-24.87392,KEL_FAL,PTA_LEF,ElksStadium,WCL,WCL,20220727-ElksStadium-1,3f81e660-0e00-11ed-a7bb-ab36736117ff,81.01943,,,8.02675,,,,,,,c73f68be-a10e-4bd5-a4ea-b1fdfb49f4ec,2022-07-27,23:02:54.01,2022-07-27T16:02:54.0100422-07:00,2022-07-27T23:02:54.0100422Z,,v3,,,,"Button, Nico",1000074765,Right,KEL_FAL,ce55c640-b746-4a43-8dd7-2a7775bf02f9,54.94655,-121.12929,13.05645,5.39698,-0.16668,-12.43696,-1.94676,5.65928,-6.15694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-07-27,16:03:07.44,1,2,"Van Every, Cole",1000133776,Right,KEL_FAL,"Paganelli, Adam",1000134386,Right,PTA_LEF,Undefined,1,Top,0,0,1,ChangeUp,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,80.33109,0.159369,-2.18704,1762.788982,191.425933,12:30,5.39726,1.91273,5.29247,-41.54782,2.72693,0.27323,2.08469,-0.11907,73.80235,-7.411246,-2.138549,0.478905,,,,,,,,,,,,-0.74284,1.70949,-1.71375,50,5.3813,4.44047,-116.5627,-1.12094,-1.02247,21.81763,-29.82103,KEL_FAL,PTA_LEF,ElksStadium,WCL,WCL,20220727-ElksStadium-1,477fcc60-0e00-11ed-a7bb-ab36736117ff,78.70543,,,6.52873,,,,,,,c73f68be-a10e-4bd5-a4ea-b1fdfb49f4ec,2022-07-27,23:03:07.44,2022-07-27T16:03:07.4404678-07:00,2022-07-27T23:03:07.4404678Z,,v3,,,,"Button, Nico",1000074765,Right,KEL_FAL,86009479-7a36-416e-a5a8-f1f8297c7a09,55.2087,-117.5336,10.90882,5.40165,0.20611,-14.91052,-1.91236,4.48596,-0.51124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-07-27,16:03:26.13,1,3,"Van Every, Cole",1000133776,Right,KEL_FAL,"Paganelli, Adam",1000134386,Right,PTA_LEF,Undefined,1,Top,0,0,2,Slider,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,77.1448,1.148272,-2.9435,1945.534234,166.552276,11:30,5.07992,2.04235,5.11631,-45.65329,3.52614,-0.41996,2.35879,-0.76801,69.72984,-7.193404,-3.017657,0.504735,75.16502,40.359304,29.570001,,91.28279,70.22837,61.37937,226.2677,223.82318,38.597787,4.403457,-0.74488,1.87288,-1.76475,50,5.15285,5.75568,-111.60809,0.68727,-0.92478,23.03646,-29.84889,KEL_FAL,PTA_LEF,ElksStadium,WCL,WCL,20220727-ElksStadium-1,52aa8850-0e00-11ed-a7bb-ab36736117ff,74.67774,72.8451,,7.41496,,,,0.77036,2.30793,0.80687,c73f68be-a10e-4bd5-a4ea-b1fdfb49f4ec,2022-07-27,23:03:26.13,2022-07-27T16:03:26.1318470-07:00,2022-07-27T23:03:26.1318470Z,FlyBall,v3,,,,"Button, Nico",1000074765,Right,KEL_FAL,3166b32b-e313-4e1e-a807-510fe2c5ea23,55.38225,-112.71354,11.51823,5.08551,2.11962,-14.92445,-2.04201,5.80006,-0.46239,203.27577,0.76979,73.07838,-16.28674,4.09309,-1.03155,0.27531,-0.06108,0.00822,-0.00047,2.30898,71.36364,-20.69028,1.62556,-0.09043,-0.07989,0.03041,-0.00448,0.00024,0.8066,41.46226,-4.45877,1.05922,-0.28005,0.08468,-0.02066,0.0029,-0.00017,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2022-07-27,16:03:57.01,2,1,"Van Every, Cole",1000133776,Right,KEL_FAL,"Choi, B.Y.",1000132741,Left,PTA_LEF,Undefined,1,Top,1,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.095,-1.034236,-4.560189,1716.504838,265.15357,2:45,5.36954,2.09535,5.54503,-37.48597,3.07122,19.60316,1.27597,-0.54187,76.45498,-7.913358,-1.072742,0.458359,,,,,,,,,,,,-11.23886,2.30398,-1.71267,50,5.25501,8.87465,-121.66264,-3.52302,-16.69969,25.79449,-28.75062,KEL_FAL,PTA_LEF,ElksStadium,WCL,WCL,20220727-ElksStadium-1,65104f70-0e00-11ed-a7bb-ab36736117ff,82.23352,,,7.64002,,,,,,,c73f68be-a10e-4bd5-a4ea-b1fdfb49f4ec,2022-07-27,23:03:57.01,2022-07-27T16:03:57.0143046-07:00,2022-07-27T23:03:57.0143046Z,,v3,,,,"Button, Nico",1000074765,Right,KEL_FAL,6f8a5ee6-a62a-439a-af17-f0040cfbb5f8,54.95539,-122.70877,12.89724,5.37425,-2.357,-14.37531,-2.08632,9.55192,-8.34985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-07-27,16:04:07.30,2,2,"Van Every, Cole",1000133776,Right,KEL_FAL,"Choi, B.Y.",1000132741,Left,PTA_LEF,Undefined,1,Top,1,1,0,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.44021,-0.112718,-3.884795,1696.853916,284.046139,3:30,5.22823,2.14354,5.59384,-44.19502,-3.50669,20.35383,1.43983,0.20683,75.70549,-8.231596,-0.253979,0.459099,,,,,,,,,,,,-11.50304,-1.15673,-1.82268,50,5.19066,7.39939,-122.10071,-1.85439,-16.93939,29.53954,-33.87748,KEL_FAL,PTA_LEF,ElksStadium,WCL,WCL,20220727-ElksStadium-1,6b36b650-0e00-11ed-a7bb-ab36736117ff,82.10092,,,8.73472,,,,,,,c73f68be-a10e-4bd5-a4ea-b1fdfb49f4ec,2022-07-27,23:04:07.30,2022-07-27T16:04:07.3055046-07:00,2022-07-27T23:04:07.3055046Z,,v3,,,,"Button, Nico",1000074765,Right,KEL_FAL,411eb5f4-6d3f-4611-8b20-1091fb61ad00,54.90415,-123.28145,14.76977,5.23772,-0.50026,-16.93874,-2.13198,8.07648,-8.4697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-07-27,16:04:19.67,2,3,"Van Every, Cole",1000133776,Right,KEL_FAL,"Choi, B.Y.",1000132741,Left,PTA_LEF,Undefined,1,Top,1,1,1,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,86.01043,0.030582,-3.385133,1653.608639,282.981696,3:30,5.30863,2.07924,5.59297,-41.58526,-2.63815,17.6945,1.8718,0.3893,77.50088,-7.607203,-0.227996,0.449168,,,,,,,,,,,,-10.15071,-0.99158,-1.8006,50,5.28407,6.62167,-124.55018,-1.43807,-15.63282,29.58317,-33.70117,KEL_FAL,PTA_LEF,ElksStadium,WCL,WCL,20220727-ElksStadium-1,72957620-0e00-11ed-a7bb-ab36736117ff,83.91613,,,8.50955,,,,,,,c73f68be-a10e-4bd5-a4ea-b1fdfb49f4ec,2022-07-27,23:04:19.67,2022-07-27T16:04:19.6708678-07:00,2022-07-27T23:04:19.6708678Z,,v3,,,,"Button, Nico",1000074765,Right,KEL_FAL,70700d20-6a63-4f20-9d02-ab8ac092b762,54.90832,-125.71059,14.79159,5.31455,-0.11612,-16.85058,-2.07237,7.23488,-7.81641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-07-27,16:04:40.35,2,4,"Van Every, Cole",1000133776,Right,KEL_FAL,"Choi, B.Y.",1000132741,Left,PTA_LEF,Undefined,1,Top,1,1,2,ChangeUp,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,78.15455,1.343279,-0.290959,1089.252483,248.330793,2:15,5.12447,2.16052,5.23695,-42.0466,5.61941,9.76378,2.88344,2.70068,70.42016,-6.393425,1.440756,0.496908,,,,,,,,,,,,-4.89992,2.93803,-2.14105,50,5.21752,0.16511,-113.17018,1.22476,-6.2497,23.8352,-28.42665,KEL_FAL,PTA_LEF,ElksStadium,WCL,WCL,20220727-ElksStadium-1,7ee4dbf0-0e00-11ed-a7bb-ab36736117ff,75.85398,,,7.73439,,,,,,,c73f68be-a10e-4bd5-a4ea-b1fdfb49f4ec,2022-07-27,23:04:40.35,2022-07-27T16:04:40.3519814-07:00,2022-07-27T23:04:40.3519814Z,,v3,,,,"Button, Nico",1000074765,Right,KEL_FAL,bf028b5e-16db-4a91-bd61-0c0383e69caf,55.25838,-114.27231,11.9176,5.13049,2.53919,-14.21332,-2.15537,0.45409,-3.12485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-07-27,16:04:53.62,2,5,"Van Every, Cole",1000133776,Right,KEL_FAL,"Choi, B.Y.",1000132741,Left,PTA_LEF,Undefined,1,Top,1,2,2,Slider,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.33459,-1.527256,-5.497161,1118.196409,284.915528,3:30,5.10428,2.22763,5.20961,-49.75152,-0.77685,9.49839,-0.48492,-2.16639,70.49741,-10.517612,-3.820683,0.503683,,,,,,,,,,,,-6.56638,0.49831,-1.72536,50,4.92459,10.37314,-111.59926,-4.67222,-8.16205,22.7778,-31.55465,KEL_FAL,PTA_LEF,ElksStadium,WCL,WCL,20220727-ElksStadium-1,86d135c0-0e00-11ed-a7bb-ab36736117ff,74.83368,,,6.83718,,,,,,,c73f68be-a10e-4bd5-a4ea-b1fdfb49f4ec,2022-07-27,23:04:53.62,2022-07-27T16:04:53.6266566-07:00,2022-07-27T23:04:53.6266566Z,,v3,,,,"Button, Nico",1000074765,Right,KEL_FAL,755384bd-b0d3-4118-9db2-ac37b6ba3a49,55.29208,-112.67422,11.3889,5.10995,-3.18306,-15.77733,-2.22399,10.75833,-4.08102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-07-27,16:05:09.23,2,6,"Van Every, Cole",1000133776,Right,KEL_FAL,"Choi, B.Y.",1000132741,Left,PTA_LEF,Undefined,1,Top,1,3,2,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,84.81918,-0.393351,-4.076373,1807.726114,274.623913,3:15,5.26437,2.21513,5.56645,-40.39794,0.04185,19.25399,1.52947,0.00508,75.88648,-7.836186,-0.646225,0.457695,,,,,,,,,,,,-11.22438,0.57736,-1.87619,50,5.20391,7.92601,-122.61333,-2.27623,-16.63248,30.258,-31.31853,KEL_FAL,PTA_LEF,ElksStadium,WCL,WCL,20220727-ElksStadium-1,9012bf50-0e00-11ed-a7bb-ab36736117ff,82.35278,,,8.93269,,,,,,,c73f68be-a10e-4bd5-a4ea-b1fdfb49f4ec,2022-07-27,23:05:09.23,2022-07-27T16:05:09.2316998-07:00,2022-07-27T23:05:09.2316998Z,,v3,,,,"Button, Nico",1000074765,Right,KEL_FAL,7ebddf17-481f-4ae8-8cb4-c3e729c1932f,54.93329,-123.82476,15.129,5.26995,-1.02234,-15.65927,-2.20685,8.59192,-8.31624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-07-27,16:05:27.29,2,7,"Van Every, Cole",1000133776,Right,KEL_FAL,"Choi, B.Y.",1000132741,Left,PTA_LEF,Undefined,1,Top,1,3,2,Fastball,Slider,BallCalled,Walk,Undefined,Undefined,0,0,,82.35341,1.607122,-1.213271,1919.129301,167.709616,11:30,5.40568,2.04866,5.18881,-36.41364,6.38693,-1.06697,3.8839,0.81815,74.42236,-5.091757,-1.402165,0.470865,,,,,,,,,,,,0.15055,3.15878,-1.93518,50,5.52788,2.57295,-119.27288,2.04644,0.21453,25.25399,-27.67288,KEL_FAL,PTA_LEF,ElksStadium,WCL,WCL,20220727-ElksStadium-1,9ad320b0-0e00-11ed-a7bb-ab36736117ff,80.0494,,,7.93105,,,,,,,c73f68be-a10e-4bd5-a4ea-b1fdfb49f4ec,2022-07-27,23:05:27.29,2022-07-27T16:05:27.2904518-07:00,2022-07-27T23:05:27.2904518Z,,v3,,,,"Button, Nico",1000074765,Right,KEL_FAL,0581149a-3b11-4a52-9d27-09cf7bf41d6a,55.30738,-120.39138,12.627,5.41011,3.27208,-13.83644,-2.04892,2.56345,0.10727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
