PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-07-27,18:32:40.26,1,1,"Schuerman, Jeter",1000131666,Right,RID_RAP,"Jackson, Elijah",1000131969,Right,BEN_ELK,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.26107,-2.572175,-1.862469,2011.850991,196.387483,12:30,5.84677,0.78669,5.92835,-17.03229,17.66698,4.83087,2.03797,-0.53942,81.64116,-5.824353,-0.995198,0.423967,,,,,,,,,,,,-3.08169,10.25012,-0.64064,50,5.63158,4.05061,-130.8173,-6.37677,-5.2714,30.91419,-14.64057,RID_RAP,BEN_ELK,RidgefieldComplex,WCL,WCL,20220727-RidgefieldComplex-3,2b2e4c70-0e15-11ed-aa56-b7104abe10e2,88.90426,,,8.61991,,,,,,,6a0e9922-ab00-44ed-93df-cd29e42ca26e,2022-07-28,01:32:40.26,2022-07-27T18:32:40.2666824-07:00,2022-07-28T01:32:40.2666824Z,,v3,,,,"Lovings, Isaac",1000127158,Right,RID_RAP,0d493765-8212-443b-b704-cf3269972fcb,54.56932,-131.89268,15.45709,5.84454,-5.86749,-7.32029,-0.78473,4.23398,-2.6357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-07-27,18:32:56.84,1,2,"Schuerman, Jeter",1000131666,Right,RID_RAP,"Jackson, Elijah",1000131969,Right,BEN_ELK,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.26105,-2.922811,-2.60849,2340.39435,205.454537,12:45,5.88931,0.87851,5.99949,-15.32674,18.62718,8.27725,1.89864,-0.85042,82.37033,-5.873093,-1.121679,0.419388,,,,,,,,,,,,-5.09437,10.87119,-0.67774,50,5.65068,5.66617,-132.14848,-7.17656,-8.88084,31.8859,-13.22271,RID_RAP,BEN_ELK,RidgefieldComplex,WCL,WCL,20220727-RidgefieldComplex-3,35025200-0e15-11ed-aa56-b7104abe10e2,89.8748,,,8.89072,,,,,,,6a0e9922-ab00-44ed-93df-cd29e42ca26e,2022-07-28,01:32:56.84,2022-07-27T18:32:56.8403272-07:00,2022-07-28T01:32:56.8403272Z,,v3,,,,"Lovings, Isaac",1000127158,Right,RID_RAP,8f5e8f1a-68f5-4e7c-b5b3-a29e713dc7e7,54.49736,-133.22922,15.94295,5.88633,-6.72839,-6.61136,-0.87489,5.96718,-4.44042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-07-27,18:33:10.07,1,3,"Schuerman, Jeter",1000131666,Right,RID_RAP,"Jackson, Elijah",1000131969,Right,BEN_ELK,Undefined,1,Top,0,0,2,Slider,Curveball,BallinDirt,Undefined,Undefined,Undefined,0,0,,78.03748,-0.610204,-1.878264,2360.460446,64.079899,8:15,5.30692,1.27598,5.74348,-54.32912,-7.41111,-18.6191,0.21103,-2.02503,71.22835,-10.509049,-5.216875,0.492994,,,,,,,,,,,,9.0343,-3.31406,-1.10765,50,5.22235,4.38399,-113.2242,-2.94107,11.48461,24.66796,-36.38697,RID_RAP,BEN_ELK,RidgefieldComplex,WCL,WCL,20220727-RidgefieldComplex-3,3cf7ac80-0e15-11ed-aa56-b7104abe10e2,76.45626,,,6.80914,,,,,,,6a0e9922-ab00-44ed-93df-cd29e42ca26e,2022-07-28,01:33:10.07,2022-07-27T18:33:10.0730696-07:00,2022-07-28T01:33:10.0730696Z,,v3,,,,"Lovings, Isaac",1000127158,Right,RID_RAP,3a40352a-e293-4915-a24f-92272806f03a,54.75864,-114.25625,12.33398,5.31355,-1.41872,-18.19348,-1.28101,3.9035,5.7423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-07-27,18:33:30.62,1,4,"Schuerman, Jeter",1000131666,Right,RID_RAP,"Jackson, Elijah",1000131969,Right,BEN_ELK,Undefined,1,Top,0,1,2,Slider,Curveball,BallinDirt,Undefined,Undefined,Undefined,0,0,,78.27262,-0.87631,-1.967642,2363.951974,49.791979,7:45,5.4001,1.3511,6.05617,-56.79204,-11.18721,-14.93261,-0.14424,-1.71527,72.30053,-11.226753,-4.664245,0.486045,,,,,,,,,,,,7.28142,-5.38591,-1.18968,50,5.30061,4.41251,-113.75232,-3.47407,9.44359,22.84761,-39.15923,RID_RAP,BEN_ELK,RidgefieldComplex,WCL,WCL,20220727-RidgefieldComplex-3,492ab0b0-0e15-11ed-aa56-b7104abe10e2,77.5492,,,5.9721,,,,,,,6a0e9922-ab00-44ed-93df-cd29e42ca26e,2022-07-28,01:33:30.62,2022-07-27T18:33:30.6234184-07:00,2022-07-28T01:33:30.6234184Z,,v3,,,,"Lovings, Isaac",1000127158,Right,RID_RAP,cbaea3de-0396-4328-b469-f84684d147dd,54.44786,-114.64221,11.42381,5.40622,-1.94886,-19.57961,-1.35437,4.0447,4.72179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-07-27,18:33:52.13,1,5,"Schuerman, Jeter",1000131666,Right,RID_RAP,"Jackson, Elijah",1000131969,Right,BEN_ELK,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,91.65679,-1.147666,-2.686529,2256.863689,197.563015,12:30,5.75197,0.92054,6.48695,-15.09898,17.82926,5.27477,3.43876,-1.10818,82.73686,-4.085735,-1.730788,0.413005,,,,,,,,,,,,-3.60756,10.03107,-0.73406,50,5.66448,6.02551,-132.97479,-3.03913,-6.37384,32.03861,-14.45112,RID_RAP,BEN_ELK,RidgefieldComplex,WCL,WCL,20220727-RidgefieldComplex-3,55f5fd40-0e15-11ed-aa56-b7104abe10e2,91.26378,,,8.91993,,,,,,,6a0e9922-ab00-44ed-93df-cd29e42ca26e,2022-07-28,01:33:52.13,2022-07-27T18:33:52.1340744-07:00,2022-07-28T01:33:52.1340744Z,,v3,,,,"Lovings, Isaac",1000127158,Right,RID_RAP,5a8d4658-3194-44d6-aee2-c590cf54e6c7,54.00956,-133.93736,16.0193,5.74927,-2.60496,-7.22556,-0.91797,6.217,-3.18692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-07-27,18:34:09.90,1,6,"Schuerman, Jeter",1000131666,Right,RID_RAP,"Jackson, Elijah",1000131969,Right,BEN_ELK,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,92.36997,-2.518565,-2.009846,2311.857517,206.927547,1:00,5.7841,0.75292,6.30241,-14.97237,17.78056,8.423,2.2131,-0.39763,83.2636,-5.420083,-0.487168,0.411904,72.44319,50.872262,79.975689,6087.465757,,,,,74.8439,,,-5.0363,10.4113,-0.60928,50,5.59184,4.34794,-133.91072,-6.2843,-8.99924,33.21622,-13.57038,RID_RAP,BEN_ELK,RidgefieldComplex,WCL,WCL,20220727-RidgefieldComplex-3,608f9cc0-0e15-11ed-aa56-b7104abe10e2,91.50772,68.76519,,9.10637,,,,1.20906,2.07127,0.57651,6a0e9922-ab00-44ed-93df-cd29e42ca26e,2022-07-28,01:34:09.90,2022-07-27T18:34:09.9025736-07:00,2022-07-28T01:34:09.9025736Z,,v3,,,,"Lovings, Isaac",1000127158,Right,RID_RAP,880bd9fb-0ecd-448c-9390-7dd27d5adda6,54.19442,-134.94713,16.60811,5.78131,-5.86089,-6.78519,-0.74932,4.62874,-4.49962,,1.20906,11.67096,-9.20962,2.3911,-0.57373,0.101,-0.01089,-0.00138,0.00071,2.07127,82.42234,-25.84187,3.07361,-0.63329,0.10073,-0.00778,-0.00195,0.00073,0.57651,66.02553,-4.1829,-0.56047,0.31881,-0.12368,0.0345,-0.00963,0.00138,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
7,2022-07-27,18:34:33.11,1,7,"Schuerman, Jeter",1000131666,Right,RID_RAP,"Jackson, Elijah",1000131969,Right,BEN_ELK,Undefined,1,Top,0,2,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,77.79173,0.757779,-1.274647,2489.20093,45.568471,7:30,5.45528,1.0654,5.59216,-62.03011,-15.06182,-16.88725,0.99387,-1.53222,71.59822,-10.485678,-4.29722,0.493258,,,,,,,,,,,,8.30268,-7.66296,-0.94435,50,5.47892,3.13439,-113.02449,-0.564,10.63279,22.5194,-41.98756,RID_RAP,BEN_ELK,RidgefieldComplex,WCL,WCL,20220727-RidgefieldComplex-3,6e70ed30-0e15-11ed-aa56-b7104abe10e2,76.41531,,,6.19351,,,,,,,6a0e9922-ab00-44ed-93df-cd29e42ca26e,2022-07-28,01:34:33.11,2022-07-27T18:34:33.1150000-07:00,2022-07-28T01:34:33.1150000Z,,v3,,,,"Lovings, Isaac",1000127158,Right,RID_RAP,4b664f57-9ffc-4cf9-9ee5-6645e914140a,54.91234,-113.99904,11.2597,5.46401,1.25305,-20.99378,-1.07004,2.67424,5.31639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.47034,,,0.904517,,,,6.21087,5.49541,-3.25376,70.78251,4.11064,-53.99763,6.18904,73.4965,-2.3151,5.53892,11.10261,-13.99573,-3.37712,-66.24709,11.30371,High,High,High,,,High,Medium,Medium
8,2022-07-27,18:35:02.41,2,1,"Schuerman, Jeter",1000131666,Right,RID_RAP,"Scavatto, Evan",1000131974,Right,BEN_ELK,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,90.66013,-1.354347,-1.056096,2151.032312,216.106184,1:15,5.75732,0.91393,6.28278,-17.04784,16.6758,11.32634,3.08798,0.88433,82.25458,-4.627198,0.992044,0.417964,57.80906,28.847397,16.163318,3601.178537,102.53162,27.83306,39.8398,174.03811,164.6868,24.514558,2.811568,-6.21752,9.42083,-0.84139,50,5.64911,1.9659,-131.66827,-3.58219,-10.81698,30.2982,-15.78412,RID_RAP,BEN_ELK,RidgefieldComplex,WCL,WCL,20220727-RidgefieldComplex-3,7fdc4ec0-0e15-11ed-aa56-b7104abe10e2,90.18115,29.45843,,8.40555,,,,1.10881,3.06831,-0.88755,6a0e9922-ab00-44ed-93df-cd29e42ca26e,2022-07-28,01:35:02.41,2022-07-27T18:35:02.4187720-07:00,2022-07-28T01:35:02.4187720Z,LineDrive,v3,,,,"Lovings, Isaac",1000127158,Right,RID_RAP,d2495181-0331-4729-940f-8227cd55be89,54.21511,-132.63466,15.1491,5.75534,-3.07874,-7.89206,-0.9096,2.31092,-5.40849,234.321108,1.10884,71.3292,-8.24987,1.56236,-0.38834,0.17958,-0.09219,0.02624,-0.00282,3.06836,40.90517,-16.85558,0.86986,-0.0057,-0.13904,0.09224,-0.02476,0.00242,-0.88758,20.67584,3.07691,-0.63906,0.05812,0.02311,-0.00502,-0.00094,0.00024,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2022-07-27,18:35:30.62,3,1,"Schuerman, Jeter",1000131666,Right,RID_RAP,"Kasper, Brady",1000091717,Left,BEN_ELK,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.96453,-3.536883,-3.275784,2224.256904,199.823094,12:45,5.84232,0.73274,6.4421,-14.01276,19.64914,6.64028,1.41517,-1.72722,82.1701,-6.266969,-2.074459,0.417581,,,,,,,,,,,,-4.56303,11.81174,-0.5031,50,5.58439,7.27835,-131.69506,-8.49033,-7.89407,31.86208,-11.73958,RID_RAP,BEN_ELK,RidgefieldComplex,WCL,WCL,20220727-RidgefieldComplex-3,90a8ff50-0e15-11ed-aa56-b7104abe10e2,90.2638,,,8.79442,,,,,,,6a0e9922-ab00-44ed-93df-cd29e42ca26e,2022-07-28,01:35:30.62,2022-07-27T18:35:30.6257224-07:00,2022-07-28T01:35:30.6257224Z,,v3,,,,"Lovings, Isaac",1000127158,Right,RID_RAP,73f69795-67cd-4e19-a18b-16f62f05b9ce,54.05647,-132.67284,15.93104,5.83941,-8.13006,-5.86979,-0.73017,7.5206,-3.94704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-07-27,18:35:42.82,3,2,"Schuerman, Jeter",1000131666,Right,RID_RAP,"Kasper, Brady",1000091717,Left,BEN_ELK,Undefined,1,Top,2,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.12638,-3.729607,-1.630076,2253.983181,206.906884,1:00,5.82155,0.92877,6.30312,-15.82623,17.58249,8.34579,1.06035,0.12205,83.00942,-6.758198,-0.120466,0.416008,,,,,,,,,,,,-4.82713,10.59264,-0.813,50,5.53971,3.41942,-132.10049,-9.03994,-8.47694,29.77081,-13.57229,RID_RAP,BEN_ELK,RidgefieldComplex,WCL,WCL,20220727-RidgefieldComplex-3,97f94030-0e15-11ed-aa56-b7104abe10e2,90.60517,,,8.11696,,,,,,,6a0e9922-ab00-44ed-93df-cd29e42ca26e,2022-07-28,01:35:42.82,2022-07-27T18:35:42.8229960-07:00,2022-07-28T01:35:42.8229960Z,,v3,,,,"Lovings, Isaac",1000127158,Right,RID_RAP,3cec19cb-a9a7-4b7b-bee2-bbbe5ec5cac3,54.19476,-133.04248,14.88541,5.81895,-8.61049,-6.78615,-0.92544,3.68764,-4.23847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
