PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-08-02,18:37:23.97,1,1,"Timmer, Shay",1000126004,Right,KAM_NOR,"Edwards, Kameron",1000137212,Left,KEL_FAL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,93.12731,-2.720081,-1.92938,2199.173279,224.280793,1:30,6.47395,1.26788,7.08244,-19.00017,12.03304,10.70989,2.41833,0.40841,84.73208,-6.36947,0.037255,0.400945,,,,,,,,,,,,-6.29792,7.58603,-1.15505,50,6.30487,4.15356,-135.26678,-6.91459,-11.56783,31.88485,-18.24029,KAM_NOR,KEL_FAL,NorbrockStadium,WCL,WCL,20220802-NorbrockStadium-1,d33afc40-12cc-11ed-9a66-e3cebe6ea204,94.00899,,,8.39523,,,,,,,f38f8d3a-3c54-4892-b173-91eb77d42220,2022-08-03,01:37:23.97,2022-08-02T18:37:23.9718562-07:00,2022-08-03T01:37:23.9718562Z,,v3,,,,"Luiz, Marshal",1000055755,Right,KAM_NOR,5889275f-921d-4416-9ed6-4ac85ea9df7d,53.41516,-136.06941,15.94243,6.47315,-6.45543,-9.12014,-1.26327,4.44475,-5.78391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-08-02,18:37:41.71,1,2,"Timmer, Shay",1000126004,Right,KAM_NOR,"Edwards, Kameron",1000137212,Left,KEL_FAL,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.05324,-0.88456,-0.944188,2126.265271,229.818231,1:45,6.42475,1.38737,6.81118,-20.85537,10.33875,11.05831,3.87953,1.44731,84.90941,-4.859979,1.076251,0.401983,,,,,,,,,,,,-6.10205,6.04355,-1.32978,50,6.35983,1.79489,-135.33892,-2.68026,-11.27477,30.58503,-21.00738,KAM_NOR,KEL_FAL,NorbrockStadium,WCL,WCL,20220802-NorbrockStadium-1,dddd9c70-12cc-11ed-9a66-e3cebe6ea204,93.76625,,,8.14383,,,,,,,f38f8d3a-3c54-4892-b173-91eb77d42220,2022-08-03,01:37:41.71,2022-08-02T18:37:41.7109154-07:00,2022-08-03T01:37:41.7109154Z,,v3,,,,"Luiz, Marshal",1000055755,Right,KAM_NOR,d9f1616f-1529-4d46-a200-91973dd3b328,53.6866,-136.1695,15.29251,6.42487,-2.10977,-10.50369,-1.38268,2.10108,-5.63739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-08-02,18:37:56.62,1,3,"Timmer, Shay",1000126004,Right,KAM_NOR,"Edwards, Kameron",1000137212,Left,KEL_FAL,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.73479,-3.278727,-1.955258,2320.541831,207.385876,1:00,6.42525,1.10743,7.04993,-14.98544,16.51588,7.97626,2.19351,-0.00447,83.9692,-6.202528,-0.49229,0.403958,,,,,,,,,,,,-4.84492,10.17402,-0.99123,50,6.22159,4.28642,-134.54583,-8.03796,-8.76913,32.62704,-13.75947,KAM_NOR,KEL_FAL,NorbrockStadium,WCL,WCL,20220802-NorbrockStadium-1,e6c2ae20-12cc-11ed-9a66-e3cebe6ea204,93.30791,,,8.76559,,,,,,,f38f8d3a-3c54-4892-b173-91eb77d42220,2022-08-03,01:37:56.62,2022-08-02T18:37:56.6299810-07:00,2022-08-03T01:37:56.6299810Z,,v3,,,,"Luiz, Marshal",1000055755,Right,KAM_NOR,520ec313-4d2a-4968-86aa-01b92570e9bb,53.44602,-135.37891,16.31352,6.42234,-7.68663,-6.87973,-1.10353,4.51032,-4.38457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-08-02,18:38:14.55,1,4,"Timmer, Shay",1000126004,Right,KAM_NOR,"Edwards, Kameron",1000137212,Left,KEL_FAL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,93.57663,-4.052352,-1.914812,2376.345345,211.255451,1:00,6.4469,1.21128,7.03047,-15.55942,14.93229,8.50154,1.46007,0.17928,86.22281,-7.034824,-0.355612,0.397432,,,,,,,,,,,,-5.0478,9.34867,-1.0973,50,6.19489,4.22738,-135.87333,-10.00953,-9.48461,28.34849,-14.60824,KAM_NOR,KEL_FAL,NorbrockStadium,WCL,WCL,20220802-NorbrockStadium-1,f16fd5a0-12cc-11ed-9a66-e3cebe6ea204,94.84005,,,7.35382,,,,,,,f38f8d3a-3c54-4892-b173-91eb77d42220,2022-08-03,01:38:14.55,2022-08-02T18:38:14.5522338-07:00,2022-08-03T01:38:14.5522338Z,,v3,,,,"Luiz, Marshal",1000055755,Right,KAM_NOR,bee4e38e-c0ff-4a63-a7dd-d4d6a7539055,53.46886,-136.59516,14.17425,6.44502,-9.63757,-7.30412,-1.20802,4.46888,-4.7423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-08-02,18:38:46.39,2,1,"Timmer, Shay",1000126004,Right,KAM_NOR,"Montrezza, Michael",1000131924,Right,KEL_FAL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Double,0,0,,93.78044,-2.513902,-1.961513,2214.90034,219.052329,1:15,6.4997,1.13706,6.93253,-15.84241,14.86024,11.22705,2.88824,0.28636,85.40178,-5.577219,0.093314,0.398804,96.80303,29.163581,-15.236624,2197.641985,105.33074,57.65457,-31.70686,348.80495,338.97401,-19.360309,5.087861,-6.56662,8.9715,-1.01794,50,6.3368,4.23796,-136.24207,-6.37526,-12.26411,31.70913,-15.41845,KAM_NOR,KEL_FAL,NorbrockStadium,WCL,WCL,20220802-NorbrockStadium-1,046d21d0-12cd-11ed-9a66-e3cebe6ea204,94.51376,81.34458,,8.37866,,,,1.27787,2.87723,-0.29361,f38f8d3a-3c54-4892-b173-91eb77d42220,2022-08-03,01:38:46.39,2022-08-02T18:38:46.3906466-07:00,2022-08-03T01:38:46.3906466Z,FlyBall,v3,,,,"Luiz, Marshal",1000055755,Right,KAM_NOR,d1fca440-7442-4b29-abdf-ec01361c6800,53.56609,-137.06953,15.85456,6.49791,-5.97291,-7.70923,-1.13271,4.55799,-6.13205,162.253306,1.28085,119.56336,-23.9015,5.3367,-1.00406,0.14761,-0.01922,0.00223,-0.00013,2.8769,69.18648,-16.91047,0.75661,0.07918,-0.09244,0.0311,-0.00462,0.00025,-0.29435,-32.56981,2.33604,0.27704,-0.21715,0.06126,-0.00941,0.00067,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2022-08-02,18:39:30.07,3,1,"Timmer, Shay",1000126004,Right,KAM_NOR,"Solis, Luke",1000123085,Right,KEL_FAL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.79421,-4.134131,-0.704964,2056.946808,212.677259,1:00,6.4924,1.27922,6.81546,-17.79698,14.4552,8.58221,1.23065,1.35119,83.86862,-7.530459,0.864011,0.408743,,,,,,,,,,,,-4.72902,9.19784,-1.23634,50,6.21864,1.30541,-133.15633,-10.08333,-8.44715,29.95673,-15.74458,KAM_NOR,KEL_FAL,NorbrockStadium,WCL,WCL,20220802-NorbrockStadium-1,1e747e20-12cd-11ed-9a66-e3cebe6ea204,92.21539,,,7.92559,,,,,,,f38f8d3a-3c54-4892-b173-91eb77d42220,2022-08-03,01:39:30.07,2022-08-02T18:39:30.0731554-07:00,2022-08-03T01:39:30.0731554Z,,v3,,,,"Luiz, Marshal",1000055755,Right,KAM_NOR,5b0b1e5a-9094-4dd3-966b-f8f239ea5a14,53.68165,-133.98204,14.97837,6.49059,-9.64935,-7.87229,-1.27553,1.53825,-4.22357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-08-02,18:39:45.24,3,2,"Timmer, Shay",1000126004,Right,KAM_NOR,"Solis, Luke",1000123085,Right,KEL_FAL,Undefined,1,Top,1,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,92.38303,-3.398942,-1.276998,2083.132443,212.714017,1:00,6.38183,1.12419,7.29595,-15.96851,15.24855,9.12689,1.9742,0.7302,84.27028,-6.499026,0.406105,0.402131,79.44864,62.49677,-73.953958,5431.138101,,,,,38.80923,,,-5.31477,9.56804,-1.05447,50,6.1861,2.67095,-134.22837,-8.32228,-9.63253,30.84323,-14.83288,KAM_NOR,KEL_FAL,NorbrockStadium,WCL,WCL,20220802-NorbrockStadium-1,277c5a10-12cd-11ed-9a66-e3cebe6ea204,93.73176,63.82949,,8.11275,,,,1.25571,1.95584,-0.73135,f38f8d3a-3c54-4892-b173-91eb77d42220,2022-08-03,01:39:45.24,2022-08-02T18:39:45.2403874-07:00,2022-08-03T01:39:45.2403874Z,,v3,,,,"Luiz, Marshal",1000055755,Right,KAM_NOR,5d0eb1d4-602f-4b08-972f-8e4d23776a1a,53.20266,-134.96228,15.42161,6.37992,-7.96934,-7.41644,-1.12075,2.90015,-4.81626,,1.25572,14.8732,-8.18573,3.75138,-1.88345,4.07977,-6.79272,5.51403,-1.74654,1.95584,103.3553,-35.29926,5.39737,-1.46763,1.48832,-2.10116,1.61171,-0.49339,-0.73135,-51.71433,7.2479,-1.4009,0.34877,-0.41197,0.59487,-0.45175,0.13681,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
8,2022-08-02,18:40:08.48,3,3,"Timmer, Shay",1000126004,Right,KAM_NOR,"Solis, Luke",1000123085,Right,KEL_FAL,Undefined,1,Top,1,1,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,92.66539,-3.026374,-1.740811,2006.941542,214.339519,1:15,6.45521,1.24227,7.24495,-17.70678,13.52548,8.49985,2.23738,0.37491,84.1229,-6.45342,-0.175132,0.402229,97.70688,8.038302,13.369005,1508.657989,105.86806,4.78491,29.86539,140.51644,140.18591,16.580459,1.134805,-5.12815,8.5626,-1.14494,50,6.27721,3.78522,-134.59107,-7.53207,-9.29588,32.42182,-16.65251,KAM_NOR,KEL_FAL,NorbrockStadium,WCL,WCL,20220802-NorbrockStadium-1,355c9910-12cd-11ed-9a66-e3cebe6ea204,93.70896,7.08017,,8.54249,,,,1.26174,2.20582,-0.37413,f38f8d3a-3c54-4892-b173-91eb77d42220,2022-08-03,01:40:08.48,2022-08-02T18:40:08.4895394-07:00,2022-08-03T01:40:08.4895394Z,LineDrive,v3,,,,"Luiz, Marshal",1000055755,Right,KAM_NOR,73fa268e-5ab4-4415-948f-1c01df78f8c1,53.25299,-135.37243,16.21091,6.45389,-7.13076,-8.32625,-1.23886,4.00925,-4.64794,285.352386,1.26174,138.05,-21.20952,3.44832,-0.70216,0.1229,-0.02304,0.00395,-0.00038,2.20582,20.03881,-21.74606,2.5943,-0.55975,0.12774,-0.02597,0.00479,-0.00053,-0.37413,32.80924,4.35081,-2.15961,0.62615,-0.16506,0.03797,-0.00742,0.00082,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2022-08-02,18:41:19.48,4,1,"Timmer, Shay",1000126004,Right,KAM_NOR,"McCain, Troy",10031298,Right,KEL_FAL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,91.9779,-2.705075,-2.775722,2105.793179,208.229322,1:00,6.51567,1.37077,7.01586,-16.63859,15.30139,7.62867,2.66586,-0.51823,83.58736,-5.926908,-1.378771,0.40676,,,,,,,,,,,,-4.89099,9.30867,-1.2034,50,6.34453,6.18302,-133.4844,-6.70414,-8.75028,30.99469,-15.52032,KAM_NOR,KEL_FAL,NorbrockStadium,WCL,WCL,20220802-NorbrockStadium-1,5f9fb090-12cd-11ed-9a66-e3cebe6ea204,92.66496,,,8.39053,,,,,,,f38f8d3a-3c54-4892-b173-91eb77d42220,2022-08-03,01:41:19.48,2022-08-02T18:41:19.4813602-07:00,2022-08-03T01:41:19.4813602Z,,v3,,,,"Luiz, Marshal",1000055755,Right,KAM_NOR,dba31b48-18e3-41db-92a7-c703b300e8c4,53.48101,-134.29024,15.49734,6.51359,-6.30062,-7.76016,-1.36712,6.41052,-4.37514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-08-02,18:41:38.67,4,2,"Timmer, Shay",1000126004,Right,KAM_NOR,"McCain, Troy",10031298,Right,KEL_FAL,Undefined,1,Top,1,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.32979,-1.307516,-2.230626,2163.152482,230.225512,1:45,6.52679,1.31375,7.06744,-18.85489,12.45339,13.78209,3.76727,0.43591,84.47869,-4.930218,0.298041,0.402718,,,,,,,,,,,,-7.96745,7.33244,-1.18308,50,6.44183,4.71744,-134.28954,-3.54476,-14.54206,29.21608,-18.79097,KAM_NOR,KEL_FAL,NorbrockStadium,WCL,WCL,20220802-NorbrockStadium-1,6b133550-12cd-11ed-9a66-e3cebe6ea204,93.59513,,,7.8511,,,,,,,f38f8d3a-3c54-4892-b173-91eb77d42220,2022-08-03,01:41:38.67,2022-08-02T18:41:38.6720930-07:00,2022-08-03T01:41:38.6720930Z,,v3,,,,"Luiz, Marshal",1000055755,Right,KAM_NOR,f67f59b2-f679-4849-93b8-678ec969238b,53.43125,-135.03397,14.60804,6.52605,-3.06596,-9.39549,-1.308,5.08798,-7.27103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
