PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-08-13,18:35:25.18,1,1,"Brotherton, Duke",1000069900,Right,COR_KNI,"Tsukada, Jake",1000079918,Left,RID_RAP,Undefined,1,Top,0,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.28954,-0.760033,-2.725499,2026.91889,269.934051,3:00,5.87702,2.07589,6.02792,-42.38616,1.70287,17.0993,1.64014,0.97485,72.31526,-8.626936,0.354894,0.4779,,,,,,,,,,,,-9.67233,1.67449,-1.87152,50,5.79523,4.87557,-116.32467,-2.8781,-12.9456,26.53801,-29.93286,COR_KNI,RID_RAP,GossStadium,WCL,WCL,20220813-GossStadium-1,5f012b80-1b71-11ed-8b44-63b7f7ea0ea8,78.87103,,,7.97428,,,,,,,661f641e-cd8e-4f8f-b4ce-249f1758952d,2022-08-14,01:35:25.18,2022-08-13T18:35:25.1884162-07:00,2022-08-14T01:35:25.1884162Z,,v3,,,,"Smith, Tanner",1000074678,Right,COR_KNI,0db170bb-7cff-4fb9-964b-757d1e25df8f,54.46791,-117.33954,13.269,5.88341,-1.7334,-14.96643,-2.06744,5.37064,-6.4728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-08-13,18:35:39.56,1,2,"Brotherton, Duke",1000069900,Right,COR_KNI,"Tsukada, Jake",1000079918,Left,RID_RAP,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.86399,0.861592,-2.134217,1888.699787,256.67108,2:30,5.8068,2.10701,5.74851,-38.74041,6.78205,20.61981,3.38117,1.83751,70.8137,-6.38647,1.556943,0.485606,,,,,,,,,,,,-11.1043,3.72319,-1.9416,50,5.85573,3.45163,-115.51213,0.5068,-14.49878,28.25169,-27.3127,COR_KNI,RID_RAP,GossStadium,WCL,WCL,20220813-GossStadium-1,6795ac30-1b71-11ed-8b44-63b7f7ea0ea8,77.61932,,,9.05029,,,,,,,661f641e-cd8e-4f8f-b4ce-249f1758952d,2022-08-14,01:35:39.56,2022-08-13T18:35:39.5648130-07:00,2022-08-14T01:35:39.5648130Z,,v3,,,,"Smith, Tanner",1000074678,Right,COR_KNI,acfa8600-99a1-4e43-a51e-ccd0276aa9a3,54.74302,-116.6664,14.12584,5.81222,1.62271,-13.65635,-2.09473,4.044,-7.24939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-08-13,18:35:54.14,1,3,"Brotherton, Duke",1000069900,Right,COR_KNI,"Tsukada, Jake",1000079918,Left,RID_RAP,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,90.4559,-1.139053,-2.492435,2183.264455,223.666587,1:30,5.74935,2.43164,5.89264,-24.20808,10.30705,8.69119,2.6733,0.84032,81.93551,-5.675229,-0.933485,0.42284,85.83055,18.765259,-56.139338,4221.859847,53.49272,25.92163,-96.11698,219.02535,146.74202,-66.39715,2.526328,-5.20508,5.98248,-2.23577,50,5.64377,5.33087,-131.14801,-3.41871,-8.96959,30.47515,-21.86485,COR_KNI,RID_RAP,GossStadium,WCL,WCL,20220813-GossStadium-1,70394810-1b71-11ed-8b44-63b7f7ea0ea8,89.1411,26.07927,,8.52039,,,,0.17113,2.69644,-0.66988,661f641e-cd8e-4f8f-b4ce-249f1758952d,2022-08-14,01:35:54.14,2022-08-13T18:35:54.1457026-07:00,2022-08-14T01:35:54.1457026Z,LineDrive,v3,,,,"Smith, Tanner",1000074678,Right,COR_KNI,63a840b4-6e96-4637-91a0-2f81e6aa9c61,54.60349,-132.21341,15.23758,5.74993,-2.65433,-10.93242,-2.42761,5.64444,-4.4848,,0.17113,66.41151,-20.16366,4.66271,-1.01276,0.21751,-0.04317,0.00617,-0.00042,2.69645,40.49554,-18.708,1.09405,-0.04896,-0.03846,0.01651,-0.00293,0.0002,-0.66987,-98.97774,13.86164,-3.9882,1.04383,-0.26202,0.05784,-0.00875,0.0006,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2022-08-13,18:36:13.81,1,4,"Brotherton, Duke",1000069900,Right,COR_KNI,"Tsukada, Jake",1000079918,Left,RID_RAP,Undefined,1,Top,0,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.00354,0.389195,-1.11265,1958.124465,265.406123,2:45,5.83477,2.13239,5.83625,-40.29589,3.0211,18.13237,2.83859,2.60914,73.18561,-7.080822,2.141804,0.473697,,,,,,,,,,,,-9.54004,1.92307,-2.052,50,5.84334,1.55528,-117.49448,-0.51303,-13.10534,25.85304,-29.53231,COR_KNI,RID_RAP,GossStadium,WCL,WCL,20220813-GossStadium-1,7bfc9a80-1b71-11ed-8b44-63b7f7ea0ea8,79.57079,,,7.81793,,,,,,,661f641e-cd8e-4f8f-b4ce-249f1758952d,2022-08-14,01:36:13.81,2022-08-13T18:36:13.8113154-07:00,2022-08-14T01:36:13.8113154Z,,v3,,,,"Smith, Tanner",1000074678,Right,COR_KNI,147c96c3-de40-4e03-90a4-42c03c175793,54.65985,-118.51538,12.92652,5.84057,0.65316,-14.76616,-2.12364,2.07279,-6.55267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-08-13,18:36:29.76,1,5,"Brotherton, Duke",1000069900,Right,COR_KNI,"Tsukada, Jake",1000079918,Left,RID_RAP,Undefined,1,Top,0,2,2,Sinker,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,92.91291,-1.405228,-2.563909,2184.34142,240.200564,2:00,5.72896,2.35414,5.64736,-22.63796,10.66178,16.43296,2.53017,1.3305,83.43015,-5.651439,0.371003,0.415328,71.67103,17.901911,-159.592264,1770.50611,,,,105.3865,48.56913,-162.565197,1.087442,-9.13859,6.23154,-2.14707,50,5.59559,5.25734,-134.52914,-4.10035,-16.43152,34.32153,-20.96951,COR_KNI,RID_RAP,GossStadium,WCL,WCL,20220813-GossStadium-1,857c1770-1b71-11ed-8b44-63b7f7ea0ea8,90.75332,10.20036,,9.48276,,,,-0.14276,2.23362,-1.41472,661f641e-cd8e-4f8f-b4ce-249f1758952d,2022-08-14,01:36:29.76,2022-08-13T18:36:29.7653378-07:00,2022-08-14T01:36:29.7653378Z,LineDrive,v3,,,,"Smith, Tanner",1000074678,Right,COR_KNI,25f53270-558c-446a-9add-598e9e1614d6,54.84792,-135.76033,17.16076,5.72918,-3.34813,-10.48475,-2.34624,5.84677,-8.21576,,0.03988,-96.01075,3.08467,,,,,,,2.34206,30.97866,-30.5561,,,,,,,-1.40261,-35.03153,6.689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
6,2022-08-13,18:36:49.44,1,6,"Brotherton, Duke",1000069900,Right,COR_KNI,"Tsukada, Jake",1000079918,Left,RID_RAP,Undefined,1,Top,0,2,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.12794,1.374327,-2.567057,2228.775636,44.923563,7:30,5.75642,2.07143,5.22133,-64.20153,-11.16107,-12.97457,1.69995,-1.42488,67.56904,-10.231869,-4.866966,0.524173,,,,,,,,,,,,5.72737,-5.72162,-1.82404,50,5.8344,5.29435,-107.3956,0.46014,6.56437,21.83319,-38.73185,COR_KNI,RID_RAP,GossStadium,WCL,WCL,20220813-GossStadium-1,914620a0-1b71-11ed-8b44-63b7f7ea0ea8,71.90834,,,6.5589,,,,,,,661f641e-cd8e-4f8f-b4ce-249f1758952d,2022-08-14,01:36:49.44,2022-08-13T18:36:49.4450306-07:00,2022-08-14T01:36:49.4450306Z,,v3,,,,"Smith, Tanner",1000074678,Right,COR_KNI,ea60b70a-7ae7-4de8-9bb7-573f76150ed9,55.2805,-108.46379,10.91659,5.76553,2.35511,-19.36593,-2.07521,4.97319,3.28219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-08-13,18:37:08.48,1,7,"Brotherton, Duke",1000069900,Right,COR_KNI,"Tsukada, Jake",1000079918,Left,RID_RAP,Undefined,1,Top,0,3,2,Sinker,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,91.08544,-2.553865,-2.949772,2125.019568,238.384102,2:00,5.60837,2.29807,5.90744,-22.79576,11.6615,16.78324,1.33351,0.95627,81.71747,-6.848754,0.062027,0.422485,75.82474,15.120735,-14.173637,2143.069757,105.09305,15.96368,-32.48765,191.41787,190.86577,-19.095033,2.182694,-9.6076,7.2243,-2.07074,50,5.39021,6.05843,-131.79582,-6.63052,-16.52543,33.78127,-19.74801,COR_KNI,RID_RAP,GossStadium,WCL,WCL,20220813-GossStadium-1,9c902460-1b71-11ed-8b44-63b7f7ea0ea8,89.21597,16.08049,,9.36797,,,,1.18365,1.32132,-0.97201,661f641e-cd8e-4f8f-b4ce-249f1758952d,2022-08-14,01:37:08.48,2022-08-13T18:37:08.4874882-07:00,2022-08-14T01:37:08.4874882Z,LineDrive,v3,,,,"Smith, Tanner",1000074678,Right,COR_KNI,7a64abd3-4199-4674-baf3-814e6b0f452d,54.58868,-132.96677,16.89064,5.60818,-5.946,-9.874,-2.29067,6.63124,-8.26272,133.376859,1.18366,104.09006,-13.52413,2.32268,-0.38202,-0.00245,0.03314,-0.01189,0.00155,1.32131,29.01011,-14.92951,0.74492,-0.12915,0.07294,-0.03433,0.01034,-0.00131,-0.97202,-26.28803,-1.80913,0.73964,-0.22549,0.05567,-0.01352,0.00259,-0.00025,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2022-08-13,18:37:48.88,2,1,"Brotherton, Duke",1000069900,Right,COR_KNI,"Welker, Travis",1000120294,Right,RID_RAP,Undefined,1,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,Bunt,Sacrifice,1,0,,88.58613,-1.484492,-2.592425,2000.589768,222.638283,1:30,5.75597,2.28597,5.91143,-23.30671,12.27568,10.26855,2.43422,0.73394,81.12327,-5.842215,-0.750024,0.429328,,,,,,,,,,,,-6.01461,7.04386,-2.08397,50,5.62347,5.40101,-128.58357,-4.08716,-10.07406,26.55329,-20.37603,COR_KNI,RID_RAP,GossStadium,WCL,WCL,20220813-GossStadium-1,b4a3ee10-1b71-11ed-8b44-63b7f7ea0ea8,87.79407,,,7.46286,,,,,,,661f641e-cd8e-4f8f-b4ce-249f1758952d,2022-08-14,01:37:48.88,2022-08-13T18:37:48.8807554-07:00,2022-08-14T01:37:48.8807554Z,,v3,,,,"Smith, Tanner",1000074678,Right,COR_KNI,ffae2ebc-2807-45f1-a491-40dbb0ff9fd1,54.58756,-129.52746,13.27664,5.75589,-3.36284,-10.18802,-2.28233,5.75911,-5.03703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-08-13,18:38:30.81,3,1,"Brotherton, Duke",1000069900,Right,COR_KNI,"Prokes, Trent",1000131676,Left,RID_RAP,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.33121,-2.698181,-4.303727,2012.721225,231.148991,1:45,5.78088,2.3807,5.81439,-21.47962,13.4569,15.14076,1.47313,-0.36682,81.69757,-6.735843,-1.598708,0.425413,,,,,,,,,,,,-9.04071,8.07221,-2.0366,50,5.54658,9.16267,-130.58563,-6.86676,-15.43104,30.45921,-18.39606,COR_KNI,RID_RAP,GossStadium,WCL,WCL,20220813-GossStadium-1,cda96ac0-1b71-11ed-8b44-63b7f7ea0ea8,88.60193,,,8.63364,,,,,,,661f641e-cd8e-4f8f-b4ce-249f1758952d,2022-08-14,01:38:30.81,2022-08-13T18:38:30.8186754-07:00,2022-08-14T01:38:30.8186754Z,,v3,,,,"Smith, Tanner",1000074678,Right,COR_KNI,231d1e2b-ca66-424d-89a2-05dfd4e63166,54.68204,-131.67319,15.22961,5.78003,-6.20991,-9.19803,-2.3736,9.71365,-7.71552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-08-13,18:38:54.17,3,2,"Brotherton, Duke",1000069900,Right,COR_KNI,"Prokes, Trent",1000131676,Left,RID_RAP,Undefined,1,Top,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.65701,3.317668,-0.126802,2096.403257,49.571414,7:45,5.8417,2.20884,5.40614,-66.19559,-9.37556,-13.53576,3.43737,0.96206,64.40592,-8.78639,-2.535362,0.542528,,,,,,,,,,,,6.67796,-5.11945,-2.188,50,6.09181,0.73931,-103.68247,3.89376,7.08765,21.37319,-37.60756,COR_KNI,RID_RAP,GossStadium,WCL,WCL,20220813-GossStadium-1,db96a210-1b71-11ed-8b44-63b7f7ea0ea8,69.47556,,,7.25109,,,,,,,661f641e-cd8e-4f8f-b4ce-249f1758952d,2022-08-14,01:38:54.17,2022-08-13T18:38:54.1734530-07:00,2022-08-14T01:38:54.1734530Z,,v3,,,,"Smith, Tanner",1000074678,Right,COR_KNI,98f17a2a-11dd-4986-ba90-3e6f2742635c,55.09167,-104.72681,10.68659,5.85666,5.73135,-18.80378,-2.21566,0.39299,3.54383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
