PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-05-09,18:04:37.37,1,1,"Matter, Case",1000072506,Right,WAS_HUS,"Kleckner, Cole",1000132276,Left,SEA_RED,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.37905,1.286293,-0.2218,2314.673281,220.778034,1:15,5.28946,1.69068,6.16173,-17.30859,15.19229,12.20611,5.03552,2.50296,83.93605,-2.023612,1.979434,0.410317,,,,,,,,,,,,-6.24347,7.75185,-1.67904,50,5.3778,-0.0311,-134.14644,2.51514,-11.33866,29.92936,-18.09604,WAS_HUS,SEA_RED,UofWashington,D1,PAC12,20230509-UofWashington-1,a2fc22a0-eece-11ed-8886-d5892ea1b832,91.86186,,,8.443,,,,,,,9cc0be6a-34cc-42b4-8ad7-0d5e2377ac0c,2023-05-10,01:04:37.37,2023-05-09T18:04:37.3798138-07:00,2023-05-10T01:04:37.3798138Z,,v3,471486,4504,09 May 2023 21:00-seattleu@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,5ebe66bf-2c8e-4131-9c98-9d86990b2789,54.33206,-135.10951,14.96468,5.2875,3.09743,-9.04802,-1.68391,0.33376,-5.66933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-05-09,18:04:57.12,1,2,"Matter, Case",1000072506,Right,WAS_HUS,"Kleckner, Cole",1000132276,Left,SEA_RED,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,93.45608,-1.405296,-2.756876,2252.52665,220.104361,1:15,5.35982,1.32355,6.15181,-14.5843,17.50651,13.77942,2.84429,-0.07731,84.29268,-4.229885,-0.274843,0.40772,,,,,,,,,,,,-7.98382,9.81875,-1.12075,50,5.24536,5.92772,-135.50681,-3.72389,-14.65106,33.21951,-14.15573,WAS_HUS,SEA_RED,UofWashington,D1,PAC12,20230509-UofWashington-1,aec0ad90-eece-11ed-8886-d5892ea1b832,92.44697,,,9.1634,,,,,,,9cc0be6a-34cc-42b4-8ad7-0d5e2377ac0c,2023-05-10,01:04:57.12,2023-05-09T18:04:57.1254010-07:00,2023-05-10T01:04:57.1254010Z,,v3,471486,4504,09 May 2023 21:00-seattleu@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,d3be6e78-23b2-4f86-86e1-490b042805c0,54.345,-136.56783,16.60976,5.35708,-3.27176,-7.07786,-1.31756,6.39567,-7.32553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-05-09,18:05:19.12,1,3,"Matter, Case",1000072506,Right,WAS_HUS,"Kleckner, Cole",1000132276,Left,SEA_RED,Undefined,1,Top,0,1,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.35825,3.121162,0.231856,2549.138589,25.045579,6:45,5.35931,1.42033,5.6648,-68.02019,-21.23891,-10.71406,2.60415,0.74368,70.80278,-9.289856,-1.686715,0.492275,,,,,,,,,,,,5.44181,-11.11087,-1.43334,50,5.58147,-0.02978,-113.59826,3.80616,6.95952,24.94156,-46.38367,WAS_HUS,SEA_RED,UofWashington,D1,PAC12,20230509-UofWashington-1,bbee3e60-eece-11ed-8886-d5892ea1b832,76.56793,,,7.55546,,,,,,,9cc0be6a-34cc-42b4-8ad7-0d5e2377ac0c,2023-05-10,01:05:19.12,2023-05-09T18:05:19.1223546-07:00,2023-05-10T01:05:19.1223546Z,,v3,471486,4504,09 May 2023 21:00-seattleu@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,34969030-2118-41cc-9a9b-75617c5584e4,54.83741,-114.65544,12.47078,5.37847,5.7722,-23.19183,-1.42583,-0.32476,3.47976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-05-09,18:05:39.75,1,4,"Matter, Case",1000072506,Right,WAS_HUS,"Kleckner, Cole",1000132276,Left,SEA_RED,Undefined,1,Top,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,80.08189,1.569593,-1.697638,2648.787487,29.81978,7:00,5.411,1.32154,5.98617,-64.47527,-20.03706,-12.42867,1.49381,-1.28806,72.36452,-10.243241,-3.937624,0.479788,,,,,,,,,,,,5.76248,-10.35174,-1.18085,50,5.50004,3.91822,-116.17587,1.01831,7.65687,27.39885,-45.92884,WAS_HUS,SEA_RED,UofWashington,D1,PAC12,20230509-UofWashington-1,c83f2ad0-eece-11ed-8886-d5892ea1b832,78.56056,,,7.71737,,,,,,,9cc0be6a-34cc-42b4-8ad7-0d5e2377ac0c,2023-05-10,01:05:39.75,2023-05-09T18:05:39.7502714-07:00,2023-05-10T01:05:39.7502714Z,,v3,471486,4504,09 May 2023 21:00-seattleu@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,73a103a0-44d0-4241-a006-31e48ec4c995,54.51553,-117.23597,13.69942,5.42626,2.79536,-22.96442,-1.32672,3.62197,3.82844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-05-09,18:06:00.98,1,5,"Matter, Case",1000072506,Right,WAS_HUS,"Kleckner, Cole",1000132276,Left,SEA_RED,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,93.92822,-1.302491,-2.393164,2344.934061,206.352196,1:00,5.35752,1.51535,6.27157,-10.56579,20.94226,9.83394,3.27509,0.12743,84.93471,-3.400874,-0.617697,0.404001,,,,,,,,,,,,-5.73583,11.48942,-1.34236,50,5.25523,5.25125,-136.24356,-3.29973,-10.6882,32.34379,-10.7645,WAS_HUS,SEA_RED,UofWashington,D1,PAC12,20230509-UofWashington-1,d4cf6a30-eece-11ed-8886-d5892ea1b832,93.29793,,,8.99351,,,,,,,9cc0be6a-34cc-42b4-8ad7-0d5e2377ac0c,2023-05-10,01:06:00.98,2023-05-09T18:06:00.9812730-07:00,2023-05-10T01:06:00.9812730Z,,v3,471486,4504,09 May 2023 21:00-seattleu@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,8cefcfd8-70ed-4cd3-8910-67c6eefb2b0d,54.22214,-137.24222,16.1719,5.35199,-2.96737,-5.38225,-1.50959,5.58127,-5.3441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-05-09,18:06:24.62,1,6,"Matter, Case",1000072506,Right,WAS_HUS,"Kleckner, Cole",1000132276,Left,SEA_RED,Undefined,1,Top,0,2,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,87.57097,0.706,-1.039352,2530.615488,150.375296,11:00,5.32447,1.47313,6.0579,-28.69998,7.333,-3.55831,3.5864,0.2145,80.37336,-4.641057,-1.679874,0.432038,,,,,,,,,,,,1.5478,3.93544,-1.3906,50,5.36397,2.4549,-127.28448,0.62767,2.54917,25.16879,-25.69249,WAS_HUS,SEA_RED,UofWashington,D1,PAC12,20230509-UofWashington-1,e2f69d40-eece-11ed-8886-d5892ea1b832,87.24342,,,7.19761,,,,,,,9cc0be6a-34cc-42b4-8ad7-0d5e2377ac0c,2023-05-10,01:06:24.62,2023-05-09T18:06:24.6215930-07:00,2023-05-10T01:06:24.6215930Z,,v3,471486,4504,09 May 2023 21:00-seattleu@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,ad596434-7e64-4234-875e-659f086f153d,54.43965,-128.15936,12.58439,5.32663,1.52075,-12.84624,-1.4744,2.36629,1.27458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-05-09,18:06:45.10,1,7,"Matter, Case",1000072506,Right,WAS_HUS,"Kleckner, Cole",1000132276,Left,SEA_RED,Undefined,1,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,94.34121,-2.312874,-1.640283,2410.124764,220.787116,1:15,5.3928,1.38139,6.28438,-13.36036,18.16804,14.6478,2.14581,1.08991,84.64439,-4.926141,1.007859,0.404131,,,,,,,,,,,,-8.09485,10.52154,-1.26693,50,5.21554,3.26997,-136.74563,-5.85328,-15.02365,35.73125,-12.64657,WAS_HUS,SEA_RED,UofWashington,D1,PAC12,20230509-UofWashington-1,ef275780-eece-11ed-8886-d5892ea1b832,93.26779,,,9.69682,,,,,,,9cc0be6a-34cc-42b4-8ad7-0d5e2377ac0c,2023-05-10,01:06:45.10,2023-05-09T18:06:45.1090170-07:00,2023-05-10T01:06:45.1090170Z,,v3,471486,4504,09 May 2023 21:00-seattleu@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,c22bbe41-c9fa-4ce9-9d1d-753ae65ee79a,54.21048,-137.84143,17.86563,5.3891,-5.46544,-6.32329,-1.37428,3.73071,-7.51182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-05-09,18:07:19.33,2,1,"Matter, Case",1000072506,Right,WAS_HUS,"Shupe, Hudson",1000131835,Right,SEA_RED,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,Bunt,Out,1,0,,94.07661,-2.213081,-2.362576,2361.582874,218.17569,1:15,5.37479,1.29098,6.25762,-12.97851,18.61446,13.7343,2.24984,0.25576,84.7882,-4.749612,0.117466,0.404545,,,,,,,,,,,,-7.91689,10.71942,-1.12233,50,5.20411,5.04537,-136.41081,-5.60359,-14.69243,34.22913,-12.28065,WAS_HUS,SEA_RED,UofWashington,D1,PAC12,20230509-UofWashington-1,037f51b0-eecf-11ed-8886-d5892ea1b832,93.17246,,,9.28841,,,,,,,9cc0be6a-34cc-42b4-8ad7-0d5e2377ac0c,2023-05-10,01:07:19.33,2023-05-09T18:07:19.3322234-07:00,2023-05-10T01:07:19.3322234Z,,v3,471486,4504,09 May 2023 21:00-seattleu@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,ebfb4cc0-aa16-429e-a1d2-124c108f322d,54.23996,-137.47061,17.11456,5.37172,-5.22336,-6.14032,-1.28558,5.50028,-7.34622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-05-09,18:08:05.53,3,1,"Matter, Case",1000072506,Right,WAS_HUS,"Boissoneault, Matthew",1000039570,Right,SEA_RED,Undefined,1,Top,1,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.53446,-0.888028,-0.742146,2507.422363,145.543527,10:45,5.26771,1.3627,5.94016,-29.5525,6.61012,-3.80292,1.9811,0.35731,80.6869,-6.356865,-1.425868,0.432814,,,,,,,,,,,,1.75595,3.96311,-1.30143,50,5.18026,1.80403,-127.24885,-2.96731,2.895,24.76332,-25.64014,WAS_HUS,SEA_RED,UofWashington,D1,PAC12,20230509-UofWashington-1,1f1208f0-eecf-11ed-8886-d5892ea1b832,87.08689,,,6.84756,,,,,,,9cc0be6a-34cc-42b4-8ad7-0d5e2377ac0c,2023-05-10,01:08:05.53,2023-05-09T18:08:05.5385338-07:00,2023-05-10T01:08:05.5385338Z,,v3,471486,4504,09 May 2023 21:00-seattleu@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,a34378ef-16b5-4b02-a2c7-517d0fa48bab,54.55831,-128.13285,12.38166,5.26985,-2.05201,-12.82007,-1.36398,1.70068,1.4475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-05-09,18:08:28.78,3,2,"Matter, Case",1000072506,Right,WAS_HUS,"Boissoneault, Matthew",1000039570,Right,SEA_RED,Undefined,1,Top,1,0,1,Cutter,Slider,InPlay,Undefined,LineDrive,Double,1,0,,88.12258,-1.065329,-1.096594,2510.403141,163.942378,11:30,5.23532,1.3829,6.00734,-27.33773,8.36465,-2.09429,1.9699,0.19231,80.96813,-6.147879,-1.473501,0.430051,100.10888,20.684728,9.197087,2866.406643,107.52697,37.28293,23.19372,342.26277,342.26277,19.132722,3.843315,0.78803,4.91339,-1.29561,50,5.13657,2.53511,-128.0789,-3.27818,1.31135,26.00742,-23.99773,WAS_HUS,SEA_RED,UofWashington,D1,PAC12,20230509-UofWashington-1,2ce77280-eecf-11ed-8886-d5892ea1b832,87.64642,49.08283,,7.15446,,,,1.84073,1.96322,-0.21529,9cc0be6a-34cc-42b4-8ad7-0d5e2377ac0c,2023-05-10,01:08:28.78,2023-05-09T18:08:28.7819514-07:00,2023-05-10T01:08:28.7819514Z,LineDrive,v3,471486,4504,09 May 2023 21:00-seattleu@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,044c1e09-12bc-4002-b92e-9add1664eadd,54.49212,-128.98784,13.00371,5.23648,-2.43948,-11.99887,-1.38341,2.48928,0.65568,219.630919,1.84075,135.59222,-26.84042,6.33631,-1.27846,0.2183,-0.02835,0.00214,-5E-05,1.96335,51.86343,-14.64555,0.10681,0.05526,0.01557,-0.01527,0.00409,-0.00037,-0.21508,21.95109,5.38719,-1.95346,0.53448,-0.12403,0.02257,-0.00262,0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
